feature_extractor,mil_architecture,model_name,int_auroc,int_auroc_std,int_f1,int_f1_std,int_sensitivity,int_specificity,int_accuracy,int_balanced_acc,int_mcc,int_precision,int_auc_pr,ext_auroc,ext_auroc_std,ext_f1,ext_f1_std,ext_sensitivity,ext_specificity,ext_accuracy,ext_balanced_acc,ext_mcc,ext_precision,ext_auc_pr,auroc_drop,f1_drop
h-optimus,acmil,h-optimus_acmil,0.7822515584891823,0.03691010719484059,0.524580843298563,0.05624528933753789,0.674074074074074,0.7524752475247525,0.7359375,0.7132746607994134,0.37690686617674757,0.43764286936395747,0.5911095850571723,0.7550915750915751,0.0414673209052042,0.16479280638873167,0.12492403048627661,0.22000000000000003,0.9032967032967033,0.8066037735849058,0.5616483516483516,0.184365871830852,0.6226190476190476,0.35123727418676526,3.472026754419405,68.585813131773
h-optimus,attention,h-optimus_attention,0.7731573157315731,0.02967194275985814,0.4943299631431935,0.06718228969458957,0.6296296296296297,0.7445544554455445,0.7203125,0.6870920425375872,0.3346845229835355,0.4191738026431594,0.5594739655901415,0.7532967032967033,0.046526815881417,0.32252313619032985,0.15086078281406037,0.49333333333333335,0.7890109890109891,0.7471698113207548,0.6411721611721612,0.23850392198039572,0.33744038155802863,0.3530182384838853,2.568767316917566,34.755495268874895
h-optimus,mean,h-optimus_mean,0.7603960396039603,0.02902938127161513,0.5076897619301804,0.03990022160163143,0.5555555555555556,0.8257425742574258,0.76875,0.6906490649064907,0.3686458101784589,0.48369872185027385,0.5634672086687015,0.7238827838827838,0.05653196755114773,0.1094345502872143,0.1424242588130161,0.12666666666666665,0.9494505494505494,0.8330188679245284,0.5380586080586081,0.11338263081922399,0.42090395480225984,0.3247038566828886,4.801873473748469,78.44460170495536
virchow2,acmil,virchow2_acmil,0.771103777044371,0.026794950353956258,0.5125779256552973,0.06795303418778241,0.637037037037037,0.7643564356435644,0.7375,0.7006967363403007,0.3620105044587102,0.4409078640657588,0.5643303434577545,0.7178388278388279,0.017200815427256853,0.18710995670995673,0.1766928874338363,0.30666666666666664,0.845054945054945,0.7688679245283019,0.5758608058608059,0.12812582640236614,0.17714912280701753,0.28097975110393797,6.907623952992019,63.49629054533534
virchow2,attention,virchow2_attention,0.7919325265859919,0.02255538540263376,0.5218691360871772,0.025614799045369608,0.6444444444444445,0.7782178217821782,0.75,0.7113311331133113,0.3788513924598333,0.4476913213265722,0.6199318859121666,0.7141391941391941,0.05559737923079032,0.1679842267037389,0.14456870202766106,0.19999999999999998,0.9241758241758241,0.8216981132075472,0.5620879120879121,0.1476595391655266,0.37580419580419583,0.277803499805567,9.823227337581844,67.81104397871933
virchow2,mean,virchow2_mean,0.7502016868353503,0.015565250031223143,0.5180770655986517,0.05241030448578095,0.5259259259259259,0.8613861386138615,0.790625,0.6936560322698936,0.3877792919550461,0.5181851204351203,0.5638421258422148,0.7089743589743589,0.01811104365258191,0.07705882352941176,0.0715739992611997,0.04666666666666667,0.987912087912088,0.8547169811320755,0.5172893772893772,0.0772873428083937,0.26,0.2729331316077428,5.495499221669931,85.12599212621616
h-optimus,clam,h-optimus_clam,0.7964796479647964,0.021452928754350935,0.4884615889079651,0.019893564187683378,0.6666666666666667,0.7168316831683169,0.70625,0.6917491749174917,0.3372856546022069,0.4053449680367819,0.5780370310560083,0.6868864468864468,0.04749059880794508,0.2048311216378443,0.13928476858155311,0.21333333333333332,0.8835164835164836,0.7886792452830189,0.5484249084249084,0.08896506438475252,0.20857826384142175,0.24190485502034537,13.759698864671238,58.066073916727525
uni2-h,attention,uni2-h_attention,0.7966996699669966,0.0480049544303814,0.5414921256179897,0.04486493581124517,0.6296296296296295,0.807920792079208,0.7703125,0.7187752108544189,0.41301937569420133,0.5014913187267466,0.6357627593888783,0.6867399267399267,0.02817288009473036,0.28220006646726487,0.04379613775831313,0.38,0.8021978021978022,0.7424528301886791,0.5910989010989011,0.1619954503687984,0.2580802773216566,0.30910304644957887,13.801906461392788,47.8847331075779
uni2-h,mean,uni2-h_mean,0.764063072973964,0.03766045056306569,0.4635254180969376,0.05210834395067622,0.6222222222222223,0.7089108910891089,0.690625,0.6655665566556654,0.28977759532308794,0.37934896469131874,0.5857827217727535,0.6863736263736264,0.023703129430633796,0.17208216619981326,0.09198410222333538,0.13333333333333333,0.9549450549450549,0.838679245283019,0.5441391941391942,0.13352840405714822,0.35454545454545455,0.2699881312705211,10.16793630635058,62.875354946807796
uni2-h,acmil,uni2-h_acmil,0.7974330766409975,0.026139801195953567,0.5222350020189985,0.024483509603373355,0.562962962962963,0.8435643564356436,0.784375,0.7032636596993033,0.3916245902837483,0.5008791208791209,0.6133766351985612,0.6769597069597071,0.06827319522297505,0.19268835739423973,0.14182579359673836,0.18666666666666668,0.9219780219780219,0.8179245283018869,0.5543223443223443,0.11473611327962283,0.22371079213184472,0.2735684585048756,15.10764642329067,63.1031323734923
uni2-h,clam,uni2-h_clam,0.7953061972863953,0.04217279694644553,0.5048498779954178,0.02642827463066546,0.6074074074074074,0.7861386138613862,0.7484375,0.6967730106343968,0.36365697416920634,0.4573188020556442,0.637842518866523,0.6701098901098901,0.030009647936293595,0.2807274895646989,0.10026537592325083,0.35333333333333333,0.8285714285714285,0.7613207547169811,0.5909523809523809,0.1656106521960982,0.26906531377119614,0.26224851043207265,15.741900113903066,44.3938679990635
virchow2,clam,virchow2_clam,0.7548954895489548,0.04779369951771081,0.4714610750326452,0.037050212836869725,0.5925925925925926,0.7564356435643564,0.721875,0.6745141180784746,0.3062768600526899,0.393959501760793,0.5428775917407453,0.6547252747252748,0.05180324499312709,0.16760882798618648,0.12543767269169476,0.13333333333333333,0.9527472527472527,0.8367924528301888,0.5430402930402931,0.11559352722615927,0.2659592822636301,0.25875160928386126,13.269414933652751,64.44906337716623
resnet18,clam,resnet18_clam,0.6239090575724238,0.04329631374955655,0.3567468773945689,0.033216021189841814,0.45925925925925926,0.7029702970297029,0.6515625,0.5811147781444811,0.14782002139780312,0.30605188236397485,0.38121172202502007,0.628095238095238,0.021668145132072488,0.07220681352595312,0.06528561575383475,0.06,0.956043956043956,0.8292452830188679,0.5080219780219781,0.037615971509199174,0.24909909909909905,0.20265735269936025,-0.6709600497069785,79.75965086133297
resnet18,acmil,resnet18_acmil,0.6552255225522553,0.03443049475142732,0.4020010367423984,0.026441472561312573,0.5185185185185185,0.7108910891089109,0.6703125,0.6147048038137147,0.20492032558730083,0.3373469766948028,0.4314281026108988,0.622051282051282,0.016662439587932766,0.08001165501165501,0.05950670696122394,0.04666666666666667,0.989010989010989,0.8556603773584905,0.5178388278388277,0.09383933386496575,0.39999999999999997,0.20475949408674574,5.06302629539703,80.09665456088703
resnet50,acmil,resnet50_acmil,0.6617528419508617,0.03409217080600701,0.4148572741774766,0.025920096752286487,0.5037037037037037,0.7504950495049505,0.6984375,0.627099376604327,0.23186389011612074,0.36261381475667187,0.4393488319269296,0.608974358974359,0.029952475248706888,0.0565999765999766,0.05568638827196981,0.03333333333333333,0.989010989010989,0.8537735849056605,0.5111721611721611,0.051530199523327956,0.2038095238095238,0.21951912600120052,7.97555818890185,86.35675927047551
resnet18,mean,resnet18_mean,0.648991565823249,0.014438056212199726,0.4142164026906525,0.029451503388765843,0.5407407407407407,0.7108910891089109,0.675,0.6258159149248257,0.22223012655380742,0.34357323232323234,0.4221367295720568,0.6071794871794872,0.011316399120298843,0.09139386712916124,0.027525925803355635,0.05333333333333333,0.9835164835164836,0.8518867924528302,0.5184249084249084,0.09236957755022834,0.38095238095238093,0.1987594996732608,6.442622808313844,77.93571994361204
resnet18,attention,resnet18_attention,0.6346901356802347,0.016670690235764084,0.366486579531249,0.022979281566500337,0.5777777777777777,0.5821782178217823,0.58125,0.57997799779978,0.14225807787349654,0.28778960170264517,0.3849536894782554,0.6002197802197802,0.017374862390667597,0.08322981366459628,0.055880680440040874,0.06,0.956043956043956,0.8292452830188679,0.508021978021978,0.019963346623241857,0.15083333333333332,0.19690208917763058,5.431052654302026,77.28980587200476
resnet50,mean,resnet50_mean,0.6421708837550422,0.031983595132814575,0.37828418827194843,0.03081448234399838,0.5925925925925926,0.5762376237623762,0.5796875,0.5844151081774844,0.15010185545420096,0.292772247335184,0.41920090855456466,0.5851282051282052,0.020241782767826573,0.07115485979337972,0.04727583951238204,0.04,0.9923076923076923,0.8575471698113208,0.5161538461538462,0.10129912120501768,0.4666666666666667,0.20443300287552243,8.882788066205142,81.19010468864046
resnet50,clam,resnet50_clam,0.6786945361202787,0.04594004025441275,0.42126405236489817,0.030622188774650904,0.562962962962963,0.697029702970297,0.66875,0.6299963329666299,0.23301377688971153,0.35344094254062525,0.4349438760333797,0.5673260073260072,0.03453743379210774,0.09772349124866182,0.09796388500886331,0.11333333333333333,0.8901098901098902,0.780188679245283,0.5017216117216117,-0.00308583888399937,0.08822890818858561,0.1832620388389236,16.409227254267257,76.80231894934774
resnet50,attention,resnet50_attention,0.660946094609461,0.02399540315016387,0.38841842780238167,0.038548842822963524,0.5111111111111111,0.697029702970297,0.6578125,0.6040704070407041,0.18074808204853493,0.31559306341915033,0.41343092514759283,0.5540293040293041,0.018863135199487187,0.09250409165302782,0.0910626149317542,0.07333333333333333,0.956043956043956,0.8311320754716982,0.5146886446886446,0.032178514032683576,0.1325133689839572,0.1739418200527459,16.176325339108296,76.18442251146442
conch,attention,conch_attention,0.5536486982031537,0.03156781176811504,0.335918092029775,0.023797367041235862,0.47407407407407404,0.6415841584158415,0.60625,0.5578291162449578,0.10271400776400401,0.27163226779545563,0.305147457793998,0.5044322344322344,0.08129716657605739,0.09917355371900827,0.13579898119962797,0.4,0.5989010989010989,0.5707547169811321,0.49945054945054945,-0.005590024372093557,0.05660377358490566,0.14981128845971298,8.889475208855266,70.47686442854119
conch,acmil,conch_acmil,0.5683168316831683,0.02832815913550097,0.35181970571801086,0.049897541643225046,0.4296296296296297,0.7029702970297029,0.6453125,0.5662999633296664,0.13197477485895792,0.32455140503779345,0.34226325345941,0.4493589743589744,0.06695986726602111,0.1487603305785124,0.13579898119962797,0.6,0.39780219780219783,0.42641509433962266,0.4989010989010989,-0.007924288517503273,0.0849056603773585,0.1332074799943145,20.931609041365128,57.716885051985635
conch,clam,conch_clam,0.5579757975797579,0.04710717939587148,0.33833388208036097,0.0660517068626878,0.4,0.7326732673267327,0.6625,0.5663366336633662,0.13395539360161884,0.321549252111912,0.31242886443603607,0.44432234432234435,0.05829357015329599,0.1352391274895001,0.12650341322467956,0.47333333333333333,0.510989010989011,0.5056603773584907,0.49216117216117217,-0.011025363241277491,0.08051681706316653,0.13275887294364225,20.368885846015168,60.02790892300342
conch,mean,conch_mean,0.6205353868720206,0.010007037770357271,0.3962746912338576,0.037237644089537295,0.45925925925925926,0.7762376237623763,0.709375,0.6177484415108176,0.21645859975847143,0.3559212880143113,0.3568610557481765,0.43058608058608056,0.023960846266200275,0.0,0.0,0.0,0.9956043956043956,0.8547169811320755,0.4978021978021978,-0.019104337261690387,0.0,0.12572178724698474,30.610551840311928,100.0
