Rank,Feature Extractor,MIL Architecture,Internal AUROC,Internal F1,Internal Sens.,External AUROC,External F1,External Sens.,AUROC Drop (%),External MCC
1,H-OPTIMUS,ACMIL,0.782 ± 0.037,0.525,0.674,0.755 ± 0.041,0.165,0.220,3.5,0.184
2,H-OPTIMUS,ATTENTION,0.773 ± 0.030,0.494,0.630,0.753 ± 0.047,0.323,0.493,2.6,0.239
3,H-OPTIMUS,MEAN,0.760 ± 0.029,0.508,0.556,0.724 ± 0.057,0.109,0.127,4.8,0.113
4,VIRCHOW2,ACMIL,0.771 ± 0.027,0.513,0.637,0.718 ± 0.017,0.187,0.307,6.9,0.128
5,VIRCHOW2,ATTENTION,0.792 ± 0.023,0.522,0.644,0.714 ± 0.056,0.168,0.200,9.8,0.148
6,MUSK,CLAM,0.769 ± 0.036,0.492,0.689,0.709 ± 0.036,0.315,0.507,7.8,0.210
7,VIRCHOW2,MEAN,0.750 ± 0.016,0.518,0.526,0.709 ± 0.018,0.077,0.047,5.5,0.077
8,CONCH_FIXED,ATTENTION,0.707 ± 0.014,0.444,0.600,0.690 ± 0.022,0.301,0.487,2.4,0.181
9,H-OPTIMUS,CLAM,0.796 ± 0.021,0.488,0.667,0.687 ± 0.047,0.205,0.213,13.8,0.089
10,UNI2-H,ATTENTION,0.797 ± 0.048,0.541,0.630,0.687 ± 0.028,0.282,0.380,13.8,0.162
