epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,1.1155852696639887,1.4235474164323771,0.5432098765432098,0.5004672437536888,0.5459183673469388,0.9683257918552036,0.9683257918552036,0.6982055464926591,0.00101331982240227,0.03260869565217391,0.46153846153846156,0.5459183673469388,0.0026397563217195876,0.5213210702341138,0.5829416093536802,1.1155852696639887,405,221,184,0.5456790123456791,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.6397727272727273,0.4278581361924796,1.4235474164323771,102,22,80,0.21568627450980393
2,1,0.7315651301754478,0.7279978019787985,0.5506172839506173,0.5508462176266888,0.5636363636363636,0.458128078817734,0.458128078817734,0.5054347826086957,0.10164533820840949,0.6435643564356436,0.5416666666666666,0.5636363636363636,0.1034819867951682,0.5732819587377457,0.600923993162469,0.7315651301754478,405,203,202,0.5012345679012346,0.6274509803921569,0.6306818181818181,0.3181818181818182,0.6363636363636364,0.6363636363636364,0.42424242424242425,0.19182652210175144,0.625,0.8620689655172413,0.3181818181818182,0.21705068598136582,0.6761363636363636,0.4481454682748919,0.7279978019787985,102,22,80,0.21568627450980393
3,1,0.6869023466778827,0.6471956714932972,0.6024691358024692,0.6008536585365853,0.5859375,0.7317073170731707,0.7317073170731707,0.6507592190889371,0.2023365343446082,0.47,0.6308724832214765,0.5859375,0.2091223566008264,0.6470487804878049,0.6731776701632299,0.6869023466778827,405,205,200,0.5061728395061729,0.7254901960784313,0.64375,0.39285714285714285,0.5,0.5,0.44,0.26163391933815927,0.7875,0.8513513513513513,0.39285714285714285,0.2649715873163424,0.6954545454545454,0.4602719507067279,0.6471956714932972,102,22,80,0.21568627450980393
4,1,0.9088163100430752,0.8321549316569158,0.562962962962963,0.5519125683060109,0.5896414342629482,0.6666666666666666,0.6666666666666666,0.6257928118393234,0.10529074774403713,0.4371584699453552,0.5194805194805194,0.5896414342629482,0.10644060200311843,0.6273814798404962,0.6888300164775427,0.9088163100430752,405,222,183,0.5481481481481482,0.5784313725490197,0.6323863636363636,0.3018867924528302,0.7272727272727273,0.7272727272727273,0.4266666666666667,0.17525385483264388,0.5375,0.8775510204081632,0.3018867924528302,0.21796843598800833,0.6977272727272728,0.47072447962131875,0.8321549316569158,102,22,80,0.21568627450980393
5,1,0.941324227588987,1.064947809645388,0.5604938271604938,0.5645586297760211,0.6124031007751938,0.38164251207729466,0.38164251207729466,0.47023809523809523,0.12802090137165245,0.7474747474747475,0.5362318840579711,0.6124031007751938,0.13853281891024086,0.5917630410384034,0.615602340551934,0.941324227588987,405,207,198,0.5111111111111111,0.46078431372549017,0.5903409090909091,0.2608695652173913,0.8181818181818182,0.8181818181818182,0.3956043956043956,0.10182516810758879,0.3625,0.8787878787878788,0.2608695652173913,0.15885075040898505,0.7051136363636363,0.47610755592100096,1.064947809645388,102,22,80,0.21568627450980393
6,1,0.7690345243535027,1.0074217348832035,0.6024691358024692,0.5886243386243386,0.5951557093425606,0.7962962962962963,0.7962962962962963,0.6811881188118812,0.18163334462893943,0.38095238095238093,0.6206896551724138,0.5951557093425606,0.19559730404721273,0.6747501469723691,0.7345807019578625,0.7690345243535027,405,216,189,0.5333333333333333,0.5196078431372549,0.5948863636363637,0.2711864406779661,0.7272727272727273,0.7272727272727273,0.3950617283950617,0.11789622308506875,0.4625,0.8604651162790697,0.2711864406779661,0.15806288309858674,0.7073863636363636,0.4815644112831903,1.0074217348832035,102,22,80,0.21568627450980393
7,1,0.8165546068013538,0.6256134901589522,0.6148148148148148,0.6094985841226443,0.6492537313432836,0.44387755102040816,0.44387755102040816,0.5272727272727272,0.22117304800177517,0.7751196172248804,0.5977859778597786,0.6492537313432836,0.23259620968453068,0.6779855482863002,0.6931705522793952,0.8165546068013538,405,196,209,0.4839506172839506,0.8235294117647058,0.6732954545454546,0.6428571428571429,0.4090909090909091,0.4090909090909091,0.5,0.3992146596858639,0.9375,0.8522727272727273,0.6428571428571429,0.4142553702806705,0.7017045454545455,0.46996685166183255,0.6256134901589522,102,22,80,0.21568627450980393
8,1,0.8585427624467858,2.336115537112122,0.6370370370370371,0.6431635454456319,0.7034883720930233,0.5576036866359447,0.5576036866359447,0.622107969151671,0.28181960746468515,0.7287234042553191,0.5879828326180258,0.7034883720930233,0.2888876981172558,0.7151681537405628,0.7566514850394858,0.8585427624467858,405,217,188,0.5358024691358024,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.033794162826421004,0.075,1.0,0.22916666666666666,0.13110110602126893,0.7159090909090908,0.48246404781740626,2.336115537112122,102,22,80,0.21568627450980393
9,1,0.989185531993583,0.8401408623798239,0.6246913580246913,0.6246341463414634,0.6292682926829268,0.6292682926829268,0.6292682926829268,0.6292682926829268,0.24926829268292683,0.62,0.62,0.6292682926829268,0.24926829268292683,0.6772926829268293,0.6967277011987146,0.989185531993583,405,205,200,0.5061728395061729,0.7254901960784313,0.6602272727272727,0.4,0.5454545454545454,0.5454545454545454,0.46153846153846156,0.283132530120482,0.775,0.8611111111111112,0.4,0.28926500380143194,0.7017045454545454,0.46754044182667,0.8401408623798239,102,22,80,0.21568627450980393
10,1,0.9187586373215377,1.3752442761594608,0.6518518518518519,0.6544282784884289,0.6976744186046512,0.5741626794258373,0.5741626794258373,0.6299212598425197,0.30705384120666435,0.7346938775510204,0.6180257510729614,0.6976744186046512,0.31225961545425174,0.7040328092959671,0.7216025572821996,0.9187586373215377,405,209,196,0.5160493827160494,0.49019607843137253,0.5761363636363637,0.25806451612903225,0.7272727272727273,0.7272727272727273,0.38095238095238093,0.09178082191780812,0.425,0.85,0.25806451612903225,0.12827812982880352,0.7130681818181819,0.47813865277654644,1.3752442761594608,102,22,80,0.21568627450980393
11,1,0.9057794292488579,1.0163003077794392,0.6567901234567901,0.6574440052700923,0.6770833333333334,0.6280193236714976,0.6280193236714976,0.6516290726817042,0.31437027293653397,0.6868686868686869,0.6384976525821596,0.6770833333333334,0.31523430780808037,0.725076855511638,0.7430212088078834,0.9057794292488579,405,207,198,0.5111111111111111,0.6568627450980392,0.6659090909090909,0.3488372093023256,0.6818181818181818,0.6818181818181818,0.46153846153846156,0.24651751794005916,0.65,0.8813559322033898,0.3488372093023256,0.27637342434004386,0.7147727272727272,0.4778391184237799,1.0163003077794392,102,22,80,0.21568627450980393
12,1,1.0615288693597114,0.7581575940764963,0.6271604938271605,0.629502635689184,0.6686390532544378,0.5432692307692307,0.5432692307692307,0.5994694960212201,0.2576564984644518,0.7157360406091371,0.597457627118644,0.6686390532544378,0.2625270327278943,0.673906677079266,0.6981526246463006,1.0615288693597114,405,208,197,0.5135802469135803,0.803921568627451,0.69375,0.55,0.5,0.5,0.5238095238095238,0.40070505287896596,0.8875,0.8658536585365854,0.55,0.40142657196917947,0.7198863636363636,0.48331111309715324,0.7581575940764963,102,22,80,0.21568627450980393
13,1,0.9828506801111256,1.0279668552301717,0.6419753086419753,0.6401180660584476,0.6708860759493671,0.5326633165829145,0.5326633165829145,0.5938375350140056,0.28122054809610664,0.7475728155339806,0.6234817813765182,0.6708860759493671,0.28721509319070293,0.7049812167634288,0.7147663211328893,0.9828506801111256,405,199,206,0.49135802469135803,0.6470588235294118,0.6596590909090909,0.3409090909090909,0.6818181818181818,0.6818181818181818,0.45454545454545453,0.23436196830692235,0.6375,0.8793103448275862,0.3409090909090909,0.26517931635114694,0.7272727272727273,0.4893904442418834,1.0279668552301717,102,22,80,0.21568627450980393
14,1,0.9639827746402408,1.8196903412459204,0.6469135802469136,0.6390127862027951,0.6808510638297872,0.7017543859649122,0.7017543859649122,0.6911447084233261,0.27926078028747436,0.576271186440678,0.6,0.6808510638297872,0.2794347469123974,0.6988304093567251,0.7577030716249409,0.9639827746402408,405,228,177,0.562962962962963,0.4117647058823529,0.5920454545454545,0.2564102564102564,0.9090909090909091,0.9090909090909091,0.4,0.09574468085106391,0.275,0.9166666666666666,0.2564102564102564,0.17849898630493147,0.7306818181818182,0.48827416253182976,1.8196903412459204,102,22,80,0.21568627450980393
15,1,0.9143281782220241,0.8286863997281679,0.671604938271605,0.6715243902439025,0.6683417085427136,0.665,0.665,0.6666666666666666,0.3430696993719129,0.6780487804878049,0.6747572815533981,0.6683417085427136,0.34307388437342257,0.7385365853658536,0.7381402527227782,0.9143281782220241,405,200,205,0.49382716049382713,0.7450980392156863,0.6892045454545455,0.43333333333333335,0.5909090909090909,0.5909090909090909,0.5,0.3343373493975904,0.7875,0.875,0.43333333333333335,0.3415788874676483,0.7261363636363636,0.4829103621926225,0.8286863997281679,102,22,80,0.21568627450980393
16,1,0.8877699198328484,0.8075227861309834,0.6814814814814815,0.6819512195121951,0.7021276595744681,0.6439024390243903,0.6439024390243903,0.6717557251908397,0.363525613693123,0.72,0.663594470046083,0.7021276595744681,0.36481114973930373,0.7529268292682927,0.7665130274674807,0.8877699198328484,405,205,200,0.5061728395061729,0.8431372549019608,0.7352272727272727,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.6,0.5036496350364963,0.925,0.8809523809523809,0.6666666666666666,0.507572526965231,0.73125,0.48416644180788987,0.8075227861309834,102,22,80,0.21568627450980393
17,1,0.9701655761322154,0.9763671043565365,0.6691358024691358,0.6679841897233201,0.6777777777777778,0.6161616161616161,0.6161616161616161,0.6455026455026455,0.3366336633663366,0.7198067632850241,0.6622222222222223,0.6777777777777778,0.3379781783072062,0.7283462645781487,0.7209300274366401,0.9701655761322154,405,198,207,0.4888888888888889,0.7156862745098039,0.6704545454545454,0.3939393939393939,0.5909090909090909,0.5909090909090909,0.4727272727272727,0.28860028860028863,0.75,0.8695652173913043,0.3939393939393939,0.299718396998085,0.7352272727272727,0.487243813103444,0.9763671043565365,102,22,80,0.21568627450980393
18,1,0.9750405760954902,0.9773446256791948,0.671604938271605,0.6681509027743797,0.6666666666666666,0.6073298429319371,0.6073298429319371,0.6356164383561644,0.3379180648253991,0.7289719626168224,0.6753246753246753,0.6666666666666666,0.33913464257390696,0.7255957332289474,0.7042177247685089,0.9750405760954902,405,191,214,0.47160493827160493,0.7156862745098039,0.6869318181818183,0.4,0.6363636363636364,0.6363636363636364,0.49122807017543857,0.30790828263921377,0.7375,0.8805970149253731,0.4,0.3238904449853091,0.7420454545454546,0.4860926438303233,0.9773446256791948,102,22,80,0.21568627450980393
19,1,0.9397831924396842,1.0443411936347724,0.7061728395061728,0.706006438082232,0.7371428571428571,0.6386138613861386,0.6386138613861386,0.6843501326259946,0.41214856376166376,0.7733990147783252,0.6826086956521739,0.7371428571428571,0.4158642140670203,0.7473784324245232,0.7554023634844317,0.9397831924396842,405,202,203,0.49876543209876545,0.696078431372549,0.6744318181818182,0.3783783783783784,0.6363636363636364,0.6363636363636364,0.4745762711864407,0.2797266514806378,0.7125,0.8769230769230769,0.3783783783783784,0.2984382583808485,0.7414772727272727,0.48581943260672833,1.0443411936347724,102,22,80,0.21568627450980393
20,1,0.9619098547851311,0.8806528993381103,0.7012345679012346,0.6849725288323516,0.7050359712230215,0.550561797752809,0.550561797752809,0.6182965299684543,0.3789052103268653,0.8193832599118943,0.6992481203007519,0.7050359712230215,0.3867336312653511,0.7532792159580262,0.7260180417083493,0.9619098547851311,405,178,227,0.43950617283950616,0.7745098039215687,0.7079545454545455,0.48148148148148145,0.5909090909090909,0.5909090909090909,0.5306122448979592,0.38425196850393695,0.825,0.88,0.48148148148148145,0.3877414529598742,0.7454545454545455,0.49103864934369834,0.8806528993381103,102,22,80,0.21568627450980393
21,1,1.072400166744253,0.9886401739503834,0.6370370370370371,0.6372360142418183,0.6647058823529411,0.5566502463054187,0.5566502463054187,0.6058981233243967,0.2743616308123591,0.7178217821782178,0.6170212765957447,0.6647058823529411,0.2780759335066192,0.688899185485051,0.7035088967416494,1.072400166744253,405,203,202,0.5012345679012346,0.6764705882352942,0.6619318181818181,0.358974358974359,0.6363636363636364,0.6363636363636364,0.45901639344262296,0.2529960053262318,0.6875,0.873015873015873,0.358974358974359,0.2741043599310309,0.7426136363636364,0.4794411465682634,0.9886401739503834,102,22,80,0.21568627450980393
22,1,0.9550134478221365,1.4514644039695355,0.6864197530864198,0.6872339384449773,0.7164179104477612,0.6728971962616822,0.6728971962616822,0.6939759036144578,0.3731032213243629,0.7015706806282722,0.6568627450980392,0.7164179104477612,0.3738737949714132,0.7488134266281743,0.7772426739578799,0.9550134478221365,405,214,191,0.528395061728395,0.5980392156862745,0.6613636363636364,0.32075471698113206,0.7727272727272727,0.7727272727272727,0.4533333333333333,0.21361414065438145,0.55,0.8979591836734694,0.32075471698113206,0.26567826532443933,0.7392045454545455,0.48087717356966525,1.4514644039695355,102,22,80,0.21568627450980393
23,1,0.9560239677014276,1.1100103349385877,0.7135802469135802,0.7125634517766497,0.7189189189189189,0.6751269035532995,0.6751269035532995,0.6963350785340314,0.4258127597164507,0.75,0.7090909090909091,0.7189189189189189,0.42656593027596384,0.7559547051932839,0.7305705900003265,0.9560239677014276,405,197,208,0.48641975308641977,0.696078431372549,0.6744318181818182,0.3783783783783784,0.6363636363636364,0.6363636363636364,0.4745762711864407,0.2797266514806378,0.7125,0.8769230769230769,0.3783783783783784,0.2984382583808485,0.7414772727272728,0.476378423331155,1.1100103349385877,102,22,80,0.21568627450980393
24,1,0.9592525718929805,0.9177861544955088,0.7135802469135802,0.713919539107509,0.7313432835820896,0.7033492822966507,0.7033492822966507,0.7170731707317073,0.4272966647162083,0.7244897959183674,0.696078431372549,0.7313432835820896,0.4276303456669963,0.7664046479835954,0.7635562096476771,0.9592525718929805,405,209,196,0.5160493827160494,0.8137254901960784,0.7329545454545454,0.5652173913043478,0.5909090909090909,0.5909090909090909,0.5777777777777777,0.45835662381218556,0.875,0.8860759493670886,0.5652173913043478,0.45854298608260885,0.7392045454545454,0.4822894633234418,0.9177861544955088,102,22,80,0.21568627450980393
25,1,1.1355597145243392,0.8766932854365294,0.6493827160493827,0.6405582560023567,0.6428571428571429,0.532258064516129,0.532258064516129,0.5823529411764706,0.2848082375764811,0.7488584474885844,0.6533864541832669,0.6428571428571429,0.2885809534666657,0.6964206805125939,0.6754823670087732,1.1355597145243392,405,186,219,0.45925925925925926,0.7745098039215687,0.7079545454545455,0.48148148148148145,0.5909090909090909,0.5909090909090909,0.5306122448979592,0.38425196850393695,0.825,0.88,0.48148148148148145,0.3877414529598742,0.740909090909091,0.4816735555609516,0.8766932854365294,102,22,80,0.21568627450980393
1,2,0.8924291367148176,0.7715672892974872,0.5382716049382716,0.537411971830986,0.5128205128205128,0.5208333333333334,0.5208333333333334,0.5167958656330749,0.07476635514018692,0.5539906103286385,0.5619047619047619,0.5128205128205128,0.0747745929187804,0.5381210876369327,0.5301953057822681,0.8924291367148176,405,192,213,0.4740740740740741,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.5625,0.28867581018170607,0.7715672892974872,102,22,80,0.21568627450980393
2,2,0.8268705854571804,0.61211372583228,0.5604938271604938,0.5634920634920635,0.6021505376344086,0.5185185185185185,0.5185185185185185,0.5572139303482587,0.1257367387033399,0.6084656084656085,0.5251141552511416,0.6021505376344086,0.1271243325330545,0.5986919459141682,0.6693284931027621,0.8268705854571804,405,216,189,0.5333333333333333,0.6568627450980392,0.45170454545454547,0.11764705882352941,0.09090909090909091,0.09090909090909091,0.10256410256410256,-0.10526315789473695,0.8125,0.7647058823529411,0.11764705882352941,-0.10660035817780521,0.61875,0.3310061707701428,0.61211372583228,102,22,80,0.21568627450980393
3,2,0.9369342310382858,0.617261063088389,0.5679012345679012,0.5644919338973047,0.6045454545454545,0.6018099547511312,0.6018099547511312,0.6031746031746031,0.12892521354390707,0.5271739130434783,0.5243243243243243,0.6045454545454545,0.1289268107123577,0.5902026362384418,0.6614236764422947,0.9369342310382858,405,221,184,0.5456790123456791,0.6764705882352942,0.49715909090909094,0.21052631578947367,0.18181818181818182,0.18181818181818182,0.1951219512195122,-0.005977286312014218,0.8125,0.7831325301204819,0.21052631578947367,-0.006002439887456178,0.5948863636363636,0.32586220904492247,0.617261063088389,102,22,80,0.21568627450980393
4,2,0.7840418405838765,0.6094138841053435,0.6123456790123457,0.6126598964944829,0.63,0.6028708133971292,0.6028708133971292,0.6161369193154034,0.2249984764458529,0.6224489795918368,0.5951219512195122,0.63,0.22522085038036013,0.6426618494287667,0.6620678239361387,0.7840418405838765,405,209,196,0.5160493827160494,0.6862745098039216,0.47045454545454546,0.14285714285714285,0.09090909090909091,0.09090909090909091,0.1111111111111111,-0.0680628272251309,0.85,0.7727272727272727,0.14285714285714285,-0.07062714509703236,0.5727272727272728,0.3253648941784545,0.6094138841053435,102,22,80,0.21568627450980393
