epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.07169810779319674,0.07560932822525501,0.5481481481481482,0.506811922093252,0.5492227979274611,0.9592760180995475,0.9592760180995475,0.6985172981878089,0.014729537508474944,0.05434782608695652,0.5263157894736842,0.5492227979274611,0.03207999290557623,0.5907682470981704,0.6486402253887202,0.07169810779319674,405,221,184,0.5456790123456791,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.5880681818181818,0.3932261875234462,0.07560932822525501,102,22,80,0.21568627450980393
2,1,0.06966096977246743,0.06898769979866651,0.5481481481481482,0.5471394430083403,0.5271739130434783,0.9556650246305419,0.9556650246305419,0.6795096322241682,0.09446894815937057,0.13861386138613863,0.7567567567567568,0.5271739130434783,0.16361132984832102,0.631249085499683,0.6401329065835044,0.06966096977246743,405,203,202,0.5012345679012346,0.2549019607843137,0.5085227272727273,0.21875,0.9545454545454546,0.9545454545454546,0.3559322033898305,0.007680491551459334,0.0625,0.8333333333333334,0.21875,0.029795705913924758,0.6767045454545455,0.4345457482001805,0.06898769979866651,102,22,80,0.21568627450980393
3,1,0.06454559815499712,0.06170737155928062,0.5506172839506173,0.5452439024390244,0.5303430079155673,0.9804878048780488,0.9804878048780488,0.6883561643835616,0.09145815358067311,0.11,0.8461538461538461,0.5303430079155673,0.1845762007091713,0.7117073170731707,0.7178179604841977,0.06454559815499712,405,205,200,0.5061728395061729,0.5,0.5988636363636364,0.2698412698412698,0.7727272727272727,0.7727272727272727,0.4,0.1180061037639879,0.425,0.8717948717948718,0.2698412698412698,0.16734792501052412,0.7113636363636364,0.4696793954511758,0.06170737155928062,102,22,80,0.21568627450980393
4,1,0.06589792382118165,0.06133047348031631,0.6197530864197531,0.5849948308964702,0.5965909090909091,0.9459459459459459,0.9459459459459459,0.7317073170731707,0.18130266992202893,0.22404371584699453,0.7735849056603774,0.5965909090909091,0.250850675808333,0.693226012898144,0.7306247180949114,0.06589792382118165,405,222,183,0.5481481481481482,0.43137254901960786,0.5386363636363636,0.23529411764705882,0.7272727272727273,0.7272727272727273,0.35555555555555557,0.04395604395604402,0.35,0.8235294117647058,0.23529411764705882,0.06741998624632421,0.7153409090909091,0.49446246589834514,0.06133047348031631,102,22,80,0.21568627450980393
5,1,0.06783468444265571,0.06581706983538774,0.5753086419753086,0.5663153271848924,0.547683923705722,0.9710144927536232,0.9710144927536232,0.7003484320557491,0.13500223513634324,0.16161616161616163,0.8421052631578947,0.547683923705722,0.22737193080938514,0.6691065241789879,0.668091087616735,0.06783468444265571,405,207,198,0.5111111111111111,0.3137254901960784,0.5460227272727273,0.23333333333333334,0.9545454545454546,0.9545454545454546,0.375,0.043408360128617485,0.1375,0.9166666666666666,0.23333333333333334,0.11750241777009604,0.7176136363636363,0.46393709187217397,0.06581706983538774,102,22,80,0.21568627450980393
6,1,0.06361510500530987,0.072238475514146,0.5777777777777777,0.5496031746031746,0.56,0.9722222222222222,0.9722222222222222,0.7106598984771574,0.10471204188481675,0.12698412698412698,0.8,0.56,0.18898223650461363,0.7233490103860474,0.7529839340117056,0.06361510500530987,405,216,189,0.5333333333333333,0.2549019607843137,0.5085227272727273,0.21875,0.9545454545454546,0.9545454545454546,0.3559322033898305,0.007680491551459334,0.0625,0.8333333333333334,0.21875,0.029795705913924758,0.7142045454545455,0.4789628512378276,0.072238475514146,102,22,80,0.21568627450980393
7,1,0.06284602468504626,0.06577115119076692,0.5753086419753086,0.5877233668587052,0.5335195530726257,0.9744897959183674,0.9744897959183674,0.6895306859205776,0.17104981317085943,0.20095693779904306,0.8936170212765957,0.5335195530726257,0.2737511951039022,0.7336929987305927,0.7380217572453258,0.06284602468504626,405,196,209,0.4839506172839506,0.39215686274509803,0.5795454545454546,0.25,0.9090909090909091,0.9090909090909091,0.39215686274509803,0.08134805345729224,0.25,0.9090909090909091,0.25,0.1590909090909091,0.7147727272727272,0.4840454144264424,0.06577115119076692,102,22,80,0.21568627450980393
8,1,0.06328363165113271,0.12082643792606317,0.6345679012345679,0.6110035297578194,0.6017699115044248,0.9400921658986175,0.9400921658986175,0.7338129496402878,0.23207010531170735,0.28191489361702127,0.803030303030303,0.6017699115044248,0.29978076209149024,0.7256838905775076,0.7599579875339142,0.06328363165113271,405,217,188,0.5358024691358024,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.7159090909090909,0.47792606069561033,0.12082643792606317,102,22,80,0.21568627450980393
9,1,0.06452303860044363,0.07363244131780587,0.6098765432098765,0.6059756097560975,0.5709969788519638,0.9219512195121952,0.9219512195121952,0.7052238805970149,0.21359223300970864,0.29,0.7837837837837838,0.5709969788519638,0.2742192832390044,0.7237073170731707,0.7318444850236915,0.06452303860044363,405,205,200,0.5061728395061729,0.2647058823529412,0.53125,0.2268041237113402,1.0,1.0,0.3697478991596639,0.027954256670902122,0.0625,1.0,0.2268041237113402,0.11905989136547522,0.7102272727272727,0.4682989871705112,0.07363244131780587,102,22,80,0.21568627450980393
10,1,0.06166719749350758,0.09021412638517526,0.5975308641975309,0.5856117566643882,0.5649717514124294,0.9569377990430622,0.9569377990430622,0.7104795737122558,0.17525580000749597,0.21428571428571427,0.8235294117647058,0.5649717514124294,0.2579157499872883,0.7519773459623083,0.7607902818862311,0.06166719749350758,405,209,196,0.5160493827160494,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.010939830929885819,0.025,1.0,0.22,0.07416198487095663,0.7318181818181819,0.4784314567160182,0.09021412638517526,102,22,80,0.21568627450980393
