epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.1248149966350383,0.09261256072432826,0.7753086419753087,0.49494485294117646,0.125,0.011764705882352941,0.011764705882352941,0.021505376344086023,-0.015149428453381075,0.978125,0.7884130982367759,0.125,-0.029587481196648176,0.5090808823529411,0.21390430470652416,0.1248149966350383,405,85,320,0.20987654320987653,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.6710227272727273,0.42885544540373516,0.09261256072432826,102,22,80,0.21568627450980393
2,1,0.10185875532657115,0.0744305973479926,0.7950617283950617,0.5204044117647059,0.6666666666666666,0.047058823529411764,0.047058823529411764,0.08791208791208792,0.061950606948514175,0.99375,0.7969924812030075,0.6666666666666666,0.13755502296612424,0.5683088235294118,0.3010707143343938,0.10185875532657115,405,85,320,0.20987654320987653,0.7941176470588235,0.5556818181818182,0.6,0.13636363636363635,0.13636363636363635,0.2222222222222222,0.15469613259668513,0.975,0.8041237113402062,0.6,0.2121430791603013,0.70625,0.46434119233244103,0.0744305973479926,102,22,80,0.21568627450980393
3,1,0.09441741331448825,0.10680543436376634,0.7975308641975308,0.5392463235294118,0.6153846153846154,0.09411764705882353,0.09411764705882353,0.16326530612244897,0.11392742796157962,0.984375,0.8035714285714286,0.6153846153846154,0.18134213214640088,0.6289705882352941,0.38389849298688494,0.09441741331448825,405,85,320,0.20987654320987653,0.7745098039215687,0.5102272727272728,0.3333333333333333,0.045454545454545456,0.045454545454545456,0.08,0.02977667493796521,0.975,0.7878787878787878,0.3333333333333333,0.04979295977319692,0.7068181818181818,0.47336071871839575,0.10680543436376634,102,22,80,0.21568627450980393
4,1,0.09437832182817978,0.1012362863505533,0.8024691358024691,0.5466911764705883,0.6923076923076923,0.10588235294117647,0.10588235294117647,0.1836734693877551,0.13553895410885808,0.9875,0.8061224489795918,0.6923076923076923,0.2157419277057884,0.6720220588235294,0.42129576551176184,0.09437832182817978,405,85,320,0.20987654320987653,0.7941176470588235,0.5556818181818182,0.6,0.13636363636363635,0.13636363636363635,0.2222222222222222,0.15469613259668513,0.975,0.8041237113402062,0.6,0.2121430791603013,0.7085227272727272,0.4706899044538205,0.1012362863505533,102,22,80,0.21568627450980393
5,1,0.10055247255267552,0.0646947279216393,0.8024691358024691,0.5466911764705883,0.6923076923076923,0.10588235294117647,0.10588235294117647,0.1836734693877551,0.13553895410885808,0.9875,0.8061224489795918,0.6923076923076923,0.2157419277057884,0.643014705882353,0.35849445904875077,0.10055247255267552,405,85,320,0.20987654320987653,0.8137254901960784,0.634090909090909,0.6363636363636364,0.3181818181818182,0.3181818181818182,0.42424242424242425,0.3275503122831368,0.95,0.8351648351648352,0.6363636363636364,0.35560562821614505,0.7340909090909091,0.4971296830875907,0.0646947279216393,102,22,80,0.21568627450980393
6,1,0.09523093505592925,0.07946126968782469,0.7950617283950617,0.5420036764705882,0.5625,0.10588235294117647,0.10588235294117647,0.1782178217821782,0.11968050281524156,0.978125,0.8046272493573264,0.5625,0.17561716434074498,0.6249264705882354,0.36734453567952086,0.09523093505592925,405,85,320,0.20987654320987653,0.803921568627451,0.6113636363636363,0.6,0.2727272727272727,0.2727272727272727,0.375,0.2776203966005666,0.95,0.8260869565217391,0.6,0.30806036059634645,0.7204545454545455,0.487029860563915,0.07946126968782469,102,22,80,0.21568627450980393
7,1,0.08750462321252678,0.07790578492602114,0.8024691358024691,0.5510110294117647,0.6666666666666666,0.11764705882352941,0.11764705882352941,0.2,0.14624505928853748,0.984375,0.8076923076923077,0.6666666666666666,0.2199888160464535,0.6919485294117648,0.3978506761565892,0.08750462321252678,405,85,320,0.20987654320987653,0.803921568627451,0.6113636363636363,0.6,0.2727272727272727,0.2727272727272727,0.375,0.2776203966005666,0.95,0.8260869565217391,0.6,0.30806036059634645,0.7272727272727273,0.4910116681740309,0.07790578492602114,102,22,80,0.21568627450980393
8,1,0.08898691689116983,0.09330775168856752,0.8049382716049382,0.5784926470588235,0.6153846153846154,0.18823529411764706,0.18823529411764706,0.2882882882882883,0.21068212655729623,0.96875,0.8179419525065963,0.6153846153846154,0.2608177499891302,0.6840073529411764,0.4259512490021176,0.08898691689116983,405,85,320,0.20987654320987653,0.803921568627451,0.5784090909090909,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.2857142857142857,0.21296296296296302,0.975,0.8125,0.6666666666666666,0.27412049440810776,0.727840909090909,0.4989543015345276,0.09330775168856752,102,22,80,0.21568627450980393
9,1,0.09268204363560258,0.07493480336829546,0.7975308641975308,0.5522058823529412,0.5789473684210527,0.12941176470588237,0.12941176470588237,0.21153846153846154,0.14605296991514516,0.975,0.8082901554404145,0.5789473684210527,0.20107748065537326,0.6715073529411765,0.4183707197432871,0.09268204363560258,405,85,320,0.20987654320987653,0.8137254901960784,0.634090909090909,0.6363636363636364,0.3181818181818182,0.3181818181818182,0.42424242424242425,0.3275503122831368,0.95,0.8351648351648352,0.6363636363636364,0.35560562821614505,0.7170454545454545,0.48432676197272967,0.07493480336829546,102,22,80,0.21568627450980393
10,1,0.09195546322059531,0.06050784722787748,0.8074074074074075,0.5714154411764706,0.6666666666666666,0.16470588235294117,0.16470588235294117,0.2641509433962264,0.19740853658536595,0.978125,0.8151041666666666,0.6666666666666666,0.26231994437501654,0.6621691176470588,0.42705463682972844,0.09195546322059531,405,85,320,0.20987654320987653,0.8333333333333334,0.6795454545454546,0.6923076923076923,0.4090909090909091,0.4090909090909091,0.5142857142857142,0.4216144096064043,0.95,0.8539325842696629,0.6923076923076923,0.44288815461494574,0.7301136363636364,0.4985288621695592,0.06050784722787748,102,22,80,0.21568627450980393
