epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.5189081233944378,0.5487338161239257,0.7901234567901234,0.5043198529411764,0.5,0.011764705882352941,0.011764705882352941,0.022988505747126436,0.013468978363662565,0.996875,0.7915632754342432,0.5,0.05018984903192399,0.5476470588235294,0.25333702079896037,0.5189081233944378,405,85,320,0.20987654320987653,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.5295454545454545,0.22827568314137056,0.5487338161239257,102,22,80,0.21568627450980393
2,1,0.517556648993609,0.5234208485254874,0.7901234567901234,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7901234567901234,0.0,0.0,0.548235294117647,0.23055681142127787,0.517556648993609,405,85,320,0.20987654320987653,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.6585227272727273,0.39281149492928047,0.5234208485254874,102,22,80,0.21568627450980393
3,1,0.5151517752777127,0.4931619723255818,0.7901234567901234,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7901234567901234,0.0,0.0,0.5943382352941177,0.2928934606816034,0.5151517752777127,405,85,320,0.20987654320987653,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.6659090909090909,0.4091978219347114,0.4931619723255818,102,22,80,0.21568627450980393
4,1,0.5006700929473428,0.492813151043195,0.7901234567901234,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7901234567901234,0.0,0.0,0.5978676470588236,0.33397972913315965,0.5006700929473428,405,85,320,0.20987654320987653,0.7843137254901961,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7843137254901961,0.0,0.0,0.6687500000000001,0.40584294259581616,0.492813151043195,102,22,80,0.21568627450980393
5,1,0.5058224206315536,0.48042220163803834,0.7950617283950617,0.5117647058823529,1.0,0.023529411764705882,0.023529411764705882,0.04597701149425287,0.03668147299039992,1.0,0.794044665012407,1.0,0.13668724842736749,0.627389705882353,0.32378825682780876,0.5058224206315536,405,85,320,0.20987654320987653,0.7941176470588235,0.5556818181818182,0.6,0.13636363636363635,0.13636363636363635,0.2222222222222222,0.15469613259668513,0.975,0.8041237113402062,0.6,0.2121430791603013,0.6829545454545454,0.4468371710264351,0.48042220163803834,102,22,80,0.21568627450980393
6,1,0.510600603021243,0.47462087181898266,0.7975308641975308,0.5219669117647059,0.8,0.047058823529411764,0.047058823529411764,0.08888888888888889,0.06713483146067423,0.996875,0.7975,0.8,0.16201993568330883,0.6040073529411765,0.35937555062869364,0.510600603021243,405,85,320,0.20987654320987653,0.7941176470588235,0.5556818181818182,0.6,0.13636363636363635,0.13636363636363635,0.2222222222222222,0.15469613259668513,0.975,0.8041237113402062,0.6,0.2121430791603013,0.6818181818181819,0.446529766761133,0.47462087181898266,102,22,80,0.21568627450980393
7,1,0.49855702735629737,0.4763426087223567,0.8024691358024691,0.5380514705882353,0.7777777777777778,0.08235294117647059,0.08235294117647059,0.14893617021276595,0.11330049261083752,0.99375,0.803030303030303,0.7777777777777778,0.21024082193655008,0.6451838235294117,0.3800242417915379,0.49855702735629737,405,85,320,0.20987654320987653,0.7941176470588235,0.5556818181818182,0.6,0.13636363636363635,0.13636363636363635,0.2222222222222222,0.15469613259668513,0.975,0.8041237113402062,0.6,0.2121430791603013,0.6806818181818182,0.4457239126818485,0.4763426087223567,102,22,80,0.21568627450980393
8,1,0.5053033032545856,0.49639231998186845,0.8049382716049382,0.5352941176470588,1.0,0.07058823529411765,0.07058823529411765,0.13186813186813187,0.10715780661364604,1.0,0.8020050125313283,1.0,0.23793301269816083,0.6287132352941176,0.3824206358406329,0.5053033032545856,405,85,320,0.20987654320987653,0.7843137254901961,0.5329545454545455,0.5,0.09090909090909091,0.09090909090909091,0.15384615384615385,0.09369951534733434,0.975,0.7959183673469388,0.5,0.1396556857959573,0.6767045454545454,0.4388919295847072,0.49639231998186845,102,22,80,0.21568627450980393
9,1,0.5022599612380944,0.4739355548070027,0.8,0.5278492647058823,0.8333333333333334,0.058823529411764705,0.058823529411764705,0.10989010989010989,0.08455420678108005,0.996875,0.7994987468671679,0.8333333333333334,0.18774401783214253,0.6477573529411764,0.38168857717058563,0.5022599612380944,405,85,320,0.20987654320987653,0.803921568627451,0.5948863636363636,0.625,0.22727272727272727,0.22727272727272727,0.3333333333333333,0.24667651403249624,0.9625,0.8191489361702128,0.625,0.2903228460392012,0.6857954545454545,0.4476167947123731,0.4739355548070027,102,22,80,0.21568627450980393
10,1,0.48012231750523343,0.5042050916414994,0.8024691358024691,0.5466911764705883,0.6923076923076923,0.10588235294117647,0.10588235294117647,0.1836734693877551,0.13553895410885808,0.9875,0.8061224489795918,0.6923076923076923,0.2157419277057884,0.6554779411764706,0.40686875715809195,0.48012231750523343,405,85,320,0.20987654320987653,0.7843137254901961,0.5329545454545455,0.5,0.09090909090909091,0.09090909090909091,0.15384615384615385,0.09369951534733434,0.975,0.7959183673469388,0.5,0.1396556857959573,0.6869318181818183,0.44529595461927685,0.5042050916414994,102,22,80,0.21568627450980393
