epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.09715177798095871,0.08726791578989762,0.5407407407407407,0.5095628415300547,0.5538922155688623,0.8333333333333334,0.8333333333333334,0.6654676258992805,0.18579234972677597,0.4788732394366197,0.5538922155688623,0.025033212094238328,0.5388913503667603,0.5797173527708916,0.09715177798095871,405,222,183,0.5481481481481482,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6369318181818182,0.38699304918895694,0.08726791578989762,102,22,80,0.21568627450980393
2,1,0.0916600313366336,0.08807683277588624,0.5333333333333333,0.5075798459500565,0.5427728613569321,0.8440366972477065,0.8440366972477065,0.6606822262118492,0.1711229946524064,0.48484848484848486,0.5427728613569321,0.020462920083420953,0.5094441446303292,0.5673719836036792,0.0916600313366336,405,218,187,0.5382716049382716,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6517045454545455,0.38592794795548674,0.08807683277588624,102,22,80,0.21568627450980393
3,1,0.08419445956892826,0.092937692713279,0.5259259259259259,0.4876430544593528,0.5459770114942529,0.8482142857142857,0.8482142857142857,0.6643356643356644,0.1270718232044199,0.40350877192982454,0.5459770114942529,-0.03533274467847447,0.5645471586424625,0.6431404816723527,0.08419445956892826,405,224,181,0.5530864197530864,0.22549019607843138,0.4897727272727273,0.21212121212121213,0.9545454545454546,0.9545454545454546,0.34710743801652894,0.025,0.6666666666666666,0.21212121212121213,-0.04979295977319692,0.6221590909090909,0.3836986108111934,0.092937692713279,102,22,80,0.21568627450980393
4,1,0.08932503038907752,0.07316634288200966,0.5135802469135803,0.5076718544177197,0.5131964809384164,0.8495145631067961,0.8495145631067961,0.6398537477148081,0.1658291457286432,0.515625,0.5131964809384164,0.02102922755892918,0.5198809581890033,0.5520676882781296,0.08932503038907752,405,206,199,0.508641975308642,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6659090909090909,0.38768248883090545,0.07316634288200966,102,22,80,0.21568627450980393
5,1,0.08697639491555154,0.06886992059074916,0.4962962962962963,0.5046490628660679,0.4892966360856269,0.8121827411167513,0.8121827411167513,0.6106870229007634,0.1971153846153846,0.5256410256410257,0.4892966360856269,0.011785255910608368,0.5078338539632956,0.5120770416562622,0.08697639491555154,405,197,208,0.48641975308641977,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.6465909090909091,0.3823537276466449,0.06886992059074916,102,22,80,0.21568627450980393
6,1,0.08278198658908699,0.0794734599498602,0.5358024691358024,0.5212781550789075,0.5335276967930029,0.8672985781990521,0.8672985781990521,0.6606498194945848,0.17525773195876287,0.5483870967741935,0.5335276967930029,0.05904228452184928,0.5685005130209606,0.5702503859399743,0.08278198658908699,405,211,194,0.5209876543209877,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6261363636363636,0.3882308284560371,0.0794734599498602,102,22,80,0.21568627450980393
7,1,0.07934175223550376,0.0731329619884491,0.5382716049382716,0.5454545454545454,0.5165165165165165,0.8686868686868687,0.8686868686868687,0.647834274952919,0.2222222222222222,0.6388888888888888,0.5165165165165165,0.11886027144409578,0.5854682086566145,0.602524349473588,0.07934175223550376,405,198,207,0.4888888888888889,0.24509803921568626,0.5022727272727273,0.21649484536082475,0.9545454545454546,0.9545454545454546,0.35294117647058826,0.05,0.8,0.21649484536082475,0.00865890119021638,0.6022727272727273,0.3794676630475461,0.0731329619884491,102,22,80,0.21568627450980393
8,1,0.07938652555001717,0.0694310745367637,0.5135802469135803,0.532374541003672,0.48923076923076925,0.8368421052631579,0.8368421052631579,0.6174757281553398,0.22790697674418606,0.6125,0.48923076923076925,0.08116017446748904,0.5756915544675643,0.5800237041987166,0.07938652555001717,405,190,215,0.4691358024691358,0.30392156862745096,0.5068181818181818,0.21839080459770116,0.8636363636363636,0.8636363636363636,0.3486238532110092,0.15,0.8,0.21839080459770116,0.015836151649297917,0.6017045454545454,0.3785221654679229,0.0694310745367637,102,22,80,0.21568627450980393
9,1,0.0770504658530448,0.0729539471750076,0.5604938271604938,0.5539086517347387,0.544891640866873,0.8502415458937198,0.8502415458937198,0.6641509433962264,0.25757575757575757,0.6219512195121951,0.544891640866873,0.13412139020009314,0.6137949543746645,0.6404902801616155,0.0770504658530448,405,207,198,0.5111111111111111,0.23529411764705882,0.4960227272727273,0.21428571428571427,0.9545454545454546,0.9545454545454546,0.35,0.0375,0.75,0.21428571428571427,-0.016854996561581053,0.6363636363636364,0.38656125253578744,0.0729539471750076,102,22,80,0.21568627450980393
10,1,0.07860147496502773,0.07760157737021263,0.5358024691358024,0.5056910170239906,0.5414364640883977,0.8990825688073395,0.8990825688073395,0.6758620689655173,0.11229946524064172,0.4883720930232558,0.5414364640883977,0.018419609441191535,0.5709905313251238,0.6254917505230877,0.07860147496502773,405,218,187,0.5382716049382716,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6647727272727273,0.38157096982203764,0.07760157737021263,102,22,80,0.21568627450980393
