epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.07896306953739886,0.07270916751944102,0.43703703703703706,0.47278919929175683,0.43922651933701656,0.8641304347826086,0.8641304347826086,0.5824175824175825,0.08144796380090498,0.4186046511627907,0.43922651933701656,-0.08796053304129013,0.45883336612236864,0.45240117231448174,0.07896306953739886,405,184,221,0.454320987654321,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.5914772727272727,0.3394003502232212,0.07270916751944102,102,22,80,0.21568627450980393
2,1,0.07355130314096517,0.07637879195121619,0.5037037037037037,0.5094512195121951,0.49872122762148335,0.975,0.975,0.6598984771573604,0.04390243902439024,0.6428571428571429,0.49872122762148335,0.05173177471481879,0.5324146341463415,0.5387947852466988,0.07355130314096517,405,200,205,0.49382716049382713,0.24509803921568626,0.48579545454545453,0.21052631578947367,0.9090909090909091,0.9090909090909091,0.3418803418803419,0.0625,0.7142857142857143,0.21052631578947367,-0.04621711666540848,0.5965909090909091,0.3744248799345656,0.07637879195121619,102,22,80,0.21568627450980393
3,1,0.07381775299561959,0.07458138838410378,0.5111111111111111,0.4928571428571429,0.5149253731343284,0.9857142857142858,0.9857142857142858,0.6764705882352942,0.0,0.0,0.5149253731343284,-0.083244444419147,0.5185836385836387,0.5772084805408311,0.07381775299561959,405,210,195,0.5185185185185185,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.5869318181818183,0.37251682696283056,0.07458138838410378,102,22,80,0.21568627450980393
4,1,0.07051744038129554,0.07768509952494732,0.528395061728395,0.5002813524489896,0.5285359801488834,0.9953271028037384,0.9953271028037384,0.6904376012965965,0.005235602094240838,0.5,0.5285359801488834,0.004007160565589134,0.5662768508098057,0.6467414129166258,0.07051744038129554,405,214,191,0.528395061728395,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.5886363636363636,0.3717541329219103,0.07768509952494732,102,22,80,0.21568627450980393
5,1,0.06966188287033755,0.07743660776087871,0.5481481481481482,0.5,0.5481481481481482,1.0,1.0,0.7081339712918661,0.0,0.0,0.5481481481481482,0.0,0.5519125683060109,0.614151196881723,0.06966188287033755,405,222,183,0.5481481481481482,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.025,1.0,0.22,0.07416198487095663,0.6261363636363636,0.3922724478146047,0.07743660776087871,102,22,80,0.21568627450980393
6,1,0.07034757952479755,0.07199467503680633,0.49135802469135803,0.5023056653491436,0.4900497512437811,0.9949494949494949,0.9949494949494949,0.6566666666666666,0.00966183574879227,0.6666666666666666,0.4900497512437811,0.026882545058756188,0.5928853754940712,0.6199552479697503,0.07034757952479755,405,198,207,0.4888888888888889,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.025,1.0,0.22,0.07416198487095663,0.6056818181818181,0.36930002169653997,0.07199467503680633,102,22,80,0.21568627450980393
7,1,0.07006153110049519,0.06881736906675193,0.5012345679012346,0.5072560975609756,0.4975,0.995,0.995,0.6633333333333333,0.01951219512195122,0.8,0.4975,0.0657067580145337,0.6233170731707317,0.6245387833255359,0.07006153110049519,405,200,205,0.49382716049382713,0.22549019607843138,0.4897727272727273,0.21212121212121213,0.9545454545454546,0.9545454545454546,0.34710743801652894,0.025,0.6666666666666666,0.21212121212121213,-0.04979295977319692,0.6295454545454545,0.3904824565472489,0.06881736906675193,102,22,80,0.21568627450980393
8,1,0.06875196869905088,0.07211666468244332,0.4740740740740741,0.5146191646191647,0.4642857142857143,0.9837837837837838,0.9837837837837838,0.6308492201039861,0.045454545454545456,0.7692307692307693,0.4642857142857143,0.08262948521945315,0.6455036855036855,0.6408231324910376,0.06875196869905088,405,185,220,0.4567901234567901,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.025,1.0,0.22,0.07416198487095663,0.6278409090909091,0.3917715518800411,0.07211666468244332,102,22,80,0.21568627450980393
9,1,0.0703453576447917,0.0756572628250489,0.4962962962962963,0.5046836122359369,0.49373433583959897,0.9899497487437185,0.9899497487437185,0.6588628762541806,0.019417475728155338,0.6666666666666666,0.49373433583959897,0.03876225220481653,0.5729131092354979,0.6324092364227284,0.0703453576447917,405,199,206,0.49135802469135803,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.6323863636363636,0.3913906850244745,0.0756572628250489,102,22,80,0.21568627450980393
10,1,0.06743091030740271,0.07612771111039016,0.5185185185185185,0.4976303317535545,0.5198019801980198,0.995260663507109,0.995260663507109,0.6829268292682927,0.0,0.0,0.5198019801980198,-0.04770555522223295,0.6563248155567499,0.7086432880781213,0.06743091030740271,405,211,194,0.5209876543209877,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.6306818181818182,0.38749165694411186,0.07612771111039016,102,22,80,0.21568627450980393
