epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,3,0.6851459683156481,0.6393974606807415,0.583743842364532,0.5839805825242719,0.5939086294416244,0.5679611650485437,0.5679611650485437,0.5806451612903226,0.6,0.5741626794258373,0.5939086294416244,0.1680162279323414,0.6289077669902913,0.6394060906574612,0.6851459683156481,406,206,200,0.5073891625615764,0.7029702970297029,0.6720238095238096,0.37142857142857144,0.6190476190476191,0.6190476190476191,0.4642857142857143,0.725,0.8787878787878788,0.37142857142857144,0.2934047953655782,0.7416666666666667,0.517281288171226,0.6393974606807415,101,21,80,0.2079207920792079
2,3,0.6457205163497551,0.5857092806926141,0.6527093596059114,0.6497968814614805,0.6477272727272727,0.5906735751295337,0.5906735751295337,0.6178861788617886,0.7089201877934272,0.6565217391304348,0.6477272727272727,0.3019124149948842,0.7224695322192219,0.6663100871789606,0.6457205163497551,406,193,213,0.4753694581280788,0.7920792079207921,0.693154761904762,0.5,0.5238095238095238,0.5238095238095238,0.5116279069767442,0.8625,0.8734177215189873,0.5,0.37980892851806075,0.7958333333333334,0.5617465393125782,0.5857092806926141,101,21,80,0.2079207920792079
3,3,0.5807058922216004,0.5846960636285635,0.7635467980295566,0.7631604506604507,0.7628865979381443,0.7474747474747475,0.7474747474747475,0.7551020408163265,0.7788461538461539,0.7641509433962265,0.7628865979381443,0.5266790994382232,0.843919968919969,0.8040442291878267,0.5807058922216004,406,198,208,0.4876847290640394,0.7227722772277227,0.6669642857142857,0.3870967741935484,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.7625,0.8714285714285714,0.3870967741935484,0.2938179697392114,0.7833333333333333,0.5486407217202796,0.5846960636285635,101,21,80,0.2079207920792079
4,3,0.5464420581565184,0.58963877421159,0.812807881773399,0.8127669902912622,0.81,0.81,0.81,0.81,0.8155339805825242,0.8155339805825242,0.81,0.6255339805825243,0.8869174757281553,0.8712758441037238,0.5464420581565184,406,200,206,0.49261083743842365,0.7326732673267327,0.7258928571428571,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.5263157894736842,0.7375,0.9076923076923077,0.4166666666666667,0.38280641441301755,0.7779761904761905,0.518310128034873,0.58963877421159,101,21,80,0.2079207920792079
5,3,0.5272085316040936,0.5643421973173435,0.8448275862068966,0.8387886693081978,0.8416666666666667,0.8898678414096917,0.8898678414096917,0.8650963597430407,0.7877094972067039,0.8493975903614458,0.8416666666666667,0.6842875711935918,0.8996874461644476,0.9181506210087027,0.5272085316040936,406,227,179,0.5591133004926109,0.801980198019802,0.7345238095238096,0.52,0.6190476190476191,0.6190476190476191,0.5652173913043478,0.85,0.8947368421052632,0.52,0.44105705789705035,0.7928571428571428,0.5371661112606823,0.5643421973173435,101,21,80,0.2079207920792079
6,3,0.5001794666636223,0.5740552395582199,0.8448275862068966,0.8448275862068966,0.8125,0.896551724137931,0.896551724137931,0.8524590163934426,0.7931034482758621,0.8846153846153846,0.8125,0.6933752452815365,0.924822247567279,0.9171884866491662,0.5001794666636223,406,203,203,0.5,0.7722772277227723,0.6806547619047619,0.4583333333333333,0.5238095238095238,0.5238095238095238,0.4888888888888889,0.8375,0.8701298701298701,0.4583333333333333,0.3444951140905206,0.7708333333333334,0.519504282451323,0.5740552395582199,101,21,80,0.2079207920792079
7,3,0.47394658099202547,0.61465996159957,0.8793103448275862,0.8777501947040498,0.8907103825136612,0.8489583333333334,0.8489583333333334,0.8693333333333333,0.9065420560747663,0.8699551569506726,0.8907103825136612,0.7580785653707843,0.9493526090342679,0.930002335795538,0.47394658099202547,406,192,214,0.4729064039408867,0.7425742574257426,0.7145833333333333,0.42424242424242425,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.7625,0.8970588235294118,0.42424242424242425,0.37133783203718906,0.7732142857142857,0.4980499457304015,0.61465996159957,101,21,80,0.2079207920792079
8,3,0.4695626695950826,0.6057066596471347,0.8940886699507389,0.8937143550539983,0.8681818181818182,0.9317073170731708,0.9317073170731708,0.8988235294117647,0.8557213930348259,0.9247311827956989,0.8681818181818182,0.7901660974678596,0.950928285402257,0.9410243030419798,0.4695626695950826,406,205,201,0.5049261083743842,0.7326732673267327,0.6907738095238095,0.40625,0.6190476190476191,0.6190476190476191,0.49056603773584906,0.7625,0.8840579710144928,0.40625,0.33281573750519206,0.7773809523809524,0.528212298951981,0.6057066596471347,101,21,80,0.2079207920792079
9,3,0.4295073589857887,0.6357793762133672,0.9236453201970444,0.9216769620751606,0.9260869565217391,0.9383259911894273,0.9383259911894273,0.9321663019693655,0.9050279329608939,0.9204545454545454,0.9260869565217391,0.8449462099138657,0.9754879039204587,0.9795706569199796,0.4295073589857887,406,227,179,0.5591133004926109,0.7524752475247525,0.7735119047619048,0.4473684210526316,0.8095238095238095,0.8095238095238095,0.576271186440678,0.7375,0.9365079365079365,0.4473684210526316,0.45824612109531926,0.7785714285714286,0.5168636031165597,0.6357793762133672,101,21,80,0.2079207920792079
10,3,0.44329315307093603,0.6038563744379923,0.9261083743842364,0.9278948009253623,0.8926829268292683,0.9581151832460733,0.9581151832460733,0.9242424242424242,0.8976744186046511,0.9601990049751243,0.8926829268292683,0.854334529821052,0.9713868257640327,0.9664846545944858,0.44329315307093603,406,191,215,0.47044334975369456,0.7524752475247525,0.7032738095238096,0.43333333333333335,0.6190476190476191,0.6190476190476191,0.5098039215686274,0.7875,0.8873239436619719,0.43333333333333335,0.3610574088600512,0.7714285714285714,0.5079183260362887,0.6038563744379923,101,21,80,0.2079207920792079
