epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,3,0.08326073023764526,0.07893647156799069,0.5049261083743842,0.49132653061224485,0.512396694214876,0.8857142857142857,0.8857142857142857,0.6492146596858639,0.09693877551020408,0.4418604651162791,0.512396694214876,-0.028169101095000718,0.5025024295432459,0.5341217246856877,0.08326073023764526,406,210,196,0.5172413793103449,0.33663366336633666,0.4758928571428571,0.19736842105263158,0.7142857142857143,0.7142857142857143,0.30927835051546393,0.2375,0.76,0.19736842105263158,-0.04533708336251406,0.5672619047619047,0.39741004972683963,0.07893647156799069,101,21,80,0.2079207920792079
2,3,0.06864823110620766,0.06746032941513337,0.5714285714285714,0.5819833385956816,0.5331412103746398,0.9390862944162437,0.9390862944162437,0.6801470588235294,0.22488038277511962,0.7966101694915254,0.5331412103746398,0.2325257793362321,0.6958686517863648,0.6434307628255386,0.06864823110620766,406,197,209,0.4852216748768473,0.4158415841584158,0.5083333333333333,0.21212121212121213,0.6666666666666666,0.6666666666666666,0.3218390804597701,0.35,0.8,0.21212121212121213,0.014213381090374028,0.5869047619047618,0.3753508206644411,0.06746032941513337,101,21,80,0.2079207920792079
3,3,0.05835973993674213,0.07117102617541185,0.6625615763546798,0.6568470371179569,0.6086956521739131,0.9468599033816425,0.9468599033816425,0.7410207939508506,0.36683417085427134,0.8690476190476191,0.6086956521739131,0.3871243123187636,0.8104775083145195,0.809590392565856,0.05835973993674213,406,207,199,0.5098522167487685,0.40594059405940597,0.5547619047619048,0.2328767123287671,0.8095238095238095,0.8095238095238095,0.3617021276595745,0.3,0.8571428571428571,0.2328767123287671,0.09929393828540348,0.6464285714285714,0.42486082342123754,0.07117102617541185,101,21,80,0.2079207920792079
4,3,0.054867844170361176,0.0674025988062987,0.7068965517241379,0.7182247196477657,0.6267123287671232,0.9481865284974094,0.9481865284974094,0.7546391752577319,0.48826291079812206,0.9122807017543859,0.6267123287671232,0.48501876866293736,0.8573305115668102,0.8445422817872142,0.054867844170361176,406,193,213,0.4753694581280788,0.46534653465346537,0.5922619047619048,0.2537313432835821,0.8095238095238095,0.8095238095238095,0.38636363636363635,0.375,0.8823529411764706,0.2537313432835821,0.15846384630221075,0.6678571428571429,0.3813476450117422,0.0674025988062987,101,21,80,0.2079207920792079
5,3,0.04989466249175808,0.06277660695979229,0.7118226600985221,0.724493769470405,0.6279863481228669,0.9583333333333334,0.9583333333333334,0.7587628865979381,0.49065420560747663,0.9292035398230089,0.6279863481228669,0.500171287172229,0.8818389797507787,0.8530018856865523,0.04989466249175808,406,192,214,0.4729064039408867,0.5544554455445545,0.6133928571428571,0.2777777777777778,0.7142857142857143,0.7142857142857143,0.4,0.5125,0.8723404255319149,0.2777777777777778,0.18451196157668676,0.6827380952380953,0.41239588948636874,0.06277660695979229,101,21,80,0.2079207920792079
6,3,0.051188610338916384,0.0595642366948036,0.7536945812807881,0.769134438305709,0.6626506024096386,0.9116022099447514,0.9116022099447514,0.7674418604651163,0.6266666666666667,0.8980891719745223,0.6626506024096386,0.5493894505986644,0.8736402701043586,0.8169530757133111,0.051188610338916384,406,181,225,0.4458128078817734,0.594059405940594,0.6208333333333333,0.2916666666666667,0.6666666666666666,0.6666666666666666,0.4057971014492754,0.575,0.8679245283018868,0.2916666666666667,0.1963870467149003,0.7154761904761905,0.41599999032439877,0.0595642366948036,101,21,80,0.2079207920792079
7,3,0.04142432691821573,0.0643319425961146,0.8078817733990148,0.7915689149560117,0.7431506849315068,0.9863636363636363,0.9863636363636363,0.84765625,0.5967741935483871,0.9736842105263158,0.7431506849315068,0.6465396703547949,0.9184017595307917,0.9139930069103392,0.04142432691821573,406,220,186,0.541871921182266,0.5742574257425742,0.6434523809523809,0.2962962962962963,0.7619047619047619,0.7619047619047619,0.4266666666666667,0.525,0.8936170212765957,0.2962962962962963,0.23342458131223887,0.7297619047619048,0.4326498297365841,0.0643319425961146,101,21,80,0.2079207920792079
8,3,0.04399653953755749,0.05686940997838974,0.7783251231527094,0.7816376568834511,0.7026022304832714,0.949748743718593,0.949748743718593,0.8076923076923077,0.6135265700483091,0.927007299270073,0.7026022304832714,0.5955195256433216,0.9035272983273857,0.8934277973849858,0.04399653953755749,406,199,207,0.49014778325123154,0.693069306930693,0.6833333333333333,0.3684210526315789,0.6666666666666666,0.6666666666666666,0.4745762711864407,0.7,0.8888888888888888,0.3684210526315789,0.3071595327472434,0.7428571428571429,0.4594340145111316,0.05686940997838974,101,21,80,0.2079207920792079
9,3,0.038712831670600995,0.06386869551184085,0.8201970443349754,0.8295210166177909,0.7383966244725738,0.9408602150537635,0.9408602150537635,0.8274231678486997,0.7181818181818181,0.9349112426035503,0.7383966244725738,0.6661367620176517,0.9331622678396871,0.9214327825317075,0.038712831670600995,406,186,220,0.458128078817734,0.6138613861386139,0.6684523809523809,0.32,0.7619047619047619,0.7619047619047619,0.4507042253521127,0.575,0.9019607843137255,0.32,0.27345867181607153,0.7422619047619048,0.4185773720223301,0.06386869551184085,101,21,80,0.2079207920792079
10,3,0.03736559188395154,0.059451319778767914,0.8103448275862069,0.8083009708737865,0.7471264367816092,0.9466019417475728,0.9466019417475728,0.8351177730192719,0.67,0.9241379310344827,0.7471264367816092,0.6433528678892784,0.9359223300970875,0.9307320150565996,0.03736559188395154,406,206,200,0.5073891625615764,0.693069306930693,0.7008928571428572,0.375,0.7142857142857143,0.7142857142857143,0.4918032786885246,0.6875,0.9016393442622951,0.375,0.3333912664332373,0.7529761904761905,0.44510926517971555,0.059451319778767914,101,21,80,0.2079207920792079
11,3,0.038577868644257676,0.059205001327567376,0.8275862068965517,0.8254368932038836,0.7575757575757576,0.970873786407767,0.970873786407767,0.851063829787234,0.68,0.9577464788732394,0.7575757575757576,0.6823375209815379,0.9265291262135923,0.9151420012912201,0.038577868644257676,406,206,200,0.5073891625615764,0.693069306930693,0.718452380952381,0.38095238095238093,0.7619047619047619,0.7619047619047619,0.5079365079365079,0.675,0.9152542372881356,0.38095238095238093,0.35974168790534633,0.7732142857142856,0.47896018552521635,0.059205001327567376,101,21,80,0.2079207920792079
12,3,0.03337755006299738,0.06043281153632471,0.8522167487684729,0.8578340789729625,0.7701612903225806,0.9845360824742269,0.9845360824742269,0.8642533936651584,0.7311320754716981,0.9810126582278481,0.7701612903225806,0.7332061620417905,0.9513470141995721,0.9278435697711621,0.03337755006299738,406,194,212,0.47783251231527096,0.7029702970297029,0.7247023809523809,0.3902439024390244,0.7619047619047619,0.7619047619047619,0.5161290322580645,0.6875,0.9166666666666666,0.3902439024390244,0.37138534063018436,0.7761904761904761,0.4950616890602802,0.06043281153632471,101,21,80,0.2079207920792079
13,3,0.033050324585215715,0.06071928612744579,0.8596059113300493,0.8709054217015726,0.7723214285714286,0.9664804469273743,0.9664804469273743,0.858560794044665,0.775330396475771,0.967032967032967,0.7723214285714286,0.7405816010252478,0.9478502694853936,0.9254393213127352,0.033050324585215715,406,179,227,0.4408866995073892,0.7128712871287128,0.6958333333333333,0.3888888888888889,0.6666666666666666,0.6666666666666666,0.49122807017543857,0.725,0.8923076923076924,0.3888888888888889,0.3318664304133933,0.7720238095238096,0.48858554337004007,0.06071928612744579,101,21,80,0.2079207920792079
14,3,0.029916562167379784,0.06156957213981794,0.8694581280788177,0.8714951569441409,0.8016528925619835,0.9748743718592965,0.9748743718592965,0.8798185941043084,0.7681159420289855,0.9695121951219512,0.8016528925619835,0.7569466233215992,0.9584880926370986,0.9492031465330042,0.029916562167379784,406,199,207,0.49014778325123154,0.7128712871287128,0.7309523809523809,0.4,0.7619047619047619,0.7619047619047619,0.5245901639344263,0.7,0.9180327868852459,0.4,0.3832764781513958,0.7904761904761904,0.5176699880350248,0.06156957213981794,101,21,80,0.2079207920792079
15,3,0.03320973921868512,0.06283955813313906,0.8669950738916257,0.8622929285557906,0.8192771084337349,0.9577464788732394,0.9577464788732394,0.8831168831168831,0.7668393782383419,0.9426751592356688,0.8192771084337349,0.7430342098095808,0.9514218297696367,0.949892703976565,0.03320973921868512,406,213,193,0.5246305418719212,0.7029702970297029,0.7071428571428571,0.38461538461538464,0.7142857142857143,0.7142857142857143,0.5,0.7,0.9032258064516129,0.38461538461538464,0.34532375163322,0.7833333333333333,0.5049349169878794,0.06283955813313906,101,21,80,0.2079207920792079
16,3,0.026323293833354234,0.06181240054922035,0.8817733990147784,0.8813822558726461,0.8305084745762712,0.9607843137254902,0.9607843137254902,0.8909090909090909,0.801980198019802,0.9529411764705882,0.8305084745762712,0.7730378972325854,0.9685983304212774,0.9622059356056554,0.026323293833354234,406,204,202,0.5024630541871922,0.7326732673267327,0.7610119047619048,0.425,0.8095238095238095,0.8095238095238095,0.5573770491803278,0.7125,0.9344262295081968,0.425,0.4331616898695543,0.7976190476190476,0.5256578951585849,0.06181240054922035,101,21,80,0.2079207920792079
17,3,0.032503014197573066,0.06286427124331777,0.8497536945812808,0.8520299145299145,0.7890295358649789,0.9444444444444444,0.9444444444444444,0.8597701149425288,0.7596153846153846,0.9349112426035503,0.7890295358649789,0.7139311036353524,0.9523358585858587,0.9454144145663557,0.032503014197573066,406,198,208,0.4876847290640394,0.693069306930693,0.6657738095238095,0.3611111111111111,0.6190476190476191,0.6190476190476191,0.45614035087719296,0.7125,0.8769230769230769,0.3611111111111111,0.2809264464137691,0.7797619047619048,0.49020438076052814,0.06286427124331777,101,21,80,0.2079207920792079
