epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,4,0.09029029057744671,0.07127592368767811,0.5443349753694581,0.5250578351394131,0.5446428571428571,0.8511627906976744,0.8511627906976744,0.6642468239564429,0.19895287958115182,0.5428571428571428,0.5446428571428571,0.06622024727677553,0.5322293924266407,0.5538844476184599,0.09029029057744671,406,215,191,0.5295566502463054,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.6607142857142856,0.41504168084821064,0.07127592368767811,101,21,80,0.2079207920792079
2,4,0.08933026562718784,0.08454824554232451,0.5517241379310345,0.5226366638131343,0.5578635014836796,0.8506787330316742,0.8506787330316742,0.6738351254480287,0.1945945945945946,0.5217391304347826,0.5578635014836796,0.060032291600086524,0.534376910847499,0.5921468005883579,0.08933026562718784,406,221,185,0.5443349753694581,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.6952380952380953,0.4378889228391073,0.08454824554232451,101,21,80,0.2079207920792079
3,4,0.08521056085751921,0.06766010921161908,0.5,0.5286701462912593,0.46875,0.819672131147541,0.819672131147541,0.5964214711729622,0.23766816143497757,0.6162790697674418,0.46875,0.06982543761756527,0.5805827145972702,0.5248922483424558,0.08521056085751921,406,183,223,0.45073891625615764,0.21782178217821782,0.50625,0.21,1.0,1.0,0.34710743801652894,0.0125,1.0,0.21,0.05123475382979799,0.7095238095238094,0.4643223207689901,0.06766010921161908,101,21,80,0.2079207920792079
4,4,0.08646688069783005,0.07031638791354802,0.541871921182266,0.5307823129251701,0.5359281437125748,0.8523809523809524,0.8523809523809524,0.6580882352941176,0.20918367346938777,0.5694444444444444,0.5359281437125748,0.08054330490344232,0.5709912536443149,0.6099531038865426,0.08646688069783005,406,210,196,0.5172413793103449,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.7374999999999999,0.5221499847363745,0.07031638791354802,101,21,80,0.2079207920792079
5,4,0.07432721250270512,0.08215562669703594,0.5394088669950738,0.5287414965986394,0.5349544072948328,0.8380952380952381,0.8380952380952381,0.6530612244897959,0.2193877551020408,0.5584415584415584,0.5349544072948328,0.07327127447423222,0.6430515063168125,0.6846562390234805,0.07432721250270512,406,210,196,0.5172413793103449,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.7416666666666667,0.527129802095228,0.08215562669703594,101,21,80,0.2079207920792079
6,4,0.07860116987470903,0.07839293104524796,0.5886699507389163,0.5447419585066325,0.5842696629213483,0.9162995594713657,0.9162995594713657,0.7135506003430532,0.17318435754189945,0.62,0.5842696629213483,0.13519929572738743,0.6034503974601926,0.6249218975018151,0.07860116987470903,406,227,179,0.5591133004926109,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.7422619047619048,0.5385654584283268,0.07839293104524796,101,21,80,0.2079207920792079
7,4,0.07408883908361781,0.06869860738515854,0.541871921182266,0.531416219367061,0.5331412103746398,0.8851674641148325,0.8851674641148325,0.6654676258992805,0.17766497461928935,0.5932203389830508,0.5331412103746398,0.08910445728674751,0.638355232798193,0.6781662652316831,0.07408883908361781,406,209,197,0.5147783251231527,0.21782178217821782,0.50625,0.21,1.0,1.0,0.34710743801652894,0.0125,1.0,0.21,0.05123475382979799,0.7333333333333333,0.5239868591198431,0.06869860738515854,101,21,80,0.2079207920792079
8,4,0.07172152683065802,0.06570108650395504,0.5443349753694581,0.550906707450295,0.5207100591715976,0.8844221105527639,0.8844221105527639,0.6554934823091247,0.21739130434782608,0.6617647058823529,0.5207100591715976,0.13630252735487164,0.6583157332556502,0.6638238186512797,0.07172152683065802,406,199,207,0.49014778325123154,0.25742574257425743,0.5136904761904761,0.2127659574468085,0.9523809523809523,0.9523809523809523,0.34782608695652173,0.075,0.8571428571428571,0.2127659574468085,0.043751227677500254,0.7589285714285714,0.5542825416822059,0.06570108650395504,101,21,80,0.2079207920792079
9,4,0.07045348761055399,0.07536768884612964,0.5763546798029556,0.5587827483032912,0.5587392550143266,0.9154929577464789,0.9154929577464789,0.693950177935943,0.20207253886010362,0.6842105263157895,0.5587392550143266,0.16900447240394478,0.6655233647133232,0.6765658348185708,0.07045348761055399,406,213,193,0.5246305418719212,0.21782178217821782,0.50625,0.21,1.0,1.0,0.34710743801652894,0.0125,1.0,0.21,0.05123475382979799,0.7422619047619047,0.5455566652978465,0.07536768884612964,101,21,80,0.2079207920792079
10,4,0.06656732280537778,0.07261575715473065,0.5763546798029556,0.5808495145631067,0.5429447852760736,0.885,0.885,0.6730038022813688,0.2766990291262136,0.7125,0.5429447852760736,0.2032367431703608,0.7099029126213592,0.7299033735537173,0.06656732280537778,406,200,206,0.49261083743842365,0.26732673267326734,0.5375,0.22105263157894736,1.0,1.0,0.3620689655172414,0.075,1.0,0.22105263157894736,0.1287592612918428,0.736904761904762,0.5598165810458446,0.07261575715473065,101,21,80,0.2079207920792079
11,4,0.07146632044996117,0.06811683295437923,0.5566502463054187,0.5663177324945959,0.5253731343283582,0.8934010152284264,0.8934010152284264,0.6616541353383458,0.23923444976076555,0.704225352112676,0.5253731343283582,0.17450759871685032,0.6600927792485367,0.6559235634816538,0.07146632044996117,406,197,209,0.4852216748768473,0.31683168316831684,0.56875,0.23333333333333334,1.0,1.0,0.3783783783783784,0.1375,1.0,0.23333333333333334,0.17911821050170565,0.7511904761904762,0.5593496845355364,0.06811683295437923,101,21,80,0.2079207920792079
12,4,0.07415637916282695,0.06767917023255275,0.5320197044334976,0.5414965986394558,0.5095541401273885,0.8163265306122449,0.8163265306122449,0.6274509803921569,0.26666666666666666,0.6086956521739131,0.5095541401273885,0.09906527313166931,0.6447278911564626,0.6387379704767293,0.07415637916282695,406,196,210,0.4827586206896552,0.3069306930693069,0.5449404761904761,0.2247191011235955,0.9523809523809523,0.9523809523809523,0.36363636363636365,0.1375,0.9166666666666666,0.2247191011235955,0.11272926621823166,0.7636904761904763,0.5696152911793491,0.06767917023255275,101,21,80,0.2079207920792079
13,4,0.06854200947518442,0.06956765600121938,0.583743842364532,0.5675277919676956,0.5650887573964497,0.8967136150234741,0.8967136150234741,0.6932849364791288,0.23834196891191708,0.6764705882352942,0.5650887573964497,0.1806209801749126,0.6995305164319249,0.7003586265368689,0.06854200947518442,406,213,193,0.5246305418719212,0.3069306930693069,0.5449404761904761,0.2247191011235955,0.9523809523809523,0.9523809523809523,0.36363636363636365,0.1375,0.9166666666666666,0.2247191011235955,0.11272926621823166,0.763095238095238,0.5824225381220891,0.06956765600121938,101,21,80,0.2079207920792079
14,4,0.06468537161309346,0.06919715883067021,0.6133004926108374,0.6325883271520594,0.5508196721311476,0.8936170212765957,0.8936170212765957,0.6815415821501014,0.37155963302752293,0.801980198019802,0.5508196721311476,0.30586645648968486,0.7365801288307632,0.6973868260886263,0.06468537161309346,406,188,218,0.4630541871921182,0.32673267326732675,0.5574404761904762,0.22988505747126436,0.9523809523809523,0.9523809523809523,0.37037037037037035,0.1625,0.9285714285714286,0.22988505747126436,0.13492083615040212,0.7625,0.5875813867990638,0.06919715883067021,101,21,80,0.2079207920792079
15,4,0.0652836377677672,0.07157161487982823,0.6157635467980296,0.5932748538011696,0.5862068965517241,0.9444444444444444,0.9444444444444444,0.723404255319149,0.24210526315789474,0.7931034482758621,0.5862068965517241,0.2660079583736709,0.7098684210526316,0.7360978135215785,0.0652836377677672,406,216,190,0.5320197044334976,0.297029702970297,0.55625,0.22826086956521738,1.0,1.0,0.37168141592920356,0.1125,1.0,0.22826086956521738,0.16024777011268193,0.7654761904761904,0.5923754610603498,0.07157161487982823,101,21,80,0.2079207920792079
16,4,0.06655523023915057,0.06992064889233846,0.5714285714285714,0.5832057358123709,0.5325077399380805,0.882051282051282,0.882051282051282,0.6640926640926641,0.2843601895734597,0.7228915662650602,0.5325077399380805,0.20615861465677998,0.7207923198444525,0.7147080038685243,0.06655523023915057,406,195,211,0.4802955665024631,0.297029702970297,0.5386904761904762,0.2222222222222222,0.9523809523809523,0.9523809523809523,0.36036036036036034,0.125,0.9090909090909091,0.2222222222222222,0.10080245612650102,0.7648809523809523,0.5794205108113972,0.06992064889233846,101,21,80,0.2079207920792079
17,4,0.06192424703462451,0.06565165132857285,0.6206896551724138,0.594085496779231,0.5909090909090909,0.9541284403669725,0.9541284403669725,0.7298245614035088,0.23404255319148937,0.8148148148148148,0.5909090909090909,0.2763068411214008,0.7592719109896545,0.7772256754864675,0.06192424703462451,406,218,188,0.5369458128078818,0.36633663366336633,0.5648809523809524,0.2345679012345679,0.9047619047619048,0.9047619047619048,0.37254901960784315,0.225,0.9,0.2345679012345679,0.1321430557540176,0.7654761904761905,0.5818713743627646,0.06565165132857285,101,21,80,0.2079207920792079
