epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,4,0.07546103460823789,0.07499140214461547,0.5246305418719212,0.4976635514018692,0.5259259259259259,0.9953271028037384,0.9953271028037384,0.6882067851373183,0.0,0.0,0.5259259259259259,-0.04706696730788052,0.44587227414330216,0.48449331716820776,0.07546103460823789,406,214,192,0.5270935960591133,0.21782178217821782,0.50625,0.21,1.0,1.0,0.34710743801652894,0.0125,1.0,0.21,0.05123475382979799,0.5684523809523809,0.27040227583601667,0.07499140214461547,101,21,80,0.2079207920792079
2,4,0.07361716287685376,0.06836149784234855,0.5049261083743842,0.5,0.5049261083743842,1.0,1.0,0.6710310965630114,0.0,0.0,0.5049261083743842,0.0,0.5145249362941391,0.5364045504774837,0.07361716287685376,406,205,201,0.5049261083743842,0.2376237623762376,0.5011904761904762,0.20833333333333334,0.9523809523809523,0.9523809523809523,0.3418803418803419,0.05,0.8,0.20833333333333334,0.0044543540318737395,0.6154761904761905,0.31935443599451413,0.06836149784234855,101,21,80,0.2079207920792079
3,4,0.07213057172210778,0.06764908550450435,0.4802955665024631,0.4873543689320388,0.48614609571788414,0.965,0.965,0.6465661641541038,0.009708737864077669,0.2222222222222222,0.48614609571788414,-0.08588208962360387,0.5799757281553398,0.5930810889080054,0.07213057172210778,406,200,206,0.49261083743842365,0.26732673267326734,0.5199404761904761,0.21505376344086022,0.9523809523809523,0.9523809523809523,0.3508771929824561,0.0875,0.875,0.21505376344086022,0.05992853954094407,0.6523809523809523,0.41531884201065655,0.06764908550450435,101,21,80,0.2079207920792079
4,4,0.0719680726235988,0.06816661028334728,0.46551724137931033,0.4938877389504444,0.46733668341708545,0.9738219895287958,0.9738219895287958,0.631578947368421,0.013953488372093023,0.375,0.46733668341708545,-0.0439016935639959,0.5777182515524169,0.591298462230967,0.0719680726235988,406,191,215,0.47044334975369456,0.24752475247524752,0.5074404761904762,0.21052631578947367,0.9523809523809523,0.9523809523809523,0.3448275862068966,0.0625,0.8333333333333334,0.21052631578947367,0.02554747247854024,0.669047619047619,0.426069191321068,0.06816661028334728,101,21,80,0.2079207920792079
5,4,0.06934063120142502,0.0682976023795513,0.5591133004926109,0.5,0.5591133004926109,1.0,1.0,0.717219589257504,0.0,0.0,0.5591133004926109,0.0,0.5943198877759457,0.6799712843610346,0.06934063120142502,406,227,179,0.5591133004926109,0.24752475247524752,0.5074404761904762,0.21052631578947367,0.9523809523809523,0.9523809523809523,0.3448275862068966,0.0625,0.8333333333333334,0.21052631578947367,0.02554747247854024,0.675,0.43674618786927477,0.0682976023795513,101,21,80,0.2079207920792079
6,4,0.07015089997473885,0.06759405608933705,0.5,0.5,0.5,0.9704433497536946,0.9704433497536946,0.6599664991624791,0.029556650246305417,0.5,0.5,0.0,0.6223883132325463,0.6324191146910327,0.07015089997473885,406,203,203,0.5,0.26732673267326734,0.5199404761904761,0.21505376344086022,0.9523809523809523,0.9523809523809523,0.3508771929824561,0.0875,0.875,0.21505376344086022,0.05992853954094407,0.6863095238095238,0.4493255623512349,0.06759405608933705,101,21,80,0.2079207920792079
7,4,0.06815662023191359,0.06915284191759732,0.4827586206896552,0.49217099992717206,0.48614609571788414,0.9698492462311558,0.9698492462311558,0.6476510067114094,0.014492753623188406,0.3333333333333333,0.48614609571788414,-0.053165695012948974,0.6606705022698032,0.6887733004368469,0.06815662023191359,406,199,207,0.49014778325123154,0.27722772277227725,0.5261904761904762,0.21739130434782608,0.9523809523809523,0.9523809523809523,0.35398230088495575,0.1,0.8888888888888888,0.21739130434782608,0.07461271835934397,0.6994047619047619,0.47433005420159685,0.06915284191759732,101,21,80,0.2079207920792079
8,4,0.06954320560337282,0.06336348288907455,0.5073891625615764,0.514490291262136,0.5,0.995,0.995,0.6655518394648829,0.03398058252427184,0.875,0.5,0.10424834985073836,0.6106310679611651,0.6516454722922312,0.06954320560337282,406,200,206,0.49261083743842365,0.37623762376237624,0.5535714285714286,0.23076923076923078,0.8571428571428571,0.8571428571428571,0.36363636363636365,0.25,0.8695652173913043,0.23076923076923078,0.10368278278369857,0.713095238095238,0.49216171056325003,0.06336348288907455,101,21,80,0.2079207920792079
9,4,0.06610225265224774,0.06892920170839016,0.5270935960591133,0.513273261603478,0.5216284987277354,0.9808612440191388,0.9808612440191388,0.6810631229235881,0.04568527918781726,0.6923076923076923,0.5216284987277354,0.07536087884393172,0.6908167974157822,0.7177438482632288,0.06610225265224774,406,209,197,0.5147783251231527,0.26732673267326734,0.5199404761904761,0.21505376344086022,0.9523809523809523,0.9523809523809523,0.3508771929824561,0.0875,0.875,0.21505376344086022,0.05992853954094407,0.7101190476190476,0.49452659874785493,0.06892920170839016,101,21,80,0.2079207920792079
10,4,0.06608082814251676,0.06546004804281089,0.5246305418719212,0.5051282051282051,0.5222772277227723,1.0,1.0,0.6861788617886179,0.010256410256410256,1.0,0.5222772277227723,0.07318940848992671,0.679499331632033,0.7278188000380659,0.06608082814251676,406,211,195,0.5197044334975369,0.33663366336633666,0.5461309523809523,0.2261904761904762,0.9047619047619048,0.9047619047619048,0.3619047619047619,0.1875,0.8823529411764706,0.2261904761904762,0.10007208619610627,0.7148809523809524,0.5010875631363607,0.06546004804281089,101,21,80,0.2079207920792079
