epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.08502992428839207,0.07649666586747536,0.4888888888888889,0.4906716417910448,0.49,0.7313432835820896,0.7313432835820896,0.5868263473053892,0.25,0.4857142857142857,0.49,-0.021285950400087097,0.49524436640327774,0.5068781530009819,0.08502992428839207,405,201,204,0.4962962962962963,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.5914772727272728,0.3359331036358328,0.07649666586747536,102,22,80,0.21568627450980393
2,1,0.07103679391245048,0.0804247109649273,0.5012345679012346,0.5140204021866458,0.49363867684478374,0.9847715736040609,0.9847715736040609,0.6576271186440678,0.04326923076923077,0.75,0.49363867684478374,0.08265485149204618,0.6011811792268645,0.5928832270246354,0.07103679391245048,405,197,208,0.48641975308641977,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6477272727272727,0.368387225547869,0.0804247109649273,102,22,80,0.21568627450980393
3,1,0.06797574318068869,0.07501210257984124,0.5185185185185185,0.5219856599356161,0.5076530612244898,0.9900497512437811,0.9900497512437811,0.6711635750421585,0.05392156862745098,0.8461538461538461,0.5076530612244898,0.12472913331288801,0.6755194615159497,0.6691083446918287,0.06797574318068869,405,201,204,0.4962962962962963,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6727272727272727,0.3773877291462587,0.07501210257984124,102,22,80,0.21568627450980393
4,1,0.06988400995146994,0.07221506321086334,0.5111111111111111,0.528021978021978,0.49612403100775193,0.9846153846153847,0.9846153846153847,0.6597938144329897,0.07142857142857142,0.8333333333333334,0.49612403100775193,0.13588264806622438,0.6422222222222221,0.5844278320873384,0.06988400995146994,405,195,210,0.48148148148148145,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.025,1.0,0.22,0.07416198487095663,0.69375,0.3893744248667044,0.07221506321086334,102,22,80,0.21568627450980393
5,1,0.06642192664245765,0.0777930855177916,0.5432098765432098,0.5171135685276704,0.5372750642673522,0.9766355140186916,0.9766355140186916,0.693200663349917,0.05759162303664921,0.6875,0.5372750642673522,0.08771206833327841,0.691588785046729,0.6832330302161864,0.06642192664245765,405,214,191,0.528395061728395,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6948863636363636,0.38081595152316516,0.0777930855177916,102,22,80,0.21568627450980393
6,1,0.06297518864420115,0.0749155582430271,0.5481481481481482,0.5384277558190602,0.531578947368421,0.9758454106280193,0.9758454106280193,0.6882453151618398,0.10101010101010101,0.8,0.531578947368421,0.15963605372355386,0.7558678573171327,0.7609011546704755,0.06297518864420115,405,207,198,0.5111111111111111,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.025,1.0,0.22,0.07416198487095663,0.6937500000000001,0.384183069059551,0.0749155582430271,102,22,80,0.21568627450980393
7,1,0.06653644049576685,0.0692995828218185,0.5333333333333333,0.5216468176493557,0.5251989389920424,0.9519230769230769,0.9519230769230769,0.676923076923077,0.09137055837563451,0.6428571428571429,0.5251989389920424,0.0852980581098364,0.7056813744631003,0.7148466680165668,0.06653644049576685,405,208,197,0.5135802469135803,0.27450980392156865,0.5210227272727272,0.22340425531914893,0.9545454545454546,0.9545454545454546,0.3620689655172414,0.0875,0.875,0.22340425531914893,0.06432302576916435,0.6846590909090909,0.3785178447584441,0.0692995828218185,102,22,80,0.21568627450980393
8,1,0.0629605511020796,0.07274632700360738,0.5777777777777777,0.5826219512195122,0.5401662049861495,0.975,0.975,0.6951871657754011,0.1902439024390244,0.8863636363636364,0.5401662049861495,0.26548343732017743,0.7593170731707317,0.7453356576582717,0.0629605511020796,405,200,205,0.49382716049382713,0.2647058823529412,0.5147727272727273,0.22105263157894736,0.9545454545454546,0.9545454545454546,0.358974358974359,0.075,0.8571428571428571,0.22105263157894736,0.048065801332024816,0.6931818181818181,0.37445479041380525,0.07274632700360738,102,22,80,0.21568627450980393
9,1,0.06308932372314088,0.06901205588991825,0.5555555555555556,0.5663681179226865,0.5234159779614325,0.9644670050761421,0.9644670050761421,0.6785714285714286,0.16826923076923078,0.8333333333333334,0.5234159779614325,0.21760873310071083,0.751415462709879,0.7562931353930638,0.06308932372314088,405,197,208,0.48641975308641977,0.35294117647058826,0.5710227272727273,0.2441860465116279,0.9545454545454546,0.9545454545454546,0.3888888888888889,0.1875,0.9375,0.2441860465116279,0.16064767991262988,0.6590909090909092,0.36379845659819665,0.06901205588991825,102,22,80,0.21568627450980393
10,1,0.06153949050634515,0.07164093493842162,0.6123456790123457,0.609708808896693,0.5677233429394812,0.9656862745098039,0.9656862745098039,0.7150635208711433,0.2537313432835821,0.8793103448275862,0.5677233429394812,0.31318854839096893,0.7817773875719443,0.7608683426414855,0.06153949050634515,405,204,201,0.5037037037037037,0.3431372549019608,0.5647727272727273,0.2413793103448276,0.9545454545454546,0.9545454545454546,0.3853211009174312,0.175,0.9333333333333333,0.2413793103448276,0.1504434406683302,0.6573863636363637,0.367655285275134,0.07164093493842162,102,22,80,0.21568627450980393
11,1,0.060356952286526266,0.0684618203399273,0.5777777777777777,0.6043231698335543,0.5226586102719033,0.9301075268817204,0.9301075268817204,0.6692456479690522,0.2785388127853881,0.8243243243243243,0.5226586102719033,0.2690663844304127,0.801198016399077,0.7809553196412407,0.060356952286526266,405,186,219,0.45925925925925926,0.3627450980392157,0.5772727272727273,0.24705882352941178,0.9545454545454546,0.9545454545454546,0.3925233644859813,0.2,0.9411764705882353,0.24705882352941178,0.17056057308448833,0.6840909090909091,0.3827487355177567,0.0684618203399273,102,22,80,0.21568627450980393
12,1,0.05944497905233327,0.0696659698509253,0.6,0.619889840881273,0.5424242424242425,0.9421052631578948,0.9421052631578948,0.6884615384615385,0.29767441860465116,0.8533333333333334,0.5424242424242425,0.3080497128228951,0.8038678090575275,0.7751725296939619,0.05944497905233327,405,190,215,0.4691358024691358,0.38235294117647056,0.5897727272727273,0.25301204819277107,0.9545454545454546,0.9545454545454546,0.4,0.225,0.9473684210526315,0.25301204819277107,0.18967710044361522,0.6727272727272727,0.37691642776959255,0.0696659698509253,102,22,80,0.21568627450980393
13,1,0.06147412919238502,0.08073985318724926,0.6296296296296297,0.6134886108123961,0.5901162790697675,0.9575471698113207,0.9575471698113207,0.7302158273381295,0.2694300518134715,0.8524590163934426,0.5901162790697675,0.3169455961580961,0.7616580310880829,0.7592153313149796,0.06147412919238502,405,212,193,0.5234567901234568,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.075,1.0,0.22916666666666666,0.13110110602126893,0.6875,0.3799359180041578,0.08073985318724926,102,22,80,0.21568627450980393
14,1,0.056875918809251455,0.06622007331595971,0.6172839506172839,0.6128048780487805,0.5714285714285714,0.975609756097561,0.975609756097561,0.7207207207207207,0.25,0.9090909090909091,0.5714285714285714,0.329256560754872,0.836609756097561,0.8114490577915634,0.056875918809251455,405,205,200,0.5061728395061729,0.4019607843137255,0.6022727272727273,0.25925925925925924,0.9545454545454546,0.9545454545454546,0.4077669902912621,0.25,0.9523809523809523,0.25925925925925924,0.20806259464411975,0.6994318181818182,0.3848636788459838,0.06622007331595971,102,22,80,0.21568627450980393
15,1,0.05374865790865585,0.07236039022413585,0.6567901234567901,0.6496486605182257,0.6017964071856288,0.9710144927536232,0.9710144927536232,0.7430683918669131,0.3282828282828283,0.9154929577464789,0.6017964071856288,0.3934759473269327,0.8572927341043283,0.8551625643921494,0.05374865790865585,405,207,198,0.5111111111111111,0.35294117647058826,0.5710227272727273,0.2441860465116279,0.9545454545454546,0.9545454545454546,0.3888888888888889,0.1875,0.9375,0.2441860465116279,0.16064767991262988,0.7022727272727273,0.37208778549405397,0.07236039022413585,102,22,80,0.21568627450980393
16,1,0.053047331543091464,0.06628728700945011,0.6691358024691358,0.6542428389871933,0.6167664670658682,0.9716981132075472,0.9716981132075472,0.7545787545787546,0.33678756476683935,0.9154929577464789,0.6167664670658682,0.4052090935819357,0.847076938117118,0.8401314389220381,0.053047331543091464,405,212,193,0.5234567901234568,0.45098039215686275,0.6335227272727273,0.27631578947368424,0.9545454545454546,0.9545454545454546,0.42857142857142855,0.3125,0.9615384615384616,0.27631578947368424,0.252027571065364,0.7051136363636363,0.3840004395606944,0.06628728700945011,102,22,80,0.21568627450980393
