epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,5,0.08175531533711097,0.07875476949490033,0.5197044334975369,0.5069814395874384,0.5292207792207793,0.7652582159624414,0.7652582159624414,0.6257197696737045,0.24870466321243523,0.4897959183673469,0.5292207792207793,0.016295025336837368,0.5016419762095892,0.5336644312065889,0.08175531533711097,406,213,193,0.5246305418719212,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.4553571428571428,0.23170012004863105,0.07875476949490033,101,21,80,0.2079207920792079
2,5,0.07216215371062942,0.07233141792508271,0.46551724137931033,0.5,0.46551724137931033,1.0,1.0,0.6352941176470588,0.0,0.0,0.46551724137931033,0.0,0.5575793041230829,0.5024845954464108,0.07216215371062942,406,189,217,0.46551724137931033,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.5880952380952381,0.356098070718396,0.07233141792508271,101,21,80,0.2079207920792079
3,5,0.06929332094595712,0.08122727303550793,0.5172413793103449,0.5,0.5172413793103449,1.0,1.0,0.6818181818181818,0.0,0.0,0.5172413793103449,0.0,0.6540573372206024,0.6831164084063357,0.06929332094595712,406,210,196,0.5172413793103449,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.5833333333333333,0.3482158669969043,0.08122727303550793,101,21,80,0.2079207920792079
4,5,0.06829991754071385,0.07807025227409142,0.5369458128078818,0.5,0.5369458128078818,1.0,1.0,0.6987179487179487,0.0,0.0,0.5369458128078818,0.0,0.656988092914308,0.6677769787132641,0.06829991754071385,406,218,188,0.5369458128078818,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.6047619047619047,0.35814041495663396,0.07807025227409142,101,21,80,0.2079207920792079
5,5,0.06915081380044713,0.07452648677504979,0.5024630541871922,0.5,0.5024630541871922,1.0,1.0,0.6688524590163935,0.0,0.0,0.5024630541871922,0.0,0.6684381673461464,0.6227633081669905,0.06915081380044713,406,204,202,0.5024630541871922,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.6309523809523809,0.39485622307449864,0.07452648677504979,101,21,80,0.2079207920792079
6,5,0.06681008841477189,0.06561963976575778,0.4605911330049261,0.5,0.4605911330049261,1.0,1.0,0.6306913996627319,0.0,0.0,0.4605911330049261,0.0,0.7502991233853442,0.6784683325394945,0.06681008841477189,406,187,219,0.4605911330049261,0.2376237623762376,0.51875,0.21428571428571427,1.0,1.0,0.35294117647058826,0.0375,1.0,0.21428571428571427,0.08964214570007953,0.6428571428571429,0.4387117688909995,0.06561963976575778,101,21,80,0.2079207920792079
7,5,0.06477980936566989,0.08393686049832748,0.5591133004926109,0.505524861878453,0.556930693069307,1.0,1.0,0.7154213036565977,0.011049723756906077,1.0,0.556930693069307,0.0784469904467857,0.7385880908532843,0.7926814893010969,0.06477980936566989,406,225,181,0.5541871921182266,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.644047619047619,0.405993176730085,0.08393686049832748,101,21,80,0.2079207920792079
8,5,0.0650643993388204,0.074155315470237,0.4975369458128079,0.5228290498442367,0.4846938775510204,0.9895833333333334,0.9895833333333334,0.6506849315068494,0.056074766355140186,0.8571428571428571,0.4846938775510204,0.12493044348690728,0.7356405763239875,0.725944777334055,0.0650643993388204,406,192,214,0.4729064039408867,0.21782178217821782,0.50625,0.21,1.0,1.0,0.34710743801652894,0.0125,1.0,0.21,0.05123475382979799,0.6488095238095238,0.4224965293551761,0.074155315470237,101,21,80,0.2079207920792079
9,5,0.06588051939273581,0.06276119013245289,0.49261083743842365,0.5215643274853802,0.4792746113989637,0.9736842105263158,0.9736842105263158,0.6423611111111112,0.06944444444444445,0.75,0.4792746113989637,0.09943995981787723,0.721588693957115,0.6895564624047743,0.06588051939273581,406,190,216,0.46798029556650245,0.3465346534653465,0.49970238095238095,0.2077922077922078,0.7619047619047619,0.7619047619047619,0.32653061224489793,0.2375,0.7916666666666666,0.2077922077922078,-0.0005675372555033288,0.6619047619047619,0.4501697922231482,0.06276119013245289,101,21,80,0.2079207920792079
10,5,0.061885287693026016,0.0710035956536348,0.5467980295566502,0.5426768596044169,0.5281501340482574,0.9609756097560975,0.9609756097560975,0.6816608996539792,0.12437810945273632,0.7575757575757576,0.5281501340482574,0.15616583340913553,0.783982526392428,0.7734843244936026,0.061885287693026016,406,205,201,0.5049261083743842,0.297029702970297,0.55625,0.22826086956521738,1.0,1.0,0.37168141592920356,0.1125,1.0,0.22826086956521738,0.16024777011268193,0.6654761904761906,0.44901494198684533,0.0710035956536348,101,21,80,0.2079207920792079
11,5,0.06357819433597957,0.06754504674329208,0.5640394088669951,0.5598956437325567,0.5374331550802139,0.9804878048780488,0.9804878048780488,0.694300518134715,0.13930348258706468,0.875,0.5374331550802139,0.2222743769316599,0.7368523237471181,0.7175368256797988,0.06357819433597957,406,205,201,0.5049261083743842,0.3465346534653465,0.5699404761904762,0.23529411764705882,0.9523809523809523,0.9523809523809523,0.37735849056603776,0.1875,0.9375,0.23529411764705882,0.15546898643233292,0.675,0.45001234948297614,0.06754504674329208,101,21,80,0.2079207920792079
12,5,0.06099253144188255,0.06593775999947236,0.5689655172413793,0.5526430915056507,0.5483870967741935,0.966824644549763,0.966824644549763,0.6998284734133791,0.13846153846153847,0.7941176470588235,0.5483870967741935,0.18989738582045296,0.7772997934135375,0.8005988146102286,0.06099253144188255,406,211,195,0.5197044334975369,0.3465346534653465,0.5699404761904762,0.23529411764705882,0.9523809523809523,0.9523809523809523,0.37735849056603776,0.1875,0.9375,0.23529411764705882,0.15546898643233292,0.675,0.41926203764772263,0.06593775999947236,101,21,80,0.2079207920792079
13,5,0.06102866741518179,0.06292276707692789,0.5517241379310345,0.567553773240977,0.5178082191780822,0.9692307692307692,0.9692307692307692,0.675,0.16587677725118483,0.8536585365853658,0.5178082191780822,0.2240266992365212,0.7875075950905336,0.7607313069859252,0.06102866741518179,406,195,211,0.4802955665024631,0.36633663366336633,0.5122023809523809,0.21333333333333335,0.7619047619047619,0.7619047619047619,0.3333333333333333,0.2625,0.8076923076923077,0.21333333333333335,0.022652279424503027,0.6827380952380953,0.4626901996473679,0.06292276707692789,101,21,80,0.2079207920792079
14,5,0.0631131493650815,0.06051729340106249,0.5467980295566502,0.5467980295566502,0.5257452574525745,0.9556650246305419,0.9556650246305419,0.6783216783216783,0.13793103448275862,0.7567567567567568,0.5257452574525745,0.16260711922164733,0.750539930597685,0.7342104790868238,0.0631131493650815,406,203,203,0.5,0.40594059405940597,0.5372023809523809,0.22535211267605634,0.7619047619047619,0.7619047619047619,0.34782608695652173,0.3125,0.8333333333333334,0.22535211267605634,0.06607932080161992,0.6922619047619047,0.4646802661126609,0.06051729340106249,101,21,80,0.2079207920792079
15,5,0.061624300173100305,0.06837452124231137,0.6206896551724138,0.597270955165692,0.5875706214689266,0.9629629629629629,0.9629629629629629,0.7298245614035088,0.23157894736842105,0.8461538461538461,0.5875706214689266,0.2904782031216744,0.7737085769980506,0.7254813058625142,0.061624300173100305,406,216,190,0.5320197044334976,0.3465346534653465,0.5699404761904762,0.23529411764705882,0.9523809523809523,0.9523809523809523,0.37735849056603776,0.1875,0.9375,0.23529411764705882,0.15546898643233292,0.6952380952380952,0.4749487908679577,0.06837452124231137,101,21,80,0.2079207920792079
16,5,0.0616769551427341,0.06732499105139421,0.5935960591133005,0.5727219626168225,0.5678670360110804,0.9579439252336449,0.9579439252336449,0.7130434782608696,0.1875,0.8,0.5678670360110804,0.23130937223017597,0.7654789719626167,0.7659148292593846,0.0616769551427341,406,214,192,0.5270935960591133,0.3465346534653465,0.5699404761904762,0.23529411764705882,0.9523809523809523,0.9523809523809523,0.37735849056603776,0.1875,0.9375,0.23529411764705882,0.15546898643233292,0.6982142857142858,0.4762177914070494,0.06732499105139421,101,21,80,0.2079207920792079
17,5,0.05987784648131506,0.06210197572811292,0.5665024630541872,0.5758304195804196,0.5308988764044944,0.9545454545454546,0.9545454545454546,0.6823104693140795,0.1971153846153846,0.82,0.5308988764044944,0.23068944071218606,0.7880973193473194,0.8029391235227366,0.05987784648131506,406,198,208,0.4876847290640394,0.42574257425742573,0.5848214285714286,0.2465753424657534,0.8571428571428571,0.8571428571428571,0.3829787234042553,0.3125,0.8928571428571429,0.2465753424657534,0.15379767614858691,0.7035714285714286,0.4796310203251158,0.06210197572811292,101,21,80,0.2079207920792079
18,5,0.05911071043388516,0.0678360415622592,0.6206896551724138,0.5859850801027271,0.5917808219178082,0.9773755656108597,0.9773755656108597,0.7372013651877133,0.1945945945945946,0.8780487804878049,0.5917808219178082,0.2842475540703177,0.7923443805796746,0.784954117878761,0.05911071043388516,406,221,185,0.5443349753694581,0.3465346534653465,0.5875,0.2413793103448276,1.0,1.0,0.3888888888888889,0.175,1.0,0.2413793103448276,0.20552707683014623,0.7017857142857143,0.46928528332490116,0.0678360415622592,101,21,80,0.2079207920792079
19,5,0.05739773990695968,0.06380905733945277,0.5812807881773399,0.5735440487461462,0.5509641873278237,0.966183574879227,0.966183574879227,0.7017543859649122,0.18090452261306533,0.8372093023255814,0.5509641873278237,0.23894706545606162,0.8189983735100624,0.8323532050126161,0.05739773990695968,406,207,199,0.5098522167487685,0.38613861386138615,0.5598214285714286,0.23376623376623376,0.8571428571428571,0.8571428571428571,0.3673469387755102,0.2625,0.875,0.23376623376623376,0.11407498835616908,0.7059523809523809,0.4709731983270037,0.06380905733945277,101,21,80,0.2079207920792079
20,5,0.060300648194171635,0.06679898514770545,0.603448275862069,0.5841178330779148,0.5714285714285714,0.9765258215962441,0.9765258215962441,0.7209705372616985,0.19170984455958548,0.8809523809523809,0.5714285714285714,0.275874266433131,0.7812157921623003,0.7656992314833035,0.060300648194171635,406,213,193,0.5246305418719212,0.37623762376237624,0.60625,0.25,1.0,1.0,0.4,0.2125,1.0,0.25,0.2304886114323222,0.7113095238095237,0.4705278121101789,0.06679898514770545,101,21,80,0.2079207920792079
