epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,4,0.08103494926848832,0.07146191869217616,0.46551724137931033,0.4695668001456134,0.4783783783783784,0.8805970149253731,0.8805970149253731,0.6199649737302977,0.05853658536585366,0.3333333333333333,0.4783783783783784,-0.10705339889716568,0.43298143429195485,0.4610323295956161,0.08103494926848832,406,201,205,0.49507389162561577,0.26732673267326734,0.48482142857142857,0.20224719101123595,0.8571428571428571,0.8571428571428571,0.32727272727272727,0.1125,0.75,0.20224719101123595,-0.03807412302734976,0.49523809523809526,0.2755440040623281,0.07146191869217616,101,21,80,0.2079207920792079
2,4,0.07170673445159313,0.06997280539228366,0.49261083743842365,0.5021241473065813,0.49122807017543857,0.9849246231155779,0.9849246231155779,0.6555183946488294,0.01932367149758454,0.5714285714285714,0.49122807017543857,0.016315142445138653,0.5757774379142088,0.5819542968575038,0.07170673445159313,406,199,207,0.49014778325123154,0.26732673267326734,0.5375,0.22105263157894736,1.0,1.0,0.3620689655172414,0.075,1.0,0.22105263157894736,0.1287592612918428,0.6184523809523809,0.35370584693601487,0.06997280539228366,101,21,80,0.2079207920792079
3,4,0.06685744105454754,0.06449478778701562,0.5024630541871922,0.5190476190476191,0.49246231155778897,1.0,1.0,0.6599326599326599,0.0380952380952381,1.0,0.49246231155778897,0.13696886146758064,0.6875850340136055,0.6866668297815559,0.06685744105454754,406,196,210,0.4827586206896552,0.33663366336633666,0.5636904761904762,0.23255813953488372,0.9523809523809523,0.9523809523809523,0.37383177570093457,0.175,0.9333333333333333,0.23255813953488372,0.145366481025828,0.705952380952381,0.44103027555179064,0.06449478778701562,101,21,80,0.2079207920792079
4,4,0.06138136055247456,0.060564485020362414,0.5394088669950738,0.5325,0.5241730279898219,1.0,1.0,0.6878130217028381,0.065,1.0,0.5241730279898219,0.18458398310616883,0.7887864077669903,0.7942640702594165,0.06138136055247456,406,206,200,0.5073891625615764,0.42574257425742573,0.6199404761904761,0.2597402597402597,0.9523809523809523,0.9523809523809523,0.40816326530612246,0.2875,0.9583333333333334,0.2597402597402597,0.22871751396784148,0.7613095238095238,0.4950406898890804,0.060564485020362414,101,21,80,0.2079207920792079
5,4,0.05942197932916529,0.06090777854506786,0.5763546798029556,0.5678391959798995,0.5461741424802111,1.0,1.0,0.7064846416382252,0.135678391959799,1.0,0.5461741424802111,0.2722205528275504,0.8120554463136941,0.8231139769612106,0.05942197932916529,406,207,199,0.5098522167487685,0.4158415841584158,0.63125,0.2625,1.0,1.0,0.4158415841584158,0.2625,1.0,0.2625,0.2625,0.7976190476190476,0.5455646526521531,0.06090777854506786,101,21,80,0.2079207920792079
6,4,0.056100616797658744,0.05646154327461353,0.6009852216748769,0.6227826510721247,0.5414201183431953,0.9631578947368421,0.9631578947368421,0.6931818181818182,0.2824074074074074,0.8970588235294118,0.5414201183431953,0.32813901603563933,0.8534844054580897,0.8418847245803655,0.056100616797658744,406,190,216,0.46798029556650245,0.5742574257425742,0.73125,0.328125,1.0,1.0,0.49411764705882355,0.4625,1.0,0.328125,0.38956105105618555,0.8136904761904762,0.5597409698578582,0.05646154327461353,101,21,80,0.2079207920792079
7,4,0.05702647471836969,0.05885188797345528,0.6009852216748769,0.6009852216748769,0.5564738292011019,0.9950738916256158,0.9950738916256158,0.7137809187279152,0.20689655172413793,0.9767441860465116,0.5564738292011019,0.32816806508500523,0.8220291683855468,0.8186438894586406,0.05702647471836969,406,203,203,0.5,0.504950495049505,0.6875,0.29577464788732394,1.0,1.0,0.45652173913043476,0.375,1.0,0.29577464788732394,0.33303977684016434,0.831547619047619,0.6023296740419031,0.05885188797345528,101,21,80,0.2079207920792079
8,4,0.05503320743275039,0.052907890353638395,0.6428571428571429,0.641161910308678,0.5860058309037901,0.9852941176470589,0.9852941176470589,0.7349177330895795,0.297029702970297,0.9523809523809523,0.5860058309037901,0.3898710217839188,0.8363181906425937,0.8419831272027978,0.05503320743275039,406,204,202,0.5024630541871922,0.6237623762376238,0.7449404761904761,0.3508771929824561,0.9523809523809523,0.9523809523809523,0.5128205128205128,0.5375,0.9772727272727273,0.3508771929824561,0.40094188538782377,0.844047619047619,0.6227897391287283,0.052907890353638395,101,21,80,0.2079207920792079
9,4,0.04925567262312945,0.049059465527534485,0.6600985221674877,0.6368421052631579,0.6101694915254238,1.0,1.0,0.7578947368421053,0.2736842105263158,1.0,0.6101694915254238,0.4086486945719748,0.8975389863547758,0.890567377275363,0.04925567262312945,406,216,190,0.5320197044334976,0.6732673267326733,0.7586309523809525,0.38,0.9047619047619048,0.9047619047619048,0.5352112676056338,0.6125,0.9607843137254902,0.38,0.41985085831831476,0.8583333333333334,0.655561655220777,0.049059465527534485,101,21,80,0.2079207920792079
10,4,0.050613165157390574,0.06223366495508414,0.7044334975369458,0.6744505494505495,0.6585365853658537,0.9642857142857143,0.9642857142857143,0.782608695652174,0.38461538461538464,0.8974358974358975,0.6585365853658537,0.4404309369337073,0.8709527080062796,0.8719356425937154,0.050613165157390574,406,224,182,0.5517241379310345,0.45544554455445546,0.65625,0.27631578947368424,1.0,1.0,0.4329896907216495,0.3125,1.0,0.27631578947368424,0.29385146623851705,0.8398809523809523,0.6390008577580926,0.06223366495508414,101,21,80,0.2079207920792079
