epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.12454545875166163,0.09591112655642278,0.5209876543209877,0.5201465201465201,0.5025906735751295,0.49743589743589745,0.49743589743589745,0.5,0.04030780505679743,0.5428571428571428,0.5377358490566038,0.5025906735751295,0.04030977798597545,0.5067643467643468,0.5332413411835081,0.12454545875166163,405,195,210,0.48148148148148145,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.6420454545454546,0.4320502915240118,0.09591112655642278,102,22,80,0.21568627450980393
2,1,0.09693015473226464,0.0663147881243597,0.5135802469135803,0.5162950675708641,0.5037593984962406,0.6733668341708543,0.6733668341708543,0.5763440860215053,0.03240476854603014,0.3592233009708738,0.5323741007194245,0.5037593984962406,0.03431611316250792,0.5304434795335903,0.5590356858014788,0.09693015473226464,405,199,206,0.49135802469135803,0.6666666666666666,0.5897727272727272,0.3125,0.45454545454545453,0.45454545454545453,0.37037037037037035,0.15414634146341466,0.725,0.8285714285714286,0.3125,0.1591500353950126,0.6068181818181819,0.3708047680341773,0.0663147881243597,102,22,80,0.21568627450980393
3,1,0.09982024175661075,0.05991048880797975,0.5802469135802469,0.5788566819825984,0.5608465608465608,0.5492227979274611,0.5492227979274611,0.5549738219895288,0.15785997357992076,0.6084905660377359,0.5972222222222222,0.5608465608465608,0.1578909735091362,0.6139896373056994,0.5936048965056826,0.09982024175661075,405,193,212,0.4765432098765432,0.696078431372549,0.6085227272727273,0.3448275862068966,0.45454545454545453,0.45454545454545453,0.39215686274509803,0.1946001018848701,0.7625,0.8356164383561644,0.3448275862068966,0.1979003671833398,0.6494318181818182,0.4580799614416434,0.05991048880797975,102,22,80,0.21568627450980393
4,1,0.08933769117708082,0.10505564228229809,0.5580246913580247,0.5362815706393055,0.578397212543554,0.7410714285714286,0.7410714285714286,0.649706457925636,0.07507112874622035,0.3314917127071823,0.5084745762711864,0.578397212543554,0.07939578001940444,0.6091160220994475,0.6783088894824425,0.08933769117708082,405,224,181,0.5530864197530864,0.4019607843137255,0.5363636363636364,0.2328767123287671,0.7727272727272727,0.7727272727272727,0.35789473684210527,0.03951836986724311,0.3,0.8275862068965517,0.2328767123287671,0.06631216492007198,0.6278409090909092,0.39955334942835546,0.10505564228229809,102,22,80,0.21568627450980393
5,1,0.09694816730844638,0.07482942897260335,0.5901234567901235,0.5912698412698413,0.5555555555555556,0.6084656084656085,0.6084656084656085,0.5808080808080808,0.18145956607495073,0.5740740740740741,0.6262626262626263,0.5555555555555556,0.18217857500000703,0.6132177150695668,0.5897200207689466,0.09694816730844638,405,189,216,0.4666666666666667,0.6176470588235294,0.6079545454545454,0.3023255813953488,0.5909090909090909,0.5909090909090909,0.4,0.1604052342760659,0.625,0.847457627118644,0.3023255813953488,0.17983202268701484,0.6238636363636363,0.40936774004904963,0.07482942897260335,102,22,80,0.21568627450980393
6,1,0.08159539079367985,0.09485064668999757,0.6370370370370371,0.6338832487309645,0.6215139442231076,0.75,0.75,0.6797385620915033,0.26932092931921114,0.5177664974619289,0.6623376623376623,0.6215139442231076,0.2756917671743551,0.6783971105037094,0.6943137651047466,0.08159539079367985,405,208,197,0.5135802469135803,0.3627450980392157,0.5278409090909091,0.22784810126582278,0.8181818181818182,0.8181818181818182,0.3564356435643564,0.02871374157632578,0.2375,0.8260869565217391,0.22784810126582278,0.054801478824506915,0.6414772727272727,0.4092725092986234,0.09485064668999757,102,22,80,0.21568627450980393
7,1,0.09382702729738042,0.08141269215939603,0.5876543209876544,0.5928445790785166,0.5537848605577689,0.7164948453608248,0.7164948453608248,0.6247191011235955,0.1835170274152853,0.46919431279620855,0.6428571428571429,0.5537848605577689,0.19108712168125677,0.6338496115698441,0.5893043089225372,0.09382702729738042,405,194,211,0.47901234567901235,0.6666666666666666,0.6227272727272727,0.3333333333333333,0.5454545454545454,0.5454545454545454,0.41379310344827586,0.19944598337950137,0.7,0.8484848484848485,0.3333333333333333,0.21125363706585912,0.646590909090909,0.41547132927532715,0.08141269215939603,102,22,80,0.21568627450980393
8,1,0.08344030880196353,0.06567083971287288,0.5851851851851851,0.5856947763741891,0.5594405594405595,0.7920792079207921,0.7920792079207921,0.6557377049180327,0.1712141882673942,0.3793103448275862,0.6470588235294118,0.5594405594405595,0.1881271827515616,0.6484416914597864,0.6554489921696962,0.08344030880196353,405,202,203,0.49876543209876545,0.7647058823529411,0.6357954545454546,0.45,0.4090909090909091,0.4090909090909091,0.42857142857142855,0.28084606345475915,0.8625,0.8414634146341463,0.45,0.2813517615854366,0.6363636363636362,0.4783116855955184,0.06567083971287288,102,22,80,0.21568627450980393
9,1,0.08068586679498913,0.09421375248605139,0.6024691358024692,0.6051937264865392,0.5726872246696035,0.6701030927835051,0.6701030927835051,0.6175771971496437,0.20895558601948339,0.5402843601895735,0.6404494382022472,0.5726872246696035,0.21175759640870126,0.6827820393804661,0.6447461953001794,0.08068586679498913,405,194,211,0.47901234567901235,0.3431372549019608,0.5318181818181819,0.2289156626506024,0.8636363636363636,0.8636363636363636,0.3619047619047619,0.03173703598753175,0.2,0.8421052631578947,0.2289156626506024,0.0672273267395092,0.6125,0.3415586410489232,0.09421375248605139,102,22,80,0.21568627450980393
10,1,0.08477032821572293,0.09404801051463366,0.6024691358024692,0.5775132795593154,0.5949367088607594,0.8506787330316742,0.8506787330316742,0.7001862197392924,0.1620294809350622,0.30434782608695654,0.6292134831460674,0.5949367088607594,0.18641146153763932,0.6713800904977375,0.7028540019705767,0.08477032821572293,405,221,184,0.5456790123456791,0.37254901960784315,0.5176136363636363,0.2236842105263158,0.7727272727272727,0.7727272727272727,0.3469387755102041,0.01864101022248954,0.2625,0.8076923076923077,0.2236842105263158,0.03324619022564376,0.6079545454545454,0.3479393649542897,0.09404801051463366,102,22,80,0.21568627450980393
11,1,0.08510597631094287,0.07236688427413658,0.6419753086419753,0.6445054945054944,0.6096491228070176,0.7128205128205128,0.7128205128205128,0.6572104018912529,0.2872747132714364,0.5761904761904761,0.6836158192090396,0.6096491228070176,0.2911301958476843,0.6954090354090354,0.681034050013224,0.08510597631094287,405,195,210,0.48148148148148145,0.6862745098039216,0.61875,0.34375,0.5,0.5,0.4074074074074074,0.2039024390243902,0.7375,0.8428571428571429,0.34375,0.2105212493516306,0.6318181818181818,0.3529649700502575,0.07236688427413658,102,22,80,0.21568627450980393
12,1,0.0833480573737531,0.09988190966096762,0.5851851851851851,0.5872810655217837,0.5617529880478087,0.7085427135678392,0.7085427135678392,0.6266666666666667,0.17379055760637274,0.46601941747572817,0.6233766233766234,0.5617529880478087,0.17976823826670946,0.6727569888276334,0.678399704504716,0.0833480573737531,405,199,206,0.49135802469135803,0.5,0.5823863636363636,0.26229508196721313,0.7272727272727273,0.7272727272727273,0.3855421686746988,0.10031131096506396,0.4375,0.8536585365853658,0.26229508196721313,0.13822443331788323,0.6272727272727272,0.35136785623477423,0.09988190966096762,102,22,80,0.21568627450980393
13,1,0.09079255826829108,0.07472165453894858,0.6320987654320988,0.6323830658927962,0.606425702811245,0.7475247524752475,0.7475247524752475,0.6696230598669624,0.2646144847000329,0.5172413793103449,0.6730769230769231,0.606425702811245,0.2720346100780668,0.6856069843437546,0.6618418697216166,0.09079255826829108,405,202,203,0.49876543209876545,0.6666666666666666,0.60625,0.3235294117647059,0.5,0.5,0.39285714285714285,0.17741935483870974,0.7125,0.8382352941176471,0.3235294117647059,0.18540496217739158,0.6488636363636364,0.4295805694417201,0.07472165453894858,102,22,80,0.21568627450980393
14,1,0.07467050186996593,0.103769330475117,0.6493827160493827,0.6530196732571261,0.6036866359447005,0.7005347593582888,0.7005347593582888,0.6485148514851485,0.3025878586500449,0.6055045871559633,0.7021276595744681,0.6036866359447005,0.3059268003222384,0.7293823284109306,0.7017398442800838,0.07467050186996593,405,187,218,0.4617283950617284,0.6078431372549019,0.56875,0.275,0.5,0.5,0.3548387096774194,0.10604732690622254,0.6375,0.8225806451612904,0.275,0.1158332366364569,0.6500000000000001,0.3489196176130511,0.103769330475117,102,22,80,0.21568627450980393
15,1,0.0868492516178325,0.10695292313190008,0.674074074074074,0.6736111111111112,0.6461538461538462,0.6666666666666666,0.6666666666666666,0.65625,0.3465346534653465,0.6805555555555556,0.7,0.6461538461538462,0.3466876226407682,0.7139672741524593,0.667510114862224,0.08684925161783251,405,189,216,0.4666666666666667,0.5980392156862745,0.5954545454545455,0.28888888888888886,0.5909090909090909,0.5909090909090909,0.3880597014925373,0.13844252163164406,0.6,0.8421052631578947,0.28888888888888886,0.1581390985229734,0.6238636363636363,0.3521494274569323,0.10695292313190008,102,22,80,0.21568627450980393
16,1,0.09216123029115063,0.09910910733970905,0.6246913580246913,0.6200835491278643,0.6184738955823293,0.7298578199052133,0.7298578199052133,0.6695652173913044,0.24207726970525234,0.5103092783505154,0.6346153846153846,0.6184738955823293,0.24654354184345617,0.6949479650168564,0.6987339383220511,0.09216123029115063,405,211,194,0.5209876543209877,0.6078431372549019,0.5852272727272727,0.2857142857142857,0.5454545454545454,0.5454545454545454,0.375,0.12820512820512808,0.625,0.8333333333333334,0.2857142857142857,0.1424507205745474,0.6579545454545455,0.38186985490533554,0.09910910733970905,102,22,80,0.21568627450980393
17,1,0.08420595345024807,0.09045560884288872,0.6024691358024692,0.5981335808863049,0.6016260162601627,0.7014218009478673,0.7014218009478673,0.6477024070021882,0.19770403455021957,0.4948453608247423,0.6037735849056604,0.6016260162601627,0.20078146515563147,0.6937997752479602,0.7057217920851189,0.08420595345024807,405,211,194,0.5209876543209877,0.6372549019607843,0.5875,0.2972972972972973,0.5,0.5,0.3728813559322034,0.1403189066059225,0.675,0.8307692307692308,0.2972972972972973,0.14970518498583277,0.6477272727272727,0.3672526221999579,0.09045560884288872,102,22,80,0.21568627450980393
18,1,0.09176482266365787,0.08730654249552126,0.5950617283950618,0.5957926829268293,0.5796460176991151,0.655,0.655,0.6150234741784038,0.19128211372214787,0.5365853658536586,0.6145251396648045,0.5796460176991151,0.19287392831016542,0.6682926829268293,0.673496833102675,0.09176482266365787,405,200,205,0.49382716049382713,0.3333333333333333,0.5585227272727273,0.23863636363636365,0.9545454545454546,0.9545454545454546,0.38181818181818183,0.0560696788241698,0.1625,0.9285714285714286,0.23863636363636365,0.1398960758652756,0.6607954545454545,0.4004585531884477,0.08730654249552126,102,22,80,0.21568627450980393
