epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,5,0.3269569288889915,0.37988653885272505,0.5369458128078818,0.5361242567649557,0.5358649789029536,0.6195121951219512,0.6195121951219512,0.5746606334841629,0.07236090517974769,0.4527363184079602,0.5384615384615384,0.5358649789029536,0.07328015007790104,0.5700521781337217,0.5846070320913299,0.3269569288889915,406,205,201,0.5049261083743842,0.22772277227722773,0.5125,0.21212121212121213,1.0,1.0,0.35,0.010550113036925324,0.025,1.0,0.21212121212121213,0.07282190812544191,0.6494047619047618,0.4189637223560624,0.37988653885272505,101,21,80,0.2079207920792079
2,5,0.2521611842845062,0.08247410997605449,0.5443349753694581,0.5363391984359727,0.5030674846625767,0.44086021505376344,0.44086021505376344,0.4699140401146132,0.07337955538009822,0.6318181818181818,0.5720164609053497,0.5030674846625767,0.07387138007846676,0.5728005865102639,0.5621547612784266,0.2521611842845062,406,186,220,0.458128078817734,0.7425742574257426,0.5565476190476191,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.2777777777777778,0.1264138389886893,0.875,0.813953488372093,0.3333333333333333,0.12906369810704355,0.5392857142857143,0.33459197340823327,0.08247410997605449,101,21,80,0.2079207920792079
3,5,0.17928278675485268,0.10040800336573491,0.5911330049261084,0.5911903895158355,0.5853658536585366,0.5970149253731343,0.5970149253731343,0.5911330049261084,0.18234537645888438,0.5853658536585366,0.5970149253731343,0.5853658536585366,0.1823807790316709,0.6165756582938964,0.5994050455244331,0.17928278675485268,406,201,205,0.49507389162561577,0.37623762376237624,0.5535714285714286,0.23076923076923078,0.8571428571428571,0.8571428571428571,0.36363636363636365,0.05354752342704139,0.25,0.8695652173913043,0.23076923076923078,0.10368278278369857,0.6458333333333334,0.41741137813253487,0.10040800336573491,101,21,80,0.2079207920792079
4,5,0.15202452645105954,0.11314939512966415,0.5812807881773399,0.5794483294483295,0.5811965811965812,0.6538461538461539,0.6538461538461539,0.6153846153846154,0.15939981487796562,0.5050505050505051,0.5813953488372093,0.5811965811965812,0.1607336755192534,0.6202894327894328,0.6582121749655552,0.15202452645105954,406,208,198,0.5123152709359606,0.5346534653465347,0.5482142857142858,0.24,0.5714285714285714,0.5714285714285714,0.3380281690140845,0.06389272332873197,0.525,0.8235294117647058,0.24,0.07826908981308053,0.5916666666666667,0.37349941304361073,0.11314939512966415,101,21,80,0.2079207920792079
5,5,0.1468744929547447,0.1272518314009043,0.5714285714285714,0.5714112276612276,0.5833333333333334,0.5721153846153846,0.5721153846153846,0.5776699029126213,0.14275313076400353,0.5707070707070707,0.5594059405940595,0.5833333333333334,0.1427808585674381,0.6180312742812742,0.6363317921562509,0.14687449295474472,406,208,198,0.5123152709359606,0.4158415841584158,0.5083333333333333,0.21212121212121213,0.6666666666666666,0.6666666666666666,0.3218390804597701,0.009310058187863568,0.35,0.8,0.21212121212121213,0.014213381090374028,0.5428571428571428,0.33722628894271534,0.1272518314009043,101,21,80,0.2079207920792079
6,5,0.15564142854576254,0.1054664125314399,0.5985221674876847,0.5972330665625609,0.5647668393782384,0.5797872340425532,0.5797872340425532,0.5721784776902887,0.1941109135634087,0.6146788990825688,0.6291079812206573,0.5647668393782384,0.19417025176940464,0.6196320515323053,0.6211580126423812,0.15564142854576254,406,188,218,0.4630541871921182,0.7326732673267327,0.5854166666666667,0.35,0.3333333333333333,0.3333333333333333,0.34146341463414637,0.17388670099969705,0.8375,0.8271604938271605,0.35,0.17396815138258281,0.5726190476190476,0.36349806025367637,0.1054664125314399,101,21,80,0.2079207920792079
7,5,0.13679691746308895,0.2099938443617779,0.5738916256157636,0.574165756582939,0.5833333333333334,0.5463414634146342,0.5463414634146342,0.5642317380352645,0.14823797627998347,0.6019900497512438,0.5654205607476636,0.5833333333333334,0.14854255349343837,0.6030093435262711,0.6017957471365393,0.13679691746308895,406,205,201,0.5049261083743842,0.297029702970297,0.5035714285714286,0.20930232558139536,0.8571428571428571,0.8571428571428571,0.3364485981308411,0.0033356497567756938,0.15,0.8,0.20930232558139536,0.008151391459392225,0.5107142857142857,0.3256603692589575,0.2099938443617779,101,21,80,0.2079207920792079
8,5,0.12438573111112439,0.08645140692325447,0.5665024630541872,0.5665240225637036,0.5445544554455446,0.5670103092783505,0.5670103092783505,0.5555555555555556,0.13281553398058255,0.5660377358490566,0.5882352941176471,0.5445544554455446,0.13291883460345494,0.6074936782727095,0.6408212393986429,0.12438573111112439,406,194,212,0.47783251231527096,0.5643564356435643,0.549404761904762,0.24444444444444444,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.06951423785594657,0.575,0.8214285714285714,0.24444444444444444,0.08067763835357293,0.5779761904761904,0.3852087453267047,0.08645140692325447,101,21,80,0.2079207920792079
9,5,0.1056999099721364,0.1105583623122746,0.5812807881773399,0.5661721647472184,0.5833333333333334,0.7706422018348624,0.7706422018348624,0.6640316205533597,0.1358241097811389,0.3617021276595745,0.576271186440678,0.5833333333333334,0.14533668894595442,0.5998438414991216,0.638769477798496,0.1056999099721364,406,218,188,0.5369458128078818,0.4158415841584158,0.5258928571428572,0.22058823529411764,0.7142857142857143,0.7142857142857143,0.33707865168539325,0.02837110712538715,0.3375,0.8181818181818182,0.22058823529411764,0.04480775504470936,0.544047619047619,0.3304763192309494,0.1105583623122746,101,21,80,0.2079207920792079
10,5,0.0974589504168847,0.13323937172323314,0.6379310344827587,0.6121719545632589,0.6175548589341693,0.8873873873873874,0.8873873873873874,0.7282809611829945,0.23494423791821573,0.33695652173913043,0.7126436781609196,0.6175548589341693,0.27217279548068307,0.6933754406580495,0.7256940685178953,0.09745895041688471,406,222,184,0.5467980295566502,0.693069306930693,0.5428571428571429,0.2727272727272727,0.2857142857142857,0.2857142857142857,0.27906976744186046,0.08423515647850255,0.8,0.810126582278481,0.2727272727272727,0.08427193483297496,0.5839285714285714,0.3446964211446932,0.13323937172323314,101,21,80,0.2079207920792079
