epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,3,0.3664987205041417,0.06867689275560845,0.5985221674876847,0.5827729044834308,0.6336633663366337,0.3368421052631579,0.3368421052631579,0.43986254295532645,0.17034826868590636,0.8287037037037037,0.5868852459016394,0.6336633663366337,0.19107825211023777,0.5950048732943469,0.5742819621328945,0.3664987205041417,406,190,216,0.46798029556650245,0.7920792079207921,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.7920792079207921,0.0,0.0,0.681547619047619,0.40660926629968663,0.06867689275560845,101,21,80,0.2079207920792079
2,3,0.29651919056620135,0.06267622088331103,0.687192118226601,0.6839312170597236,0.7243589743589743,0.5736040609137056,0.5736040609137056,0.6402266288951841,0.3700735455811567,0.7942583732057417,0.664,0.7243589743589743,0.37797179474112125,0.7547178976513735,0.7327711285683883,0.29651919056620135,406,197,209,0.4852216748768473,0.5544554455445545,0.5782738095238096,0.26,0.6190476190476191,0.6190476190476191,0.36619718309859156,0.10372707552750937,0.5375,0.8431372549019608,0.26,0.12706648531382828,0.706547619047619,0.4402584826516974,0.06267622088331103,101,21,80,0.2079207920792079
3,3,0.2670338305888704,0.0585633865257928,0.7389162561576355,0.7386206394290292,0.7393364928909952,0.7536231884057971,0.7536231884057971,0.7464114832535885,0.47742671879932974,0.7236180904522613,0.7384615384615385,0.7393364928909952,0.4775195739637757,0.8022479547495934,0.8024471943037286,0.2670338305888704,406,207,199,0.5098522167487685,0.7326732673267327,0.638095238095238,0.38461538461538464,0.47619047619047616,0.47619047619047616,0.425531914893617,0.2538987688098495,0.8,0.8533333333333334,0.38461538461538464,0.2563575037309611,0.7154761904761905,0.46125226536964337,0.0585633865257928,101,21,80,0.2079207920792079
4,3,0.25715474297795465,0.05626013151618956,0.7463054187192119,0.7457226064797962,0.7752808988764045,0.6865671641791045,0.6865671641791045,0.7282321899736148,0.49199446050681506,0.8048780487804879,0.7236842105263158,0.7752808988764045,0.4951908868808331,0.8149496420337339,0.8138163284081834,0.25715474297795465,406,201,205,0.49507389162561577,0.6831683168316832,0.606845238095238,0.3225806451612903,0.47619047619047616,0.47619047619047616,0.38461538461538464,0.1817721518987342,0.7375,0.8428571428571429,0.3225806451612903,0.1880225510452351,0.7255952380952381,0.4978969521333875,0.05626013151618956,101,21,80,0.2079207920792079
5,3,0.20269220345951083,0.06117546112198235,0.8029556650246306,0.8027833774560998,0.7969543147208121,0.7969543147208121,0.7969543147208121,0.7969543147208121,0.6055667549121997,0.8086124401913876,0.8086124401913876,0.7969543147208121,0.6055667549121997,0.8808199548247638,0.8717495347623453,0.20269220345951083,406,197,209,0.4852216748768473,0.6732673267326733,0.6005952380952381,0.3125,0.47619047619047616,0.47619047619047616,0.37735849056603776,0.16862060364180598,0.725,0.8405797101449275,0.3125,0.1754941018358111,0.7160714285714285,0.4865911324719378,0.06117546112198235,101,21,80,0.2079207920792079
6,3,0.21422095047555872,0.061289159457734096,0.8152709359605911,0.8151316587792743,0.8214285714285714,0.8009950248756219,0.8009950248756219,0.8110831234256927,0.6304163126593033,0.8292682926829268,0.8095238095238095,0.8214285714285714,0.6306077551382577,0.8662298264773692,0.8610903359171028,0.21422095047555872,406,201,205,0.49507389162561577,0.7128712871287128,0.6255952380952381,0.35714285714285715,0.47619047619047616,0.47619047619047616,0.40816326530612246,0.22369467267426446,0.775,0.8493150684931506,0.35714285714285715,0.22772848889369712,0.7392857142857143,0.5051205470938871,0.061289159457734096,101,21,80,0.2079207920792079
7,3,0.22015336493445672,0.06289889543699931,0.8103448275862069,0.8095637379997569,0.8101851851851852,0.8293838862559242,0.8293838862559242,0.819672131147541,0.6197299598588979,0.7897435897435897,0.8105263157894737,0.8101851851851852,0.6199189825471635,0.86562158220926,0.8703621440268581,0.22015336493445672,406,211,195,0.5197044334975369,0.6831683168316832,0.606845238095238,0.3225806451612903,0.47619047619047616,0.47619047619047616,0.38461538461538464,0.1817721518987342,0.7375,0.8428571428571429,0.3225806451612903,0.1880225510452351,0.7392857142857143,0.4983882379332591,0.06289889543699931,101,21,80,0.2079207920792079
8,3,0.19576833654156217,0.06838126412055705,0.8177339901477833,0.8168026299768659,0.8095238095238095,0.8010471204188482,0.8010471204188482,0.8052631578947368,0.6339757803172438,0.8325581395348837,0.8248847926267281,0.8095238095238095,0.6340068038140245,0.8930719590892487,0.8721028766683155,0.19576833654156217,406,191,215,0.47044334975369456,0.594059405940594,0.6910714285714286,0.32142857142857145,0.8571428571428571,0.8571428571428571,0.4675324675324675,0.23668202764976953,0.525,0.9333333333333333,0.32142857142857145,0.31201833628309533,0.7452380952380953,0.5186314683588888,0.06838126412055705,101,21,80,0.2079207920792079
9,3,0.19514987825474917,0.06034771224286748,0.8300492610837439,0.8307731694828469,0.803030303030303,0.8412698412698413,0.8412698412698413,0.8217054263565892,0.6595201633486473,0.8202764976958525,0.8557692307692307,0.803030303030303,0.6601715077897465,0.8901567795577011,0.8699786888048614,0.19514987825474917,406,189,217,0.46551724137931033,0.7227722772277227,0.6669642857142857,0.3870967741935484,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.28405063291139243,0.7625,0.8714285714285714,0.3870967741935484,0.2938179697392114,0.7589285714285714,0.4924855131435781,0.06034771224286748,101,21,80,0.2079207920792079
10,3,0.2079345735010379,0.06261147813938356,0.8103448275862069,0.8112213870441995,0.7843137254901961,0.8290155440414507,0.8290155440414507,0.8060453400503779,0.6207816783522162,0.7934272300469484,0.8366336633663366,0.7843137254901961,0.6216946318594107,0.8813398525870247,0.8685556744922875,0.2079345735010379,406,193,213,0.4753694581280788,0.6534653465346535,0.6583333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.2313546423135464,0.65,0.8813559322033898,0.3333333333333333,0.26073920703766246,0.7791666666666666,0.509040366505173,0.06261147813938356,101,21,80,0.2079207920792079
