epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,5,0.5540028341382556,0.08341740077911268,0.541871921182266,0.5372448979591836,0.5465116279069767,0.6714285714285714,0.6714285714285714,0.6025641025641025,0.07510288065843618,0.4030612244897959,0.5337837837837838,0.5465116279069767,0.07733814602139127,0.5808309037900874,0.5690511836825607,0.5540028341382556,406,210,196,0.5172413793103449,0.7227722772277227,0.5791666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15833333333333333,0.825,0.825,0.3333333333333333,0.15833333333333333,0.6523809523809524,0.4179850416839005,0.08341740077911268,101,21,80,0.2079207920792079
2,5,0.4177261664337217,0.11056482724313473,0.583743842364532,0.5822163947163947,0.5851528384279476,0.6442307692307693,0.6442307692307693,0.6132723112128147,0.16485308795248177,0.5202020202020202,0.5819209039548022,0.5851528384279476,0.16574800602411727,0.646780303030303,0.6822283605229847,0.4177261664337217,406,208,198,0.5123152709359606,0.801980198019802,0.5764880952380953,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.20284135753749022,0.9625,0.8191489361702128,0.5714285714285714,0.2444362068069036,0.6267857142857143,0.418735659194069,0.11056482724313473,101,21,80,0.2079207920792079
3,5,0.4000058680132963,0.07833756413080241,0.6083743842364532,0.6020005841121495,0.6078431372549019,0.484375,0.484375,0.5391304347826087,0.20615361912491703,0.719626168224299,0.6086956521739131,0.6078431372549019,0.2101765115548209,0.6300379672897196,0.6012138703961272,0.4000058680132963,406,192,214,0.4729064039408867,0.7623762376237624,0.5866071428571429,0.4,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.1936127744510978,0.8875,0.8255813953488372,0.4,0.19767124289026144,0.6351190476190476,0.3534098008393307,0.07833756413080241,101,21,80,0.2079207920792079
4,5,0.3979976696465579,0.07114404529312367,0.6009852216748769,0.6032594175794816,0.6358381502890174,0.5263157894736842,0.5263157894736842,0.5759162303664922,0.20544105921863298,0.6802030456852792,0.575107296137339,0.6358381502890174,0.20872040599342137,0.6272071503169553,0.6524341553616866,0.3979976696465579,406,209,197,0.5147783251231527,0.7425742574257426,0.5741071428571429,0.35294117647058826,0.2857142857142857,0.2857142857142857,0.3157894736842105,0.15941101152368764,0.8625,0.8214285714285714,0.35294117647058826,0.16076096427632555,0.6761904761904762,0.42693211995160757,0.07114404529312367,101,21,80,0.2079207920792079
5,5,0.3703283235759825,0.11736893195510864,0.6502463054187192,0.6475634949568598,0.648068669527897,0.7156398104265402,0.7156398104265402,0.6801801801801802,0.2963948351192365,0.5794871794871795,0.653179190751445,0.648068669527897,0.2981717193534475,0.6845060153117025,0.6822056644531646,0.3703283235759825,406,211,195,0.5197044334975369,0.32673267326732675,0.5047619047619047,0.20987654320987653,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.004637681159420315,0.2,0.8,0.20987654320987653,0.00969857289937744,0.6458333333333334,0.40607033013708577,0.11736893195510864,101,21,80,0.2079207920792079
6,5,0.35985089134629367,0.06341117374238207,0.6330049261083743,0.6269005847953216,0.6273291925465838,0.531578947368421,0.531578947368421,0.5754985754985755,0.25615424341538995,0.7222222222222222,0.636734693877551,0.6273291925465838,0.2588816780328346,0.6747563352826511,0.6700885071247795,0.35985089134629367,406,190,216,0.46798029556650245,0.7128712871287128,0.643154761904762,0.36666666666666664,0.5238095238095238,0.5238095238095238,0.43137254901960786,0.24723721408378307,0.7625,0.8591549295774648,0.36666666666666664,0.2542732264446334,0.7124999999999999,0.4495719242056081,0.06341117374238207,101,21,80,0.2079207920792079
7,5,0.36105464796572884,0.09759620722932613,0.6477832512315271,0.6408095878684115,0.6625,0.7194570135746606,0.7194570135746606,0.6898047722342733,0.2839947709838937,0.5621621621621622,0.6265060240963856,0.6625,0.28528869288669756,0.6949981655864009,0.7183272379133122,0.36105464796572884,406,221,185,0.5443349753694581,0.48514851485148514,0.6223214285714286,0.26865671641791045,0.8571428571428571,0.8571428571428571,0.4090909090909091,0.13533091866973979,0.3875,0.9117647058823529,0.26865671641791045,0.21009238977486652,0.7101190476190476,0.4486877764732419,0.09759620722932613,101,21,80,0.2079207920792079
8,5,0.36053319090205443,0.08427507450805129,0.6354679802955665,0.6351899041378474,0.6325581395348837,0.6634146341463415,0.6634146341463415,0.6476190476190476,0.2705111084132572,0.6069651741293532,0.6387434554973822,0.6325581395348837,0.27084030949936944,0.7000364033491081,0.6762878183721523,0.36053319090205443,406,205,201,0.5049261083743842,0.7029702970297029,0.7071428571428571,0.38461538461538464,0.7142857142857143,0.7142857142857143,0.5,0.3147896879240163,0.7,0.9032258064516129,0.38461538461538464,0.34532375163322,0.6952380952380952,0.43445779584773936,0.08427507450805129,101,21,80,0.2079207920792079
9,5,0.3088606898934521,0.10553555747802726,0.7216748768472906,0.7219224693158341,0.7029702970297029,0.7282051282051282,0.7282051282051282,0.7153652392947103,0.4432416688915317,0.7156398104265402,0.7401960784313726,0.7029702970297029,0.4435055272712393,0.7732409770324462,0.7483758075723559,0.3088606898934521,406,195,211,0.4802955665024631,0.6039603960396039,0.6622023809523809,0.3137254901960784,0.7619047619047619,0.7619047619047619,0.4444444444444444,0.21247563352826515,0.5625,0.9,0.3137254901960784,0.2633126786921537,0.706547619047619,0.3932736541218954,0.10553555747802726,101,21,80,0.2079207920792079
10,5,0.313857933922036,0.07766827294333573,0.7142857142857143,0.7131615379010516,0.7104072398190046,0.7511961722488039,0.7511961722488039,0.7302325581395349,0.42706990097564534,0.6751269035532995,0.7189189189189189,0.7104072398190046,0.42782198227236246,0.7667403395429042,0.7755305483834796,0.313857933922036,406,209,197,0.5147783251231527,0.7425742574257426,0.6267857142857143,0.391304347826087,0.42857142857142855,0.42857142857142855,0.4090909090909091,0.24496837262794702,0.825,0.8461538461538461,0.391304347826087,0.24538258592141993,0.7339285714285715,0.46524714998682176,0.07766827294333573,101,21,80,0.2079207920792079
