epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,3,0.11035504029892279,0.06423180150144761,0.5197044334975369,0.5079022988505747,0.4378698224852071,0.42528735632183906,0.42528735632183906,0.4314868804664723,0.015861571737563085,0.5905172413793104,0.5780590717299579,0.4378698224852071,0.01586662424382854,0.5094877130400317,0.4453301962523362,0.11035504029892279,406,174,232,0.42857142857142855,0.5247524752475248,0.5419642857142857,0.23529411764705882,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.054970760233918115,0.5125,0.82,0.23529411764705882,0.0681230966891627,0.6065476190476191,0.2939026781928928,0.06423180150144761,101,21,80,0.2079207920792079
2,3,0.08628697159385831,0.06922518418229295,0.6009852216748769,0.5989078995267565,0.5743944636678201,0.8097560975609757,0.8097560975609757,0.6720647773279352,0.19862563052854743,0.3880597014925373,0.6666666666666666,0.5743944636678201,0.2183705568932303,0.6277636209197913,0.6032794723387994,0.08628697159385831,406,205,201,0.5049261083743842,0.5445544554455446,0.6071428571428572,0.2727272727272727,0.7142857142857143,0.7142857142857143,0.39473684210526316,0.13417815877748795,0.5,0.8695652173913043,0.2727272727272727,0.17461743292853735,0.5702380952380952,0.2708991279387113,0.06922518418229295,101,21,80,0.2079207920792079
3,3,0.08219028514792129,0.0936048555160218,0.6157635467980296,0.6043688729961809,0.5953177257525084,0.8356807511737089,0.8356807511737089,0.6953125,0.2131978434246814,0.37305699481865284,0.6728971962616822,0.5953177257525084,0.23661483102874012,0.6742319200175144,0.6752771583195344,0.08219028514792129,406,213,193,0.5246305418719212,0.40594059405940597,0.4669642857142857,0.19047619047619047,0.5714285714285714,0.5714285714285714,0.2857142857142857,-0.03802672147995878,0.3625,0.7631578947368421,0.19047619047619047,-0.055348552167116906,0.5708333333333333,0.3229602145403506,0.0936048555160218,101,21,80,0.2079207920792079
4,3,0.08151861773668705,0.11772417586923827,0.6921182266009852,0.6747453975714846,0.6701754385964912,0.8603603603603603,0.8603603603603603,0.7534516765285996,0.3600413608736224,0.4891304347826087,0.743801652892562,0.6701754385964912,0.3803697975332464,0.7461564825695262,0.7411681260633228,0.08151861773668705,406,222,184,0.5467980295566502,0.32673267326732675,0.5223214285714286,0.21686746987951808,0.8571428571428571,0.8571428571428571,0.34615384615384615,0.021373610715303526,0.1875,0.8333333333333334,0.21686746987951808,0.04734033466599079,0.6136904761904761,0.3197746292545547,0.11772417586923827,101,21,80,0.2079207920792079
5,3,0.06980963156200438,0.1045354385582013,0.7142857142857143,0.7128503822351656,0.6692015209125475,0.8585365853658536,0.8585365853658536,0.7521367521367521,0.42690257733213266,0.5671641791044776,0.7972027972027972,0.6692015209125475,0.4455880101326402,0.8072564009222182,0.7673185168610048,0.06980963156200438,406,205,201,0.5049261083743842,0.6039603960396039,0.5744047619047619,0.2682926829268293,0.5238095238095238,0.5238095238095238,0.3548387096774194,0.11013215859030834,0.625,0.8333333333333334,0.2682926829268293,0.12297527835436568,0.5958333333333333,0.2586625553948679,0.1045354385582013,101,21,80,0.2079207920792079
6,3,0.06572402440717152,0.11064230822633515,0.7881773399014779,0.7881773399014779,0.7489361702127659,0.8669950738916257,0.8669950738916257,0.8036529680365296,0.5763546798029557,0.7093596059113301,0.8421052631578947,0.7489361702127659,0.583651862055307,0.8691790628260816,0.8744540639608906,0.06572402440717152,406,203,203,0.5,0.6138613861386139,0.5630952380952381,0.2631578947368421,0.47619047619047616,0.47619047619047616,0.3389830508474576,0.09718083887233553,0.65,0.8253968253968254,0.2631578947368421,0.1057107482831422,0.6452380952380953,0.3139624935764757,0.11064230822633515,101,21,80,0.2079207920792079
7,3,0.06693037827757549,0.12470902538807377,0.7610837438423645,0.7662512218963833,0.7031963470319634,0.8279569892473119,0.8279569892473119,0.7604938271604939,0.5253007400978762,0.7045454545454546,0.8288770053475936,0.7031963470319634,0.5322878548484118,0.8664956011730206,0.8302289886715277,0.06693037827757549,406,186,220,0.458128078817734,0.6336633663366337,0.575595238095238,0.2777777777777778,0.47619047619047616,0.47619047619047616,0.3508771929824561,0.11967020023557129,0.675,0.8307692307692308,0.2777777777777778,0.12810649441489652,0.6047619047619047,0.2673886449672848,0.12470902538807377,101,21,80,0.2079207920792079
8,3,0.04921820411261463,0.1586418873034227,0.7980295566502463,0.7980295566502463,0.746938775510204,0.9014778325123153,0.9014778325123153,0.8169642857142857,0.5960591133004927,0.6945812807881774,0.8757763975155279,0.746938775510204,0.60924137570628,0.8924992113373292,0.8942250750275059,0.04921820411261463,406,203,203,0.5,0.5544554455445545,0.5782738095238096,0.26,0.6190476190476191,0.6190476190476191,0.36619718309859156,0.10372707552750937,0.5375,0.8431372549019608,0.26,0.12706648531382828,0.6011904761904762,0.2744403541695208,0.1586418873034227,101,21,80,0.2079207920792079
9,3,0.048747415615098266,0.19448969493004184,0.8399014778325123,0.8448857575231338,0.7755102040816326,0.8786127167630058,0.8786127167630058,0.8238482384823849,0.6781628820215126,0.8111587982832618,0.9,0.7755102040816326,0.6826036162361002,0.9241856657322187,0.9072818067600251,0.048747415615098266,406,173,233,0.42610837438423643,0.693069306930693,0.5252976190476191,0.25,0.23809523809523808,0.23809523809523808,0.24390243902439024,0.05149954559224479,0.8125,0.8024691358024691,0.25,0.05152366852794265,0.611904761904762,0.28499595683263834,0.19448969493004184,101,21,80,0.2079207920792079
10,3,0.059389286132086556,0.18637909086609486,0.8029556650246306,0.8048494615779064,0.7635467980295566,0.8288770053475936,0.8288770053475936,0.7948717948717948,0.6059113300492611,0.7808219178082192,0.8423645320197044,0.7635467980295566,0.6078021762538703,0.9040851708055576,0.8699022870190666,0.059389286132086556,406,187,219,0.4605911330049261,0.7227722772277227,0.5967261904761905,0.34782608695652173,0.38095238095238093,0.38095238095238093,0.36363636363636365,0.18688901667625069,0.8125,0.8333333333333334,0.34782608695652173,0.18720502447056686,0.6035714285714286,0.31117101086561066,0.18637909086609486,101,21,80,0.2079207920792079
