epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.0805305082242818,0.053473340403334256,0.6617283950617284,0.6621951219512194,0.6451612903225806,0.7,0.7,0.6714628297362111,0.3240543339221539,0.624390243902439,0.6808510638297872,0.6451612903225806,0.32520028763624265,0.7369756097560975,0.7592466317846176,0.0805305082242818,405,200,205,0.49382716049382713,0.7058823529411765,0.6477272727272727,0.375,0.5454545454545454,0.5454545454545454,0.4444444444444444,0.25365853658536586,0.75,0.8571428571428571,0.375,0.2618924633082486,0.7886363636363636,0.510842207489088,0.053473340403334256,102,22,80,0.21568627450980393
2,1,0.05966250616425155,0.078028359199736,0.7432098765432099,0.746079054087067,0.6991150442477876,0.8144329896907216,0.8144329896907216,0.7523809523809524,0.4889093821288162,0.6777251184834123,0.7988826815642458,0.6991150442477876,0.49506930687598827,0.8293838862559242,0.8148674323617067,0.05966250616425155,405,194,211,0.47901234567901235,0.6176470588235294,0.7397727272727272,0.3559322033898305,0.9545454545454546,0.9545454545454546,0.5185185185185185,0.29791740204729966,0.525,0.9767441860465116,0.3559322033898305,0.3994163872311593,0.8193181818181818,0.5303777131911848,0.078028359199736,102,22,80,0.21568627450980393
3,1,0.053625229620900675,0.06700155605262005,0.7975308641975308,0.7973101497341852,0.7531380753138075,0.8866995073891626,0.8866995073891626,0.8144796380090498,0.5948814287108422,0.7079207920792079,0.8614457831325302,0.7531380753138075,0.6045196754099803,0.8752377700824269,0.8637974053862523,0.053625229620900675,405,203,202,0.5012345679012346,0.7156862745098039,0.7528409090909092,0.4186046511627907,0.8181818181818182,0.8181818181818182,0.5538461538461539,0.375685943436049,0.6875,0.9322033898305084,0.4186046511627907,0.4211855268195874,0.8079545454545454,0.5157493732623384,0.06700155605262005,102,22,80,0.21568627450980393
4,1,0.046127259525002275,0.06982056365777056,0.837037037037037,0.8391676866585067,0.7980769230769231,0.8736842105263158,0.8736842105263158,0.8341708542713567,0.6746195982958003,0.8046511627906977,0.8781725888324873,0.7980769230769231,0.6772916396328231,0.9177233782129742,0.9048615538957921,0.046127259525002275,405,190,215,0.4691358024691358,0.7843137254901961,0.7142045454545455,0.5,0.5909090909090909,0.5909090909090909,0.5416666666666666,0.4019189765458422,0.8375,0.881578947368421,0.5,0.40431657145379674,0.8261363636363637,0.5388022134048979,0.06982056365777056,102,22,80,0.21568627450980393
5,1,0.037670252410182285,0.08266138690058145,0.8864197530864197,0.8864866842259291,0.8780487804878049,0.8955223880597015,0.8955223880597015,0.8866995073891626,0.7728602779809802,0.8774509803921569,0.895,0.8780487804878049,0.7730110735502175,0.9511267193444543,0.9557675504212464,0.037670252410182285,405,201,204,0.4962962962962963,0.8137254901960784,0.7659090909090909,0.5555555555555556,0.6818181818181818,0.6818181818181818,0.6122448979591837,0.49133858267716535,0.85,0.9066666666666666,0.5555555555555556,0.495800546407708,0.8306818181818182,0.5458236158601221,0.08266138690058145,102,22,80,0.21568627450980393
6,1,0.03999338923673616,0.09527139991709532,0.8765432098765432,0.8766521972394283,0.8454545454545455,0.9207920792079208,0.9207920792079208,0.8815165876777251,0.7531390954528832,0.8325123152709359,0.9135135135135135,0.8454545454545455,0.7561309239078421,0.9441301272984441,0.9332516412532944,0.03999338923673616,405,202,203,0.49876543209876545,0.7254901960784313,0.7755681818181819,0.4318181818181818,0.8636363636363636,0.8636363636363636,0.5757575757575758,0.40450375312760634,0.6875,0.9482758620689655,0.4318181818181818,0.4576938378302714,0.8181818181818182,0.5282201033763192,0.09527139991709532,102,22,80,0.21568627450980393
7,1,0.04038346945085495,0.0822598662370861,0.8864197530864197,0.8852621046466225,0.8616071428571429,0.9278846153846154,0.9278846153846154,0.8935185185185185,0.7721825474466836,0.8426395939086294,0.9171270718232044,0.8616071428571429,0.7746183350632558,0.9475546661460367,0.9461710586880806,0.04038346945085495,405,208,197,0.5135802469135803,0.7450980392156863,0.7221590909090909,0.4411764705882353,0.6818181818181818,0.6818181818181818,0.5357142857142857,0.3709677419354839,0.7625,0.8970588235294118,0.4411764705882353,0.38766492091636423,0.8056818181818182,0.5071088599389176,0.0822598662370861,102,22,80,0.21568627450980393
8,1,0.02566898885708772,0.09936652943543578,0.928395061728395,0.9260196596244132,0.9,0.971830985915493,0.971830985915493,0.9345372460496614,0.8557745441149383,0.8802083333333334,0.9657142857142857,0.9,0.8588495855875952,0.969972613458529,0.9662575828680896,0.02566898885708772,405,213,192,0.5259259259259259,0.7745098039215687,0.7738636363636364,0.4857142857142857,0.7727272727272727,0.7727272727272727,0.5964912280701754,0.4510996724379972,0.775,0.9253731343283582,0.4857142857142857,0.4745142689450425,0.8142045454545455,0.5279128312830019,0.09936652943543578,102,22,80,0.21568627450980393
9,1,0.03799020078758844,0.10999875455081631,0.9037037037037037,0.9044514168055692,0.882051282051282,0.9148936170212766,0.9148936170212766,0.8981723237597912,0.8068952869979827,0.8940092165898618,0.9238095238095239,0.882051282051282,0.8073803870276769,0.9555103441513875,0.942397989816041,0.03799020078758844,405,188,217,0.4641975308641975,0.7254901960784313,0.7261363636363636,0.42105263157894735,0.7272727272727273,0.7272727272727273,0.5333333333333333,0.3579136690647482,0.725,0.90625,0.42105263157894735,0.38474673985331076,0.7971590909090909,0.4968246485217972,0.10999875455081631,102,22,80,0.21568627450980393
10,1,0.0339323749922868,0.11369423377519779,0.908641975308642,0.9089634146341463,0.8862559241706162,0.935,0.935,0.9099756690997567,0.8173785875327524,0.8829268292682927,0.9329896907216495,0.8862559241706162,0.8185859565010772,0.964,0.9617363344952712,0.03393237499228681,405,200,205,0.49382716049382713,0.7254901960784313,0.6272727272727273,0.38461538461538464,0.45454545454545453,0.45454545454545453,0.4166666666666667,0.23880597014925364,0.8,0.8421052631578947,0.38461538461538464,0.24023053582400655,0.790340909090909,0.5076199141572543,0.11369423377519779,102,22,80,0.21568627450980393
11,1,0.03003279455466582,0.11369005444732529,0.9160493827160494,0.9161708042725455,0.8783783783783784,0.9653465346534653,0.9653465346534653,0.9198113207547169,0.8321386775892334,0.8669950738916257,0.9617486338797814,0.8783783783783784,0.8362252500164881,0.9650782812271377,0.9568534157338344,0.030032794554665825,405,202,203,0.49876543209876545,0.696078431372549,0.7238636363636364,0.3953488372093023,0.7727272727272727,0.7727272727272727,0.5230769230769231,0.3326298016040524,0.675,0.9152542372881356,0.3953488372093023,0.3729148259930729,0.7659090909090909,0.48138800909573864,0.11369005444732529,102,22,80,0.21568627450980393
12,1,0.015811438890745128,0.12040057495373044,0.9481481481481482,0.9465201465201465,0.9162995594713657,0.9904761904761905,0.9904761904761905,0.9519450800915332,0.8958295057872496,0.9025641025641026,0.9887640449438202,0.9162995594713657,0.8990318495509719,0.984029304029304,0.9829456266216954,0.015811438890745128,405,210,195,0.5185185185185185,0.7156862745098039,0.7693181818181818,0.4222222222222222,0.8636363636363636,0.8636363636363636,0.5671641791044776,0.3906056860321385,0.675,0.9473684210526315,0.4222222222222222,0.44617817083267497,0.7909090909090909,0.489846601950617,0.12040057495373044,102,22,80,0.21568627450980393
13,1,0.019588604182339334,0.12537414966551985,0.9382716049382716,0.9372193479109723,0.9103139013452914,0.9759615384615384,0.9759615384615384,0.9419953596287703,0.8762028195189945,0.8984771573604061,0.9725274725274725,0.9103139013452914,0.8786299901477035,0.9804519718859821,0.9772860215967148,0.019588604182339334,405,208,197,0.5135802469135803,0.696078431372549,0.625,0.3548387096774194,0.5,0.5,0.41509433962264153,0.21771400296882726,0.75,0.8450704225352113,0.3548387096774194,0.22355599534156462,0.7681818181818182,0.5183071021619308,0.12537414966551985,102,22,80,0.21568627450980393
14,1,0.017166829976334733,0.1373007243622105,0.9432098765432099,0.9420270402186646,0.9111111111111111,0.9855769230769231,0.9855769230769231,0.9468822170900693,0.8860759493670887,0.8984771573604061,0.9833333333333333,0.9111111111111111,0.8892340866361405,0.9821358844201483,0.9799216819651496,0.017166829976334733,405,208,197,0.5135802469135803,0.7254901960784313,0.759090909090909,0.42857142857142855,0.8181818181818182,0.8181818181818182,0.5625,0.3897435897435897,0.7,0.9333333333333333,0.42857142857142855,0.43305019054662414,0.7812500000000001,0.47546837916003093,0.1373007243622105,102,22,80,0.21568627450980393
15,1,0.0215166890010019,0.14362017911648547,0.9382716049382716,0.936950898086685,0.9030837004405287,0.9855769230769231,0.9855769230769231,0.9425287356321839,0.876136182914745,0.8883248730964467,0.9831460674157303,0.9030837004405287,0.8800441954537814,0.9790609137055837,0.9743083922553537,0.0215166890010019,405,208,197,0.5135802469135803,0.7156862745098039,0.6210227272727272,0.37037037037037035,0.45454545454545453,0.45454545454545453,0.40816326530612246,0.2236220472440945,0.7875,0.84,0.37037037037037035,0.22565281278812352,0.7539772727272728,0.4861327122821617,0.1436201791164855,102,22,80,0.21568627450980393
16,1,0.015607564439554451,0.12481957489150701,0.9506172839506173,0.9512001756354589,0.92018779342723,0.9849246231155779,0.9849246231155779,0.9514563106796117,0.9013230027044806,0.9174757281553398,0.984375,0.92018779342723,0.9034809253854421,0.9857540127823584,0.9824687415286402,0.015607564439554451,405,199,206,0.49135802469135803,0.7647058823529411,0.7346590909090909,0.46875,0.6818181818181818,0.6818181818181818,0.5555555555555556,0.4029268292682927,0.7875,0.9,0.46875,0.41600610517810255,0.8,0.5096950611567809,0.12481957489150701,102,22,80,0.21568627450980393
1,2,0.07639933890667758,0.06624907113305822,0.6691358024691358,0.6700995704802811,0.6465116279069767,0.7055837563451777,0.7055837563451777,0.6747572815533981,0.33937918441874615,0.6346153846153846,0.6947368421052632,0.6465116279069767,0.3407234015330767,0.7472910972276456,0.7502077996892305,0.07639933890667758,405,197,208,0.48641975308641977,0.7450980392156863,0.6068181818181818,0.4,0.36363636363636365,0.36363636363636365,0.38095238095238093,0.22091656874265575,0.85,0.8292682926829268,0.4,0.2213143563935652,0.725,0.49880281611981303,0.06624907113305822,102,22,80,0.21568627450980393
2,2,0.05630781840705755,0.05581316418472709,0.7950617283950617,0.7900132275132274,0.7759336099585062,0.8657407407407407,0.8657407407407407,0.8183807439824945,0.5848616205401801,0.7142857142857143,0.823170731707317,0.7759336099585062,0.5894882250625415,0.8716196355085244,0.8778903484552185,0.05630781840705755,405,216,189,0.5333333333333333,0.7254901960784313,0.7261363636363636,0.42105263157894735,0.7272727272727273,0.7272727272727273,0.5333333333333333,0.3579136690647482,0.725,0.90625,0.42105263157894735,0.38474673985331076,0.8147727272727272,0.6281549162052475,0.05581316418472709,102,22,80,0.21568627450980393
3,2,0.06077011587360041,0.04282843626846193,0.7753086419753087,0.7757909383849233,0.7560975609756098,0.7908163265306123,0.7908163265306123,0.773067331670823,0.5507952952647936,0.7607655502392344,0.795,0.7560975609756098,0.5513396656927667,0.871374865735768,0.8577304634770191,0.06077011587360041,405,196,209,0.4839506172839506,0.8333333333333334,0.7948863636363637,0.5925925925925926,0.7272727272727273,0.7272727272727273,0.6530612244897959,0.5448818897637795,0.8625,0.92,0.5925925925925926,0.5498300931316249,0.884090909090909,0.7196112523641736,0.04282843626846193,102,22,80,0.21568627450980393
4,2,0.049890825325572236,0.06674202116790175,0.8320987654320988,0.830952380952381,0.8227272727272728,0.861904761904762,0.861904761904762,0.8418604651162791,0.6631192660550458,0.8,0.8432432432432433,0.8227272727272728,0.6639345267487268,0.9082295482295484,0.8980377631066294,0.049890825325572236,405,210,195,0.5185185185185185,0.6862745098039216,0.7340909090909091,0.391304347826087,0.8181818181818182,0.8181818181818182,0.5294117647058824,0.3355048859934854,0.65,0.9285714285714286,0.391304347826087,0.38698840110022614,0.8528409090909091,0.692840568849534,0.06674202116790175,102,22,80,0.21568627450980393
5,2,0.059351981027775426,0.04647474981226196,0.7975308641975308,0.7952592520261693,0.7702127659574468,0.8660287081339713,0.8660287081339713,0.8153153153153153,0.592964824120603,0.7244897959183674,0.8352941176470589,0.7702127659574468,0.5979657340513135,0.888658334147056,0.8686937630426226,0.059351981027775426,405,209,196,0.5160493827160494,0.7941176470588235,0.7863636363636364,0.5151515151515151,0.7727272727272727,0.7727272727272727,0.6181818181818182,0.48484848484848486,0.8,0.927536231884058,0.5151515151515151,0.5035269069567828,0.8732954545454545,0.7122201153208381,0.04647474981226196,102,22,80,0.21568627450980393
6,2,0.045604506204433584,0.0721243890433934,0.8716049382716049,0.8689386896315506,0.8521739130434782,0.9158878504672897,0.9158878504672897,0.8828828828828829,0.7412140575079873,0.8219895287958116,0.8971428571428571,0.8521739130434782,0.7435750766553332,0.9322062925086853,0.9344856917079496,0.045604506204433584,405,214,191,0.528395061728395,0.7254901960784313,0.7261363636363636,0.42105263157894735,0.7272727272727273,0.7272727272727273,0.5333333333333333,0.3579136690647482,0.725,0.90625,0.42105263157894735,0.38474673985331076,0.8289772727272727,0.6703163922997615,0.0721243890433934,102,22,80,0.21568627450980393
7,2,0.05762265425024813,0.0745752742852328,0.8271604938271605,0.8287485328638498,0.7932692307692307,0.859375,0.859375,0.825,0.6548071303331385,0.7981220657276995,0.8629441624365483,0.7932692307692307,0.6568549158863141,0.9107492175273866,0.8862194456505732,0.05762265425024813,405,192,213,0.4740740740740741,0.8235294117647058,0.7392045454545455,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.4784090909090909,0.8875,0.8875,0.5909090909090909,0.4784090909090909,0.8636363636363636,0.6921335078712911,0.0745752742852328,102,22,80,0.21568627450980393
8,2,0.05409922234268911,0.07309546203816362,0.8395061728395061,0.8327187562288221,0.8464730290456431,0.8793103448275862,0.8793103448275862,0.8625792811839323,0.669868699915978,0.7861271676300579,0.8292682926829268,0.8464730290456431,0.6705696266577396,0.9170819214670122,0.9241052526310557,0.05409922234268911,405,232,173,0.5728395061728395,0.7058823529411765,0.7795454545454545,0.4166666666666667,0.9090909090909091,0.9090909090909091,0.5714285714285714,0.3914081145584726,0.65,0.9629629629629629,0.4166666666666667,0.46070323934988217,0.8659090909090909,0.7403115168726928,0.07309546203816362,102,22,80,0.21568627450980393
9,2,0.03482061927585353,0.06711285031188875,0.8962962962962963,0.8968864468864468,0.8768472906403941,0.9128205128205128,0.9128205128205128,0.8944723618090452,0.7926115581565472,0.8809523809523809,0.9158415841584159,0.8768472906403941,0.7932306991100574,0.9629304029304029,0.9620366407047134,0.03482061927585353,405,195,210,0.48148148148148145,0.7450980392156863,0.7880681818181818,0.4523809523809524,0.8636363636363636,0.8636363636363636,0.59375,0.43333333333333324,0.7125,0.95,0.4523809523809524,0.48148343554197026,0.8840909090909091,0.7689132994940997,0.06711285031188875,102,22,80,0.21568627450980393
10,2,0.04013030006880772,0.06332843084351246,0.8765432098765432,0.8781941662187912,0.839622641509434,0.9175257731958762,0.9175257731958762,0.8768472906403941,0.7535716893421277,0.8388625592417062,0.917098445595855,0.839622641509434,0.7565546914770432,0.9459373625836713,0.9339521602142967,0.040130300068807724,405,194,211,0.47901234567901235,0.7745098039215687,0.740909090909091,0.4838709677419355,0.6818181818181818,0.6818181818181818,0.5660377358490566,0.4195942602671944,0.8,0.9014084507042254,0.4838709677419355,0.43085337284010633,0.8653409090909091,0.7066609485971131,0.06332843084351246,102,22,80,0.21568627450980393
11,2,0.05002879377735153,0.051505611432231715,0.8987654320987655,0.8987403573869739,0.8934010152284264,0.8979591836734694,0.8979591836734694,0.8956743002544529,0.7973541938712,0.8995215311004785,0.9038461538461539,0.8934010152284264,0.7973639333736526,0.9499072356215214,0.9450710420208391,0.05002879377735153,405,196,209,0.4839506172839506,0.8235294117647058,0.7886363636363636,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.64,0.5253360910031024,0.85,0.918918918918919,0.5714285714285714,0.5320378116865689,0.9017045454545455,0.777687820201189,0.051505611432231715,102,22,80,0.21568627450980393
12,2,0.02861619321540141,0.07144546287051068,0.928395061728395,0.929625453475831,0.9035532994923858,0.9468085106382979,0.9468085106382979,0.9246753246753247,0.8565110625145077,0.9124423963133641,0.9519230769230769,0.9035532994923858,0.8573615645168075,0.9771546230022551,0.9760279000061025,0.028616193215401407,405,188,217,0.4641975308641975,0.7352941176470589,0.8147727272727273,0.44680851063829785,0.9545454545454546,0.9545454545454546,0.6086956521739131,0.44587525150905427,0.675,0.9818181818181818,0.44680851063829785,0.5194612458430651,0.9039772727272728,0.7964931685521224,0.07144546287051068,102,22,80,0.21568627450980393
13,2,0.040578440956348695,0.07446187736774079,0.8962962962962963,0.8947329812206573,0.8834080717488789,0.9248826291079812,0.9248826291079812,0.9036697247706422,0.7914981245863058,0.8645833333333334,0.9120879120879121,0.8834080717488789,0.7924752377821737,0.9638595461658841,0.9705306142941892,0.040578440956348695,405,213,192,0.5259259259259259,0.8137254901960784,0.7988636363636363,0.5483870967741935,0.7727272727272727,0.7727272727272727,0.6415094339622641,0.520534388916378,0.825,0.9295774647887324,0.5483870967741935,0.5345020615893772,0.8670454545454546,0.7465095330543292,0.07446187736774079,102,22,80,0.21568627450980393
14,2,0.025721009999908836,0.07925229613394694,0.9234567901234568,0.9228151075977162,0.9036697247706422,0.9516908212560387,0.9516908212560387,0.9270588235294117,0.8466527426624162,0.8939393939393939,0.946524064171123,0.9036697247706422,0.8479089318438892,0.97638217928073,0.9719758145376612,0.025721009999908843,405,207,198,0.5111111111111111,0.8235294117647058,0.772159090909091,0.5769230769230769,0.6818181818181818,0.6818181818181818,0.625,0.5106609808102345,0.8625,0.9078947368421053,0.5769230769230769,0.5137072618736569,0.8761363636363637,0.7639670840633659,0.07925229613394695,102,22,80,0.21568627450980393
15,2,0.03639860819544323,0.06518364544265143,0.9111111111111111,0.9088777055748278,0.8787878787878788,0.9620853080568721,0.9620853080568721,0.918552036199095,0.8211657344715926,0.8556701030927835,0.9540229885057471,0.8787878787878788,0.8252488068416701,0.9560756339473299,0.9497763292597736,0.03639860819544322,405,211,194,0.5209876543209877,0.7941176470588235,0.7863636363636364,0.5151515151515151,0.7727272727272727,0.7727272727272727,0.6181818181818182,0.48484848484848486,0.8,0.927536231884058,0.5151515151515151,0.5035269069567828,0.884090909090909,0.7695999158576277,0.06518364544265143,102,22,80,0.21568627450980393
16,2,0.03728238643081187,0.0960897758849115,0.8987654320987655,0.8988806516119592,0.8642533936651584,0.9455445544554455,0.9455445544554455,0.9030732860520094,0.7975765259475076,0.8522167487684729,0.9402173913043478,0.8642533936651584,0.8011090199360147,0.9592498658732869,0.9592255406011894,0.03728238643081187,405,202,203,0.49876543209876545,0.803921568627451,0.7926136363636364,0.53125,0.7727272727272727,0.7727272727272727,0.6296296296296297,0.5024390243902439,0.8125,0.9285714285714286,0.53125,0.5187485330913385,0.8528409090909091,0.7275493646722209,0.0960897758849115,102,22,80,0.21568627450980393
17,2,0.02996136012682654,0.06369536097293045,0.9160493827160494,0.9159513241964591,0.8858447488584474,0.9556650246305419,0.9556650246305419,0.919431279620853,0.8320649787794526,0.8762376237623762,0.9516129032258065,0.8858447488584474,0.8346755289846504,0.9711993366824367,0.968140623085175,0.029961360126826535,405,203,202,0.5012345679012346,0.7843137254901961,0.7965909090909091,0.5,0.8181818181818182,0.8181818181818182,0.6206896551724138,0.48199445983379496,0.775,0.9393939393939394,0.5,0.5105296229091595,0.8994318181818182,0.8102111964947485,0.06369536097293045,102,22,80,0.21568627450980393
18,2,0.022051737731528527,0.09494662183994733,0.9259259259259259,0.924901185770751,0.8933333333333333,0.9710144927536232,0.9710144927536232,0.9305555555555556,0.8514851485148515,0.8787878787878788,0.9666666666666667,0.8933333333333333,0.8548859804241099,0.9779192895134925,0.9754453587346129,0.022051737731528527,405,207,198,0.5111111111111111,0.7745098039215687,0.7738636363636364,0.4857142857142857,0.7727272727272727,0.7727272727272727,0.5964912280701754,0.4510996724379972,0.775,0.9253731343283582,0.4857142857142857,0.4745142689450425,0.85625,0.7366818653267166,0.09494662183994733,102,22,80,0.21568627450980393
