epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,5,0.501643184043828,0.07238724138178981,0.6600985221674877,0.65855378331064,0.6505376344086021,0.6237113402061856,0.6237113402061856,0.6368421052631579,0.3176636788776305,0.6933962264150944,0.6681818181818182,0.6505376344086021,0.3179124880306129,0.7081793425403617,0.7005497445885058,0.501643184043828,406,194,212,0.47783251231527096,0.8118811881188119,0.705654761904762,0.55,0.5238095238095238,0.5238095238095238,0.5365853658536586,0.4186610118146016,0.8875,0.8765432098765432,0.55,0.4188571170918632,0.7851190476190476,0.5663652179301086,0.07238724138178981,101,21,80,0.2079207920792079
2,5,0.3158038377740842,0.1359784307241882,0.7266009852216748,0.726703552708212,0.7156398104265402,0.7475247524752475,0.7475247524752475,0.7312348668280871,0.4533081010262756,0.7058823529411765,0.7384615384615385,0.7156398104265402,0.4537540943782628,0.8202290817317026,0.8187145367907209,0.31580383777408416,406,202,204,0.4975369458128079,0.693069306930693,0.6657738095238095,0.3611111111111111,0.6190476190476191,0.6190476190476191,0.45614035087719296,0.26242638398115437,0.7125,0.8769230769230769,0.3611111111111111,0.2809264464137691,0.7339285714285714,0.5615642492413626,0.1359784307241882,101,21,80,0.2079207920792079
3,5,0.2934426656951195,0.1306545045041754,0.8029556650246306,0.8023461977509533,0.8,0.8229665071770335,0.8229665071770335,0.8113207547169812,0.6052215766827916,0.7817258883248731,0.806282722513089,0.8,0.60548703687846,0.8676802759089695,0.8629606683962906,0.2934426656951195,406,209,197,0.5147783251231527,0.7326732673267327,0.6907738095238095,0.40625,0.6190476190476191,0.6190476190476191,0.49056603773584906,0.3197804938887504,0.7625,0.8840579710144928,0.40625,0.33281573750519206,0.7476190476190476,0.6184047281579845,0.1306545045041754,101,21,80,0.2079207920792079
4,5,0.2820372259015174,0.12031492570899063,0.8399014778325123,0.8398300970873787,0.8391959798994975,0.835,0.835,0.8370927318295739,0.6797096875986115,0.8446601941747572,0.8405797101449275,0.8391959798994975,0.6797179396564972,0.8919417475728155,0.8811653945246762,0.28203722590151753,406,200,206,0.49261083743842365,0.8316831683168316,0.6830357142857143,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.5142857142857142,0.4173736002714624,0.9375,0.8620689655172413,0.6428571428571429,0.4299290892875508,0.7720238095238096,0.5907137198772876,0.12031492570899063,101,21,80,0.2079207920792079
5,5,0.2470033209825181,0.13790878776869633,0.8374384236453202,0.8385025176968547,0.8097560975609757,0.8601036269430051,0.8601036269430051,0.8341708542713567,0.6750345630502801,0.8169014084507042,0.8656716417910447,0.8097560975609757,0.6762159274861157,0.9064438444136322,0.896300810601906,0.2470033209825181,406,193,213,0.4753694581280788,0.7821782178217822,0.7044642857142858,0.48,0.5714285714285714,0.5714285714285714,0.5217391304347826,0.38209121245828703,0.8375,0.881578947368421,0.48,0.3845256329635452,0.775,0.6323226144347416,0.13790878776869633,101,21,80,0.2079207920792079
6,5,0.2238700625843162,0.17887222004062353,0.8374384236453202,0.8389139169609157,0.8048780487804879,0.8638743455497382,0.8638743455497382,0.8333333333333334,0.6750660878422623,0.813953488372093,0.8706467661691543,0.8048780487804879,0.676675344665196,0.9213929136734446,0.9126101079290266,0.22387006258431622,406,191,215,0.47044334975369456,0.8217821782178217,0.7294642857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.45892857142857146,0.8875,0.8875,0.5714285714285714,0.4589285714285714,0.7517857142857143,0.590182952200496,0.17887222004062348,101,21,80,0.2079207920792079
7,5,0.17295417963734563,0.14476792884898085,0.8842364532019704,0.8810544259101425,0.8589743589743589,0.9348837209302325,0.9348837209302325,0.8953229398663697,0.7663638367167029,0.8272251308900523,0.9186046511627907,0.8589743589743589,0.7698050705309603,0.9421161573115792,0.9383412232236421,0.17295417963734563,406,215,191,0.5295566502463054,0.7524752475247525,0.6857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.4897959183673469,0.3307712695467797,0.8,0.8767123287671232,0.42857142857142855,0.336735964620064,0.7886904761904762,0.6483437781073491,0.14476792884898085,101,21,80,0.2079207920792079
8,5,0.20293836973532936,0.14088073127957784,0.8719211822660099,0.8723300970873786,0.8490566037735849,0.9,0.9,0.8737864077669902,0.7440100882723834,0.8446601941747572,0.8969072164948454,0.8490566037735849,0.7453117221998008,0.9315533980582524,0.9190796835433869,0.20293836973532936,406,200,206,0.49261083743842365,0.7722772277227723,0.7157738095238095,0.4642857142857143,0.6190476190476191,0.6190476190476191,0.5306122448979592,0.3843095679830373,0.8125,0.8904109589041096,0.4642857142857143,0.3912397024832474,0.7773809523809524,0.6458804819888366,0.14088073127957784,101,21,80,0.2079207920792079
9,5,0.1046241383169611,0.1796181099988038,0.916256157635468,0.9112094395280237,0.9,0.9557522123893806,0.9557522123893806,0.927038626609442,0.8289806234203876,0.8666666666666667,0.9397590361445783,0.9,0.831043732413169,0.9747541789577188,0.9778500836730234,0.10462413831696109,406,226,180,0.5566502463054187,0.7722772277227723,0.7333333333333334,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.5490196078431373,0.4029812387561038,0.8,0.9014084507042254,0.4666666666666667,0.4144495000677601,0.8047619047619047,0.6905381613976695,0.1796181099988038,101,21,80,0.2079207920792079
10,5,0.14596811267791948,0.15093996679757785,0.8891625615763546,0.8853899982932241,0.864406779661017,0.9400921658986175,0.9400921658986175,0.9006622516556292,0.7758117161999656,0.8306878306878307,0.9235294117647059,0.864406779661017,0.7793108846522404,0.9588667008021847,0.9597262079339791,0.1459681126779195,406,217,189,0.5344827586206896,0.7920792079207921,0.7458333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.43784786641929496,0.825,0.9041095890410958,0.5,0.4457434403464309,0.819047619047619,0.6568526969836648,0.15093996679757787,101,21,80,0.2079207920792079
11,5,0.09404512775921146,0.2198141416149301,0.9310344827586207,0.9282592239884746,0.9134199134199135,0.9634703196347032,0.9634703196347032,0.9377777777777778,0.8605529795637987,0.893048128342246,0.9542857142857143,0.9134199134199135,0.8620938913733751,0.9806607574536663,0.983583713501651,0.09404512775921146,406,219,187,0.5394088669950738,0.8415841584158416,0.7595238095238095,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5190476190476191,0.9,0.9,0.6190476190476191,0.5190476190476191,0.8083333333333333,0.625032386417872,0.21981414161493004,101,21,80,0.2079207920792079
