epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.1075189089428696,0.08275048030241035,0.6518518518518519,0.6470207253886011,0.6437246963562753,0.75,0.75,0.6928104575163399,0.2964505279239099,0.5440414507772021,0.6645569620253164,0.6437246963562753,0.30107737556735314,0.701168247140483,0.7266839846169685,0.1075189089428696,405,212,193,0.5234567901234568,0.7058823529411765,0.7136363636363636,0.4,0.7272727272727273,0.7272727272727273,0.5161290322580645,0.32953549517966696,0.7,0.9032258064516129,0.4,0.35994460310171733,0.7426136363636364,0.4632782235601875,0.08275048030241035,102,22,80,0.21568627450980393
2,1,0.10641036365004934,0.08890916875584569,0.6790123456790124,0.6777135013236592,0.6526315789473685,0.6595744680851063,0.6595744680851063,0.656084656084656,0.3551745254133497,0.695852534562212,0.7023255813953488,0.6526315789473685,0.35519200380754007,0.7533826845769193,0.7417849773032918,0.10641036365004934,405,188,217,0.4641975308641975,0.7352941176470589,0.6829545454545455,0.41935483870967744,0.5909090909090909,0.5909090909090909,0.49056603773584906,0.3186541316180108,0.775,0.8732394366197183,0.41935483870967744,0.3272046840908355,0.7676136363636362,0.5013213970125682,0.08890916875584569,102,22,80,0.21568627450980393
3,1,0.09808428768334099,0.07578525087988322,0.7111111111111111,0.7120011737089202,0.6829268292682927,0.7291666666666666,0.7291666666666666,0.7052896725440806,0.4225918479254249,0.6948356807511737,0.74,0.6829268292682927,0.42346424689191914,0.8009829812206573,0.7941139350651649,0.09808428768334099,405,192,213,0.4740740740740741,0.5980392156862745,0.6778409090909091,0.32727272727272727,0.8181818181818182,0.8181818181818182,0.4675324675324675,0.2304011777695989,0.5375,0.9148936170212766,0.32727272727272727,0.29348622734454755,0.8079545454545454,0.5553026761275449,0.07578525087988322,102,22,80,0.21568627450980393
4,1,0.09689083666037682,0.06511896469872262,0.7308641975308642,0.7307211491322678,0.7025641025641025,0.7287234042553191,0.7287234042553191,0.7154046997389034,0.4602970841738493,0.7327188940092166,0.7571428571428571,0.7025641025641025,0.46057381169078837,0.8012795372095304,0.7694816878139664,0.09689083666037682,405,188,217,0.4641975308641975,0.7941176470588235,0.7204545454545455,0.52,0.5909090909090909,0.5909090909090909,0.5531914893617021,0.4201407688142935,0.85,0.8831168831168831,0.52,0.42158972765613156,0.8250000000000001,0.5690368551853914,0.06511896469872262,102,22,80,0.21568627450980393
5,1,0.10482181778271167,0.06343341126913561,0.7308641975308642,0.7309833024118739,0.7164179104477612,0.7346938775510204,0.7346938775510204,0.72544080604534,0.4616003805202883,0.7272727272727273,0.7450980392156863,0.7164179104477612,0.4617412222641925,0.8152035933990821,0.8107488154103797,0.10482181778271167,405,196,209,0.4839506172839506,0.8529411764705882,0.8403409090909091,0.6206896551724138,0.8181818181818182,0.8181818181818182,0.7058823529411765,0.6102903718797759,0.8625,0.9452054794520548,0.6206896551724138,0.6206404185487987,0.8420454545454547,0.5684401881084868,0.06343341126913561,102,22,80,0.21568627450980393
6,1,0.07371695032886501,0.08441423047380188,0.8,0.8007890750964968,0.775609756097561,0.8195876288659794,0.8195876288659794,0.7969924812030075,0.6002071781122418,0.7819905213270142,0.825,0.775609756097561,0.6010937581284934,0.878511750622954,0.8752229701129483,0.073716950328865,405,194,211,0.47901234567901235,0.696078431372549,0.7403409090909091,0.4,0.8181818181818182,0.8181818181818182,0.5373134328358209,0.3485784919653895,0.6625,0.9298245614035088,0.4,0.39817165878105804,0.8323863636363635,0.5402697238228296,0.08441423047380188,102,22,80,0.21568627450980393
7,1,0.11186897849035861,0.08388063353572538,0.7308641975308642,0.7313692783201687,0.696969696969697,0.7379679144385026,0.7379679144385026,0.7168831168831169,0.460811256458173,0.7247706422018348,0.7632850241545893,0.696969696969697,0.4614949678381698,0.8100868370701074,0.7886759669473993,0.11186897849035861,405,187,218,0.4617283950617284,0.7647058823529411,0.7840909090909092,0.47368421052631576,0.8181818181818182,0.8181818181818182,0.6,0.44964028776978415,0.75,0.9375,0.47368421052631576,0.483350175695114,0.8232954545454546,0.5279866695970632,0.08388063353572538,102,22,80,0.21568627450980393
8,1,0.07205121338729185,0.08190690997620702,0.8148148148148148,0.8144767668879344,0.8151658767772512,0.8269230769230769,0.8269230769230769,0.8210023866348448,0.6292068994982849,0.8020304568527918,0.8144329896907216,0.8151658767772512,0.6292761173970556,0.8858844201483796,0.9015795867470096,0.07205121338729185,405,208,197,0.5135802469135803,0.7549019607843137,0.7778409090909091,0.46153846153846156,0.8181818181818182,0.8181818181818182,0.5901639344262295,0.4340878828229028,0.7375,0.9365079365079365,0.46153846153846156,0.4703053754606109,0.8232954545454545,0.5269949930730395,0.08190690997620702,102,22,80,0.21568627450980393
9,1,0.08847214239867277,0.09121828303624976,0.8024691358024691,0.8026264017312611,0.7708333333333334,0.8043478260869565,0.8043478260869565,0.7872340425531915,0.6030579241399588,0.8009049773755657,0.8309859154929577,0.7708333333333334,0.6035335844257731,0.8787379500295103,0.8589195523646753,0.08847214239867277,405,184,221,0.454320987654321,0.6568627450980392,0.7318181818181818,0.37254901960784315,0.8636363636363636,0.8636363636363636,0.5205479452054794,0.3137254901960784,0.6,0.9411764705882353,0.37254901960784315,0.3813850356982369,0.8125,0.5046198252279004,0.09121828303624976,102,22,80,0.21568627450980393
10,1,0.09014987726083563,0.11310520174373767,0.7950617283950617,0.7953658536585366,0.7772511848341233,0.82,0.82,0.7980535279805353,0.5903357504113095,0.7707317073170732,0.8144329896907216,0.7772511848341233,0.5912077491115578,0.8743658536585366,0.8707820779739436,0.09014987726083563,405,200,205,0.49382716049382713,0.7941176470588235,0.6710227272727273,0.5263157894736842,0.45454545454545453,0.45454545454545453,0.4878048780487805,0.35983263598326365,0.8875,0.8554216867469879,0.5263157894736842,0.3613468812248619,0.8056818181818182,0.5081958240097256,0.11310520174373767,102,22,80,0.21568627450980393
