epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,2,0.1008840505214822,0.08675515894348934,0.562962962962963,0.5635425812115891,0.5512820512820513,0.6417910447761194,0.6417910447761194,0.593103448275862,0.12693193028609007,0.4852941176470588,0.5789473684210527,0.5512820512820513,0.12864768538627194,0.5994780996975905,0.6257087241681951,0.1008840505214822,405,201,204,0.4962962962962963,0.4215686274509804,0.5488636363636363,0.23943661971830985,0.7727272727272727,0.7727272727272727,0.3655913978494624,0.054071046840616144,0.325,0.8387096774193549,0.23943661971830985,0.08739007090624798,0.5988636363636364,0.3385860908052109,0.08675515894348934,102,22,80,0.21568627450980393
2,2,0.09032462851653152,0.1197008041895506,0.6419753086419753,0.6433160697708507,0.6150234741784038,0.6752577319587629,0.6752577319587629,0.6437346437346437,0.2855057123042669,0.6113744075829384,0.671875,0.6150234741784038,0.2867652759401065,0.6958762886597938,0.6786701369118896,0.09032462851653152,405,194,211,0.47901234567901235,0.7941176470588235,0.6051136363636364,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.2567661346287301,0.9375,0.8241758241758241,0.5454545454545454,0.27875864923723237,0.6147727272727272,0.4225433950365041,0.1197008041895506,102,22,80,0.21568627450980393
3,2,0.09450032228422868,0.07911584793142609,0.6444444444444445,0.6447445828022356,0.61,0.648936170212766,0.648936170212766,0.6288659793814433,0.2882597022211374,0.6405529953917051,0.6780487804878049,0.61,0.28876807496120493,0.6879596038827336,0.7020424820369127,0.09450032228422868,405,188,217,0.4641975308641975,0.7352941176470589,0.5840909090909091,0.3684210526315789,0.3181818181818182,0.3181818181818182,0.34146341463414637,0.17692767483562466,0.85,0.8192771084337349,0.3684210526315789,0.17767222066870286,0.6528409090909091,0.4336388967469366,0.07911584793142609,102,22,80,0.21568627450980393
4,2,0.09131466451149152,0.08432483565154732,0.6567901234567901,0.656845732720696,0.635,0.6580310880829016,0.6580310880829016,0.6463104325699746,0.31318245592631,0.6556603773584906,0.6780487804878049,0.635,0.3133699582057287,0.7012904487242155,0.6985010779662926,0.09131466451149152,405,193,212,0.4765432098765432,0.6862745098039216,0.61875,0.34375,0.5,0.5,0.4074074074074074,0.2039024390243902,0.7375,0.8428571428571429,0.34375,0.2105212493516306,0.6727272727272726,0.4423385743078823,0.08432483565154732,102,22,80,0.21568627450980393
5,2,0.08556952090128353,0.08633750286382708,0.691358024691358,0.6882393195815818,0.6866952789699571,0.7547169811320755,0.7547169811320755,0.7191011235955056,0.37832328417226435,0.6217616580310881,0.6976744186046512,0.6866952789699571,0.3804037074982909,0.7511242545703392,0.7777538191080364,0.08556952090128353,405,212,193,0.5234567901234568,0.5490196078431373,0.5806818181818182,0.2692307692307692,0.6363636363636364,0.6363636363636364,0.3783783783783784,0.10798479087452462,0.525,0.84,0.2692307692307692,0.13276247258120094,0.6823863636363636,0.4534466904525745,0.08633750286382708,102,22,80,0.21568627450980393
6,2,0.078914690629204,0.0969496411500372,0.691358024691358,0.6866874356081047,0.6995708154506438,0.7477064220183486,0.7477064220183486,0.7228381374722838,0.3755165480405097,0.6256684491978609,0.6802325581395349,0.6995708154506438,0.37657540506745113,0.7559731148506108,0.7904294633546226,0.078914690629204,405,218,187,0.5382716049382716,0.46078431372549017,0.5573863636363636,0.24615384615384617,0.7272727272727273,0.7272727272727273,0.367816091954023,0.06717658796142323,0.3875,0.8378378378378378,0.24615384615384617,0.09818327067252669,0.6005681818181818,0.4013825568591918,0.0969496411500372,102,22,80,0.21568627450980393
7,2,0.0678322991922273,0.0930711978724806,0.7333333333333333,0.7325609756097562,0.7117903930131004,0.7951219512195122,0.7951219512195122,0.7511520737327189,0.4658036150464093,0.67,0.7613636363636364,0.7117903930131004,0.46912080040335263,0.8336585365853658,0.8396628936276962,0.0678322991922273,405,205,200,0.5061728395061729,0.5980392156862745,0.5954545454545455,0.28888888888888886,0.5909090909090909,0.5909090909090909,0.3880597014925373,0.13844252163164406,0.6,0.8421052631578947,0.28888888888888886,0.1581390985229734,0.678409090909091,0.4690895624882132,0.0930711978724806,102,22,80,0.21568627450980393
8,2,0.08199211757006072,0.09356699779235379,0.7703703703703704,0.7702590623018002,0.7729468599033816,0.7766990291262136,0.7766990291262136,0.774818401937046,0.5405642770885937,0.7638190954773869,0.7676767676767676,0.7729468599033816,0.5405708735180038,0.8420012684783138,0.8612287914141521,0.08199211757006072,405,206,199,0.508641975308642,0.7352941176470589,0.6005681818181818,0.38095238095238093,0.36363636363636365,0.36363636363636365,0.37209302325581395,0.20450606585788556,0.8375,0.8271604938271605,0.38095238095238093,0.2045948847333844,0.6556818181818183,0.4602888448506248,0.09356699779235379,102,22,80,0.21568627450980393
9,2,0.07819897062610322,0.11243711688262589,0.7777777777777778,0.7772288098375055,0.772093023255814,0.8019323671497585,0.8019323671497585,0.7867298578199052,0.554945054945055,0.7525252525252525,0.7842105263157895,0.772093023255814,0.555379817703372,0.8488264285365735,0.8620225868471328,0.07819897062610322,405,207,198,0.5111111111111111,0.5882352941176471,0.6056818181818182,0.2916666666666667,0.6363636363636364,0.6363636363636364,0.4,0.14797136038186165,0.575,0.8518518518518519,0.2916666666666667,0.17416829780300422,0.6823863636363637,0.49248170627704857,0.11243711688262589,102,22,80,0.21568627450980393
10,2,0.07672165707667344,0.08700936277722683,0.7506172839506173,0.7503292361720808,0.7351598173515982,0.7892156862745098,0.7892156862745098,0.7612293144208038,0.5009333479740858,0.7114427860696517,0.7688172043010753,0.7351598173515982,0.5023150065020832,0.8305531167690956,0.8393655251141435,0.07672165707667344,405,204,201,0.5037037037037037,0.6764705882352942,0.6125,0.3333333333333333,0.5,0.5,0.4,0.19047619047619047,0.725,0.8405797101449275,0.3333333333333333,0.1978141420187361,0.6772727272727272,0.49373062003328183,0.08700936277722683,102,22,80,0.21568627450980393
