epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,4,0.30113473647759237,0.05867231871059738,0.7118226600985221,0.7099161502005104,0.7079646017699115,0.7582938388625592,0.7582938388625592,0.7322654462242563,0.4210603290676417,0.6615384615384615,0.7166666666666667,0.7079646017699115,0.42222496639816554,0.7911046299671891,0.7868006427222309,0.30113473647759237,406,211,195,0.5197044334975369,0.7722772277227723,0.7508928571428571,0.46875,0.7142857142857143,0.7142857142857143,0.5660377358490566,0.4205537540533799,0.7875,0.9130434782608695,0.46875,0.43769682795144604,0.8660714285714286,0.6848451250249488,0.05867231871059738,101,21,80,0.2079207920792079
2,4,0.27374736223905716,0.05677674276984191,0.7931034482758621,0.793254596371606,0.7715736040609137,0.7958115183246073,0.7958115183246073,0.7835051546391752,0.5854826555169312,0.7906976744186046,0.8133971291866029,0.7715736040609137,0.5857394578952367,0.8522342627541702,0.8203414236180564,0.27374736223905716,406,191,215,0.47044334975369456,0.7623762376237624,0.7622023809523809,0.45714285714285713,0.7619047619047619,0.7619047619047619,0.5714285714285714,0.4209268991877687,0.7625,0.9242424242424242,0.45714285714285713,0.44721388359355424,0.8559523809523809,0.664151384994589,0.05677674276984191,101,21,80,0.2079207920792079
3,4,0.24612793233632496,0.06334268848249239,0.8325123152709359,0.8318036130536131,0.8211009174311926,0.8605769230769231,0.8605769230769231,0.8403755868544601,0.6644138668741187,0.803030303030303,0.8457446808510638,0.8211009174311926,0.6652244416119283,0.8814831002331003,0.841126325912106,0.24612793233632496,406,208,198,0.5123152709359606,0.8514851485148515,0.7833333333333333,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6511627906976745,0.5568879789412109,0.9,0.9113924050632911,0.6363636363636364,0.5571311247291122,0.8869047619047619,0.7516452675342515,0.06334268848249239,101,21,80,0.2079207920792079
4,4,0.1468976166714841,0.10218901496805653,0.8793103448275862,0.8794685111030215,0.8653846153846154,0.8955223880597015,0.8955223880597015,0.8801955990220048,0.7586792498605012,0.8634146341463415,0.8939393939393939,0.8653846153846154,0.7591304911053943,0.9511467054969057,0.9574666977867508,0.1468976166714841,406,201,205,0.49507389162561577,0.8316831683168316,0.805952380952381,0.5714285714285714,0.7619047619047619,0.7619047619047619,0.6530612244897959,0.5449244632918102,0.85,0.9315068493150684,0.5714285714285714,0.5547509160727977,0.8595238095238095,0.7290223543580721,0.10218901496805653,101,21,80,0.2079207920792079
5,4,0.16314831985605907,0.09465690922998751,0.8866995073891626,0.8841099163679809,0.8733624454148472,0.9216589861751152,0.9216589861751152,0.8968609865470852,0.7713796058269066,0.8465608465608465,0.903954802259887,0.8733624454148472,0.7727551526786881,0.9410674664130886,0.9360052680939245,0.16314831985605907,406,217,189,0.5344827586206896,0.8316831683168316,0.7708333333333333,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6222222222222222,0.5145603618886061,0.875,0.9090909090909091,0.5833333333333334,0.5164589025080292,0.8267857142857142,0.7109410773172011,0.09465690922998751,101,21,80,0.2079207920792079
6,4,0.13303451440585592,0.13759512682316533,0.9039408866995073,0.9045126660675685,0.883495145631068,0.9238578680203046,0.9238578680203046,0.9032258064516129,0.8079656535765396,0.8851674641148325,0.925,0.883495145631068,0.8087601954373255,0.953658951254463,0.9395783845851758,0.13303451440585592,406,197,209,0.4852216748768473,0.8415841584158416,0.7770833333333333,0.6086956521739131,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.5353651523864289,0.8875,0.9102564102564102,0.6086956521739131,0.5362703931756854,0.8464285714285714,0.704818148351374,0.1375951268231653,101,21,80,0.2079207920792079
7,4,0.11842929836494837,0.10073190063442951,0.8891625615763546,0.8904761904761904,0.8544600938967136,0.9285714285714286,0.9285714285714286,0.8899755501222494,0.7787010344242835,0.8523809523809524,0.927461139896373,0.8544600938967136,0.7814366572204905,0.9651603498542274,0.9619774946076335,0.11842929836494835,406,196,210,0.4827586206896552,0.801980198019802,0.7872023809523809,0.5161290322580645,0.7619047619047619,0.7619047619047619,0.6153846153846154,0.4886075949367089,0.8125,0.9285714285714286,0.5161290322580645,0.5054088071271641,0.8511904761904762,0.7050218697231312,0.10073190063442951,101,21,80,0.2079207920792079
8,4,0.08622989717634262,0.10143834053406006,0.9285714285714286,0.9290058138120606,0.9141414141414141,0.9378238341968912,0.9378238341968912,0.9258312020460358,0.856969314123278,0.92018779342723,0.9423076923076923,0.9141414141414141,0.8572300110248253,0.9775474956822107,0.9730098451946275,0.08622989717634262,406,193,213,0.4753694581280788,0.7623762376237624,0.7797619047619048,0.4594594594594595,0.8095238095238095,0.8095238095238095,0.5862068965517241,0.4368029739776952,0.75,0.9375,0.4594594594594595,0.47128363963039177,0.8494047619047619,0.6778715918917175,0.10143834053406006,101,21,80,0.2079207920792079
9,4,0.09094958755351222,0.1663349417737894,0.9433497536945813,0.9437378640776699,0.919431279620853,0.97,0.97,0.9440389294403893,0.8867654548541217,0.9174757281553398,0.9692307692307692,0.919431279620853,0.8880686904111695,0.9730339805825242,0.9663023672630551,0.09094958755351222,406,200,206,0.49261083743842365,0.8316831683168316,0.7181547619047619,0.6111111111111112,0.5238095238095238,0.5238095238095238,0.5641025641025641,0.46057178762174045,0.9125,0.8795180722891566,0.6111111111111112,0.4626728708022833,0.8178571428571428,0.6681383077702401,0.16633494177378935,101,21,80,0.2079207920792079
10,4,0.04178891984300977,0.11422682704583795,0.9630541871921182,0.963113958454669,0.9516908212560387,0.9752475247524752,0.9752475247524752,0.9633251833740831,0.9261155460655618,0.9509803921568627,0.9748743718592965,0.9516908212560387,0.9263965396631808,0.9927926616191032,0.9917295058702699,0.04178891984300976,406,202,204,0.4975369458128079,0.8118811881188119,0.7758928571428572,0.5357142857142857,0.7142857142857143,0.7142857142857143,0.6122448979591837,0.49138616485555253,0.8375,0.9178082191780822,0.5357142857142857,0.5002471782096143,0.8571428571428571,0.7239874099595256,0.11422682704583795,101,21,80,0.2079207920792079
