epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,2,0.06607749861633451,0.04758039220377766,0.671604938271605,0.662405904780526,0.6385964912280702,0.8584905660377359,0.8584905660377359,0.7323943661971831,0.3304120827894834,0.46632124352331605,0.75,0.6385964912280702,0.35527556840411206,0.7762000195522534,0.7954132845644035,0.06607749861633451,405,212,193,0.5234567901234568,0.7156862745098039,0.81875,0.43137254901960786,1.0,1.0,0.6027397260273972,0.43137254901960786,0.6375,1.0,0.43137254901960786,0.5244044240850757,0.9232954545454545,0.800034517543674,0.04758039220377766,102,22,80,0.21568627450980393
2,2,0.05453401093943094,0.04760389384108409,0.817283950617284,0.8182317073170732,0.771551724137931,0.895,0.895,0.8287037037037037,0.6352239532619279,0.7414634146341463,0.8786127167630058,0.771551724137931,0.6432774519050943,0.8941463414634147,0.8621313299732752,0.05453401093943094,405,200,205,0.49382716049382713,0.8235294117647058,0.8710227272727273,0.5526315789473685,0.9545454545454546,0.9545454545454546,0.7,0.5872302158273381,0.7875,0.984375,0.5526315789473685,0.6312553294578189,0.9056818181818183,0.7607429544535835,0.04760389384108409,102,22,80,0.21568627450980393
3,2,0.04217313211623341,0.05201699682837381,0.8395061728395061,0.8405487804878049,0.7872340425531915,0.925,0.925,0.8505747126436781,0.6796470946151506,0.7560975609756098,0.9117647058823529,0.7872340425531915,0.6899901033235573,0.9262682926829269,0.9201096444320438,0.04217313211623341,405,200,205,0.49382716049382713,0.7941176470588235,0.7698863636363636,0.5161290322580645,0.7272727272727273,0.7272727272727273,0.6037735849056604,0.47006432459178626,0.8125,0.9154929577464789,0.5161290322580645,0.4826777172147418,0.8693181818181819,0.7078840684224714,0.05201699682837381,102,22,80,0.21568627450980393
4,2,0.04057943270364814,0.04050484167896238,0.891358024691358,0.8920121951219512,0.8513513513513513,0.945,0.945,0.8957345971563981,0.782974059188893,0.8390243902439024,0.9398907103825137,0.8513513513513513,0.7876249583311983,0.9450243902439024,0.9243368980134261,0.04057943270364814,405,200,205,0.49382716049382713,0.8137254901960784,0.8153409090909092,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.6545454545454545,0.5339105339105339,0.8125,0.9420289855072463,0.5454545454545454,0.5544790344464572,0.9164772727272728,0.8039373893771784,0.04050484167896238,102,22,80,0.21568627450980393
5,2,0.025357478257550824,0.058105519440883366,0.908641975308642,0.9085011949470809,0.8672566371681416,0.9655172413793104,0.9655172413793104,0.9137529137529138,0.817231579846077,0.8514851485148515,0.9608938547486033,0.8672566371681416,0.8225575548786883,0.9646880944252061,0.9448996289567737,0.025357478257550824,405,203,202,0.5012345679012346,0.8431372549019608,0.8176136363636364,0.6071428571428571,0.7727272727272727,0.7727272727272727,0.68,0.578076525336091,0.8625,0.9324324324324325,0.6071428571428571,0.5854510565606142,0.9045454545454545,0.8032399072369669,0.058105519440883366,102,22,80,0.21568627450980393
6,2,0.021748131531986924,0.06314741352432081,0.9407407407407408,0.941280487804878,0.9036697247706422,0.985,0.985,0.9425837320574163,0.8815933731270557,0.8975609756097561,0.983957219251337,0.9036697247706422,0.8850903353294195,0.9714878048780489,0.9575686376370687,0.021748131531986924,405,200,205,0.49382716049382713,0.8333333333333334,0.7948863636363637,0.5925925925925926,0.7272727272727273,0.7272727272727273,0.6530612244897959,0.5448818897637795,0.8625,0.92,0.5925925925925926,0.5498300931316249,0.8954545454545454,0.7679146724336197,0.06314741352432081,102,22,80,0.21568627450980393
7,2,0.02751876907695202,0.08745367325725091,0.9135802469135802,0.9120779791860067,0.8928571428571429,0.9478672985781991,0.9478672985781991,0.9195402298850575,0.826386762526486,0.8762886597938144,0.9392265193370166,0.8928571428571429,0.8281103236050872,0.9767430497874627,0.9759983840913039,0.02751876907695202,405,211,194,0.5209876543209877,0.803921568627451,0.7926136363636364,0.53125,0.7727272727272727,0.7727272727272727,0.6296296296296297,0.5024390243902439,0.8125,0.9285714285714286,0.53125,0.5187485330913385,0.8704545454545455,0.6426508699539837,0.08745367325725091,102,22,80,0.21568627450980393
8,2,0.008615157620718268,0.08132690347555199,0.9728395061728395,0.9726181179226865,0.966824644549763,0.9807692307692307,0.9807692307692307,0.9737470167064439,0.9456170119264151,0.9644670050761421,0.979381443298969,0.966824644549763,0.9457210375222239,0.9952655212807497,0.994540081424624,0.008615157620718268,405,208,197,0.5135802469135803,0.8431372549019608,0.7846590909090909,0.625,0.6818181818181818,0.6818181818181818,0.6521739130434783,0.5511551155115512,0.8875,0.9102564102564102,0.625,0.5520246428319177,0.90625,0.7415886174564852,0.081326903475552,102,22,80,0.21568627450980393
9,2,0.017909845780273798,0.08914695739250357,0.9530864197530864,0.9543720657276995,0.9261083743842364,0.9791666666666666,0.9791666666666666,0.9518987341772152,0.906184850590688,0.9295774647887324,0.9801980198019802,0.9261083743842364,0.9075244443083766,0.9843260954616588,0.9769695699514783,0.017909845780273798,405,192,213,0.4740740740740741,0.8333333333333334,0.7619318181818182,0.6086956521739131,0.6363636363636364,0.6363636363636364,0.6222222222222222,0.5153717160424818,0.8875,0.8987341772151899,0.6086956521739131,0.5155812599611773,0.8789772727272728,0.6761864827283317,0.08914695739250358,102,22,80,0.21568627450980393
10,2,0.01122869460365931,0.09678446098400545,0.9654320987654321,0.9650039047247169,0.9532710280373832,0.9807692307692307,0.9807692307692307,0.966824644549763,0.9307573944263977,0.949238578680203,0.9790575916230366,0.9532710280373832,0.9311674915166451,0.9934107770402186,0.9932462887517491,0.01122869460365931,405,208,197,0.5135802469135803,0.8725490196078431,0.803409090909091,0.7142857142857143,0.6818181818181818,0.6818181818181818,0.6976744186046512,0.6169844020797226,0.925,0.9135802469135802,0.7142857142857143,0.6172523641108886,0.9005681818181818,0.7133570951547838,0.09678446098400546,102,22,80,0.21568627450980393
