Foundation_Model,MIL_Architecture,MIL_Description,AUROC_mean,AUROC_std,AUC_PR_mean,AUC_PR_std,F1_Score_mean,F1_Score_std,Accuracy_mean,Accuracy_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,MCC_mean,MCC_std
h-optimus,attention,Attention-based aggregation,0.8681872294372294,0.037621880793387893,0.6528203489592729,0.08372908366144839,0.597974567437982,0.066791622125347,0.806542418947777,0.056654104096187465,0.7576136363636364,0.04820763080769402,0.6727272727272727,0.14350763615014595,0.8425,0.09572094859538324,0.49557471247343726,0.09254249258657797
h-optimus,acmil,Attention-Challenging Multiple Instance Learning,0.8656764069264069,0.04020229050490838,0.6636433991258344,0.1091179064259197,0.6054679170958239,0.0967463516168384,0.8322849932052028,0.03674099140790713,0.7558712121212121,0.07271611719676926,0.6242424242424243,0.14857127720756375,0.8875,0.03446012188022554,0.5049843881265558,0.1202763953730634
uni2-h,acmil,Attention-Challenging Multiple Instance Learning,0.8645075757575758,0.05266870378746237,0.6491546289629543,0.13493169482573153,0.6093385684083359,0.06569374218052049,0.8362648029508832,0.026363383974171234,0.7524296536796535,0.043587900485992905,0.6073593073593073,0.07626423033912977,0.8975,0.01837117307087381,0.5065115369617919,0.08190433110379004
virchow2,acmil,Attention-Challenging Multiple Instance Learning,0.8638257575757576,0.04831609324128672,0.6615756252579426,0.11240513822800487,0.5743186582809223,0.10102575105386125,0.804872840225199,0.07770000626957849,0.7287012987012986,0.054193190460606944,0.5974025974025974,0.11674675386877122,0.86,0.11219402836158437,0.46887414077005685,0.13832430457506206
h-optimus,clam,Clustering-constrained Attention MIL,0.8624242424242423,0.02863281010663163,0.6592978493086366,0.1031126395230357,0.5889102310647978,0.0507915965332574,0.8107551931663755,0.05323161032238417,0.7500108225108225,0.04645370867157058,0.645021645021645,0.15945786227839084,0.8550000000000001,0.09924716620639605,0.49949948748279616,0.06510799936091395
h-optimus,acmil_clam,ACMIL with CLAM-style gated attention,0.8596482683982684,0.02899908688171086,0.6806298287204059,0.09243850177740247,0.5956698003637718,0.10242349085834934,0.8265191225004853,0.05106695584014872,0.7426677489177489,0.06176176372471252,0.5978354978354978,0.10242830421589787,0.8875,0.054198708471696985,0.4894287422621996,0.13301141371552952
uni2-h,clam,Clustering-constrained Attention MIL,0.858982683982684,0.048108912234882256,0.636249042940636,0.09358803669561237,0.5652736529318227,0.04375035746013131,0.804639875752281,0.028118097730818675,0.7328625541125542,0.03722327276433313,0.6082251082251082,0.11880731354399605,0.8574999999999999,0.05947688626685161,0.45129110081696444,0.052278998791063645
uni2-h,acmil_clam,ACMIL with CLAM-style gated attention,0.8575757575757574,0.04181911169231374,0.6650148159624438,0.07775713195714815,0.5675325827989947,0.0527356315128652,0.808561444379732,0.04036353674667159,0.7281222943722943,0.031678113120336956,0.5887445887445887,0.06009369071042078,0.8675,0.05623610939600999,0.45077531702252305,0.07254049066074748
virchow2,acmil_clam,ACMIL with CLAM-style gated attention,0.8551298701298702,0.04035996592745693,0.6475791781122155,0.07829698805464302,0.6039418576003942,0.05286940736355738,0.8383226557949912,0.02167021841579651,0.746439393939394,0.03741451952321571,0.5878787878787879,0.08360247760743421,0.905,0.02806243040080456,0.5062428210499601,0.06343254142570763
virchow2,clam,Clustering-constrained Attention MIL,0.8548538961038961,0.03583093569598006,0.6321240517726349,0.07684241499315968,0.5820741976664016,0.028203415741926974,0.8126965637740244,0.01678197831351217,0.7438041125541125,0.03227737876623684,0.6251082251082251,0.1081592873436728,0.8625,0.04677071733467425,0.4700348186850231,0.0317325828616404
virchow2,mean,Simple mean pooling aggregation,0.8514231601731602,0.030818634539076625,0.6370237834748881,0.08086983678789847,0.575338938196081,0.06902534192642878,0.8086973403222675,0.036626795394081854,0.7384415584415583,0.046584929929926404,0.6168831168831169,0.1053470118996013,0.86,0.052081666639999136,0.4600412793605792,0.08279818078911311
h-optimus,mean,Simple mean pooling aggregation,0.8477813852813852,0.04089891490859066,0.6229501012044916,0.08576838078921149,0.5343892339544514,0.10629122938407108,0.7771500679479711,0.05743243656551127,0.716926406926407,0.06972333743719616,0.6138528138528138,0.1717725788840239,0.82,0.09034655499796325,0.40746422262455695,0.12947109990428832
uni2-h,mean,Simple mean pooling aggregation,0.8459145021645023,0.04778172233461058,0.624328171931503,0.09866064864687846,0.5931636922536326,0.08199770321587908,0.7890506697728595,0.06491112486882962,0.7591125541125542,0.05254235769410116,0.7082251082251082,0.09627923632649685,0.8099999999999999,0.0878208403512515,0.47485051080531376,0.11187503673267733
virchow2,attention,Attention-based aggregation,0.8417099567099567,0.04691354532035729,0.6382381021547708,0.09907993306950491,0.5559420289855073,0.06051356865103254,0.7828382838283827,0.05761791729977999,0.7327272727272727,0.04915450681176064,0.6454545454545454,0.1702922679745738,0.8200000000000001,0.10741275529470416,0.44279522608768396,0.08051213863711633
uni2-h,attention,Attention-based aggregation,0.8391991341991343,0.05194133648422705,0.6421249337949156,0.08749373454969969,0.5976717400246812,0.055332088948929534,0.7927781013395456,0.03760186800379943,0.7736634199134199,0.053805330793889924,0.7398268398268397,0.16017550015840762,0.8074999999999999,0.07607562027351471,0.49306902911656564,0.07334217056298811
virchow2,max,Max pooling aggregation,0.7898809523809524,0.03690267113321949,0.5114146940036903,0.04456963893270326,0.3888420003883922,0.15349778634411887,0.7216074548631333,0.13377555078114067,0.6357900432900433,0.06009368681228297,0.48658008658008656,0.3082129478607079,0.7849999999999999,0.24269322199023194,0.302955682260564,0.0659165879370013
resnet18,acmil_clam,ACMIL with CLAM-style gated attention,0.7629274891774891,0.03201449986034565,0.5117433196284402,0.02497163004679834,0.4796371023715572,0.06650448439917243,0.6396427878081925,0.19830268411465754,0.0,0.0,0.718181818181818,0.15602682896655423,0.6174999999999999,0.29139749484166816,0.30436229918153657,0.11627783508321494
h-optimus,max,Max pooling aggregation,0.7628841991341992,0.04804184476094857,0.4897386723597797,0.06546581879587937,0.45172395701613716,0.06812967418026114,0.5958260531935546,0.1913523675955014,0.6473647186147187,0.07108059094111464,0.7372294372294371,0.20319407456218447,0.5574999999999999,0.28935272592460576,0.2770760338905628,0.10784304449505376
resnet18,acmil,Attention-Challenging Multiple Instance Learning,0.7564015151515152,0.05303468044482895,0.505719454685982,0.03761451603681136,0.44822227407465015,0.03383543554427287,0.7164045816346339,0.11612443590857421,0.0,0.0,0.538961038961039,0.19425608033833017,0.7625,0.19795832894829155,0.30058088866014243,0.048887836452057125
resnet18,attention,Attention-based aggregation,0.7442261904761904,0.053952945347319384,0.5247754582797883,0.07868069199754907,0.45879976232917413,0.0815791529856129,0.7258978839060377,0.04787903268576942,0.0,0.0,0.5623376623376622,0.15517170941552053,0.77,0.06828250141873832,0.29771044470954383,0.108844071315617
resnet50,clam,Clustering-constrained Attention MIL,0.7393885281385282,0.03395489426778991,0.4708154701780634,0.044492152525532534,0.49055448521975215,0.08004025187658192,0.6631916132789749,0.16015263139325972,0.0,0.0,0.7194805194805195,0.13881598881396273,0.6475000000000001,0.2251943604977709,0.3189462118401158,0.14317428363852214
resnet50,mean,Simple mean pooling aggregation,0.7386634199134199,0.03957082777011495,0.4865500686753994,0.04121769932916589,0.45925605918865803,0.06983601674348451,0.6804115705688215,0.051799631490282126,0.0,0.0,0.661904761904762,0.17060012336283664,0.6849999999999999,0.0953283798246881,0.29444819980742126,0.0832924256329826
resnet50,acmil_clam,ACMIL with CLAM-style gated attention,0.735254329004329,0.03555880823597172,0.500239427608991,0.05112499299540806,0.46019881744271984,0.0634484148797484,0.7216268685692098,0.09101294488798173,0.0,0.0,0.5722943722943723,0.1883271128678168,0.7625,0.15909902576697318,0.31761654872285006,0.05705746649110348
resnet18,clam,Clustering-constrained Attention MIL,0.733306277056277,0.04337889960847226,0.4906968949429662,0.03899835769154317,0.46079252600035253,0.05273691063552978,0.7198408076101729,0.04985568236310825,0.0,0.0,0.5727272727272726,0.12286748444068663,0.76,0.08455767262643879,0.29988978079329226,0.06693591297450656
resnet50,acmil,Attention-Challenging Multiple Instance Learning,0.7327218614718614,0.036884863432419236,0.479414128465841,0.043097464641143904,0.44637724254138167,0.059695407778440374,0.7121529800038827,0.0350411532875488,0.0,0.0,0.577056277056277,0.18645700583768715,0.7474999999999999,0.0926687649642532,0.2883372102427094,0.05753185628333755
resnet50,attention,Attention-based aggregation,0.7286634199134199,0.04047509663545023,0.5012975993853377,0.05056451992008347,0.4503031731115644,0.06977584191359211,0.739623374102116,0.03303038846318098,0.0,0.0,0.525974025974026,0.17912873810301222,0.7975,0.07802243267163618,0.2999935627723652,0.08684155118558883
resnet18,mean,Simple mean pooling aggregation,0.723538961038961,0.037097204730385254,0.4891367842137762,0.04074778134728768,0.4305031449659178,0.09082098869994933,0.6265191225004854,0.1541993241386019,0.0,0.0,0.6683982683982684,0.2525757937466285,0.6174999999999999,0.25082364322368017,0.2771458730381259,0.12010637071030049
uni2-h,max,Max pooling aggregation,0.7191179653679654,0.036331362262482715,0.45623669792683597,0.053991543719637825,0.4549556760210697,0.03167161737061498,0.698291593865269,0.0948221211575972,0.6581222943722944,0.02889808694169933,0.5887445887445887,0.16213262665068673,0.7275,0.15956973397232949,0.304501482235273,0.07701669097140466
resnet18,max,Max pooling aggregation,0.71120670995671,0.06328998962161868,0.45500623317218614,0.08833567054044787,0.35216543313317505,0.15422523989573864,0.5564356435643564,0.2495160015009889,0.0,0.0,0.609090909090909,0.3325667240198593,0.5425000000000001,0.39706737463559005,0.166532570900125,0.17143079636871145
resnet50,max,Max pooling aggregation,0.6962878787878788,0.043515196411537185,0.4426578515377987,0.062481824860056795,0.34479142002227914,0.0554882258373304,0.6121141525917297,0.1910980443715268,0.0,0.0,0.5008658008658008,0.2542625868880862,0.6399999999999999,0.306940547989346,0.1375255340826923,0.10098096262173026
