epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,62.992989763468856,31.139715581395418,334.7355041503906,18.295778314966288,14.941922187805176,-1.4326481819152832,-0.0456922870606511,0.3596477689033746,0.4841587281559523,0.5123762376237624,0.0,0.0,0.0,1.0,0.4878000931852179,0.47583004504190846,14.645378112792969,16.722154844591184,11.173159,6.4034934,23.48515,11.730357,-0.23068765,22.671562,62.992989763468856,404,197,0,138.7825469970703,11.78060045146555,8.394402503967285,-0.01944100856781006,-0.072396009585643,0.4673933894042157,0.46906305244549207,0.7669902912621359,0.0,0.0,0.0,1.0,0.4404008438818565,0.21831724612904263,4.144443035125732,5.17086938952535,19.999924,1.420541,19.0,11.66773,17.231674,20.937464,31.139715581395418,103,24,0
2,39.12985568261293,35.36295135973419,164.211181640625,12.814491080047814,10.094182968139648,-0.06204044818878174,-0.04935552634145147,0.3223876643310585,0.48386038412033416,0.5272277227722773,0.5454545454545454,0.03125,0.059113300492610835,0.9764150943396226,0.4736635220125786,0.4668401868599218,5.7277960777282715,6.86949547704421,21.896973,1.9503722,23.98515,12.434572,16.185007,26.254395,39.12985568261293,404,192,11,146.88674926757812,12.119684371615381,9.358778953552246,-0.078971266746521,-0.16186452739184687,0.1023663731318843,0.43979571793360833,0.7669902912621359,0.0,0.0,0.0,1.0,0.47573839662447254,0.28628131989514244,4.43291711807251,5.0207723189111775,22.278065,0.60498303,19.0,11.66773,20.448431,23.502699,35.36295135973419,103,24,0
3,35.76452924007329,39.90292599974472,143.1269989013672,11.963569655473536,9.41265869140625,-0.03056204319000244,0.029802541692310752,0.5503069001665759,0.5097421493458842,0.5123762376237624,0.5865384615384616,0.2837209302325581,0.3824451410658307,0.7724867724867724,0.507370493417005,0.5575283330284511,5.164364337921143,6.026366475373682,23.699411,2.230545,24.465347,11.784841,11.01301,29.169735,35.76452924007329,404,215,104,164.22483825683594,12.815023927283006,10.274166107177734,-0.20632994174957275,-0.15548294914198493,0.11681691559395997,0.44215281869966605,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.46835443037974683,0.2842700344585086,4.966958999633789,5.706138504459918,24.095266,1.5353041,19.0,11.66773,21.344471,27.216648,39.90292599974472,103,24,26
4,35.490621956993664,38.315175300518284,139.06979370117188,11.792785663327043,9.317575454711914,-0.005641579627990723,0.11577794080645365,0.019926434383626734,0.5388398486759143,0.5495049504950495,0.5714285714285714,0.3417085427135678,0.4276729559748428,0.751219512195122,0.5591861747763206,0.5755806935581529,4.976857662200928,5.921387987065142,23.957863,2.5306613,23.950495,11.759661,17.399843,30.372736,35.490621956993664,404,199,119,160.29579162597656,12.660797432467536,9.931595802307129,-0.17746877670288086,-0.15281708742692635,0.12330152310442939,0.44195639363582795,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.4725738396624473,0.3151210688046163,4.8130717277526855,5.664879386136359,23.205622,2.599532,19.0,11.66773,20.022297,28.21352,38.315175300518284,103,24,26
5,34.838615747554215,37.48213803733798,134.78184509277344,11.609558350461633,9.240965843200684,0.0050272345542907715,0.12086513840986512,0.015067640032976773,0.5420306367894671,0.5495049504950495,0.6190476190476191,0.3140096618357488,0.4166666666666667,0.7969543147208121,0.5624218347678952,0.5851915628958653,5.044898509979248,5.875059736232209,23.76359,2.8530996,24.002476,11.63885,17.640814,32.029076,34.838615747554215,404,207,105,156.14454650878906,12.49578114840321,9.763243675231934,-0.14697539806365967,-0.133243616154094,0.17967290898093108,0.4515812217638971,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.48470464135021096,0.3151334129034465,4.702834129333496,5.486017312751624,22.91822,2.273897,19.0,11.66773,19.768478,27.502611,37.48213803733798,103,24,26
6,35.345312298300094,38.66754558755004,147.30604553222656,12.136970195737755,9.285785675048828,-0.0031328201293945312,0.13661613502042863,0.005953192762965784,0.545084771535011,0.551980198019802,0.6320754716981132,0.32057416267942584,0.4253968253968254,0.8,0.5535517114464483,0.59179946681925,4.619596004486084,5.525482964443601,23.863716,2.9505892,24.633663,12.118003,17.093391,31.557262,35.345312298300094,404,209,106,161.04312133789062,12.690276645443575,10.010436058044434,-0.18295836448669434,-0.11811141553232837,0.2347408053635638,0.4557061481044981,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.49103375527426163,0.3224655129261085,4.833902835845947,5.643799118554857,23.442387,2.3919768,19.0,11.66773,20.468908,28.339058,38.66754558755004,103,24,26
7,34.887082317233535,38.38837712930823,135.27381896972656,11.630727362023691,9.241042137145996,-0.001264333724975586,0.10349243542848378,0.03758857113249091,0.5351641414141414,0.5470297029702971,0.5227272727272727,0.24598930481283424,0.33454545454545453,0.8064516129032258,0.526651716405037,0.5106892095675496,5.313950538635254,6.208063960365287,23.235868,2.7564535,24.091583,11.623382,15.766142,31.06106,34.887082317233535,404,187,88,158.55557250976562,12.591885184902443,9.970831871032715,-0.16468584537506104,-0.09923601526529488,0.318614756911332,0.46218817521115696,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.49419831223628685,0.31790747602124436,4.789495468139648,5.489889388507466,23.487848,1.8168869,19.0,11.66773,20.659857,27.788818,38.38837712930823,103,24,26
8,37.14601335935249,38.4090399365874,151.7959747314453,12.320550910224968,9.6948881149292,-0.014309406280517578,0.09232813625826247,0.0637414114067451,0.5313432835820896,0.5198019801980198,0.549618320610687,0.34782608695652173,0.4260355029585799,0.700507614213198,0.5442507172809534,0.5744363182986785,4.996574401855469,5.858442959725179,24.288471,2.8046398,24.393564,12.233336,18.306883,33.735405,37.14601335935249,404,207,131,160.72767639160156,12.677841945362845,9.951412200927734,-0.18064117431640625,-0.08849561569575981,0.37404763518616535,0.46749165193478687,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.4920886075949367,0.3239615949170061,4.807142734527588,5.648446954954051,23.310677,2.6857433,19.0,11.66773,19.691315,29.227293,38.4090399365874,103,24,26
9,34.1627623104752,38.20652311429092,131.02801513671875,11.446746923764794,9.062956809997559,0.0034056901931762695,0.11486057037429291,0.020934548430105192,0.539254659952801,0.5915841584158416,0.6931818181818182,0.3065326633165829,0.4250871080139373,0.8682926829268293,0.565314376761858,0.6045458179079882,4.862214088439941,5.845364108006941,23.661957,3.438161,23.663366,11.466289,16.502665,33.515903,34.1627623104752,404,199,88,160.56874084472656,12.671572153632972,9.910660743713379,-0.1794736385345459,-0.09175511259685207,0.3566358395484457,0.46650952661559614,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.5063291139240507,0.32824532635544273,4.812078475952148,5.673850984248271,23.14178,2.8818254,19.0,11.66773,19.756348,29.46503,38.20652311429092,103,24,26
10,30.899553619309888,37.46268161126747,114.14823150634766,10.684017573288976,8.423043251037598,0.01643836498260498,0.16951562099063444,0.0006228626012972836,0.5562370377864333,0.5915841584158416,0.6517857142857143,0.36683417085427134,0.4694533762057878,0.8097560975609757,0.580830984189239,0.6141499956256109,5.145508766174316,6.091901762983687,23.294495,3.6158528,23.576733,10.772929,17.20871,32.543236,30.899553619309888,404,199,112,154.7249298095703,12.438847607779843,9.784269332885742,-0.13654732704162598,-0.08166881105637262,0.41215702891800043,0.47122372814771163,0.6407766990291263,0.24,0.25,0.24489795918367346,0.759493670886076,0.5079113924050633,0.3356985071018714,4.672979354858398,5.3208729901052,23.115799,1.6621287,19.0,11.66773,20.765997,27.602129,37.46268161126747,103,24,25
