epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,51.19721939043641,36.860970547820614,251.2897186279297,15.852120319626952,12.522917747497559,-0.830453634262085,0.05626490658778482,0.25919302549586526,0.5187301667572727,0.4876237623762376,0.5,0.09178743961352658,0.15510204081632653,0.9035532994923858,0.5251967924667108,0.5305367868130613,10.801318168640137,13.274498513729837,15.921138,8.032446,23.757425,11.716773,0.07387522,30.580538,51.19721939043641,404,207,38,156.22793579101562,12.49911740048135,9.615692138671875,-0.14758789539337158,0.02836256999938637,0.7761093038603954,0.513455116872913,0.6893203883495146,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7974683544303798,0.5796413502109705,0.28869262124131406,4.385289192199707,5.175498960462275,23.246798,2.4284084,19.0,11.66773,15.323548,27.579023,36.860970547820614,103,24,24
2,32.691156866107285,33.787820154367,130.7329559326172,11.433851316709395,8.78867244720459,0.05513483285903931,0.24632503199418188,5.353680041867256e-07,0.5906817750205735,0.5717821782178217,0.6491228070175439,0.357487922705314,0.46105919003115264,0.7969543147208121,0.6209078202015743,0.6336895281059223,5.115664005279541,6.0641124979821734,23.475523,3.55878,23.868813,11.762716,12.2414,36.078953,32.691156866107285,404,207,114,144.8961181640625,12.03728034748973,9.026845932006836,-0.06434893608093262,0.1499863270490806,0.1304866469088984,0.5609899823217442,0.7281553398058253,0.35714285714285715,0.20833333333333334,0.2631578947368421,0.8860759493670886,0.6497890295358649,0.3651545694519666,4.137743949890137,4.692736739546493,22.37578,2.6843705,19.0,11.66773,15.205613,30.788286,33.787820154367,103,24,14
3,29.126876419302338,33.74331318340219,117.39191436767578,10.834754928823992,7.9758782386779785,0.17327171564102173,0.49146627982690516,5.906396865439885e-26,0.6730720574840603,0.6831683168316832,0.813953488372093,0.38461538461538464,0.5223880597014925,0.9279279279279279,0.7665577665577665,0.7134405742216996,4.718753337860107,5.855045601058844,21.499556,4.2809095,22.95792,11.916197,10.038549,36.03871,29.126876419302338,404,182,86,150.04197692871094,12.24916229497801,8.888443946838379,-0.10214829444885254,0.16813067657775782,0.08957898677883899,0.5627578078962876,0.6990291262135923,0.34782608695652173,0.3333333333333333,0.3404255319148936,0.810126582278481,0.6508438818565401,0.35568142381361545,4.196844100952148,5.218397299903359,22.282816,4.0208316,19.0,11.66773,12.036745,31.600424,33.74331318340219,103,24,23
4,24.787044949409157,34.769972522903984,90.02738952636719,9.488276425482512,7.027042865753174,0.26132458448410034,0.547101708310261,6.433345670596374e-33,0.6971983715296713,0.6955445544554455,0.7701149425287356,0.6175115207373272,0.6854219948849105,0.786096256684492,0.7926267281105991,0.797879284492252,4.28914213180542,5.357325214733645,23.72255,4.8998027,24.242575,11.039783,9.416349,34.024155,24.787044949409157,404,217,174,155.48162841796875,12.469227258253365,9.09101676940918,-0.1421058177947998,0.16699287580452662,0.09180165420603062,0.5631506580239639,0.6796116504854369,0.37142857142857144,0.5416666666666666,0.4406779661016949,0.7215189873417721,0.6571729957805907,0.40932710997776134,4.5892252922058105,5.85640712596459,22.384747,5.1493487,19.0,11.66773,10.206732,32.99901,34.769972522903984,103,24,35
5,25.780029264637466,35.67120104327852,97.98582458496094,9.898778944140583,7.2621636390686035,0.32264673709869385,0.6292629718487855,6.188530911086751e-46,0.7276299993681683,0.7722772277227723,0.8095238095238095,0.6938775510204082,0.7472527472527473,0.8461538461538461,0.8514766483516484,0.8474920490369293,4.205949783325195,5.2287153477333295,23.266983,6.067273,23.967821,12.027462,8.078193,35.890434,25.780029264637466,404,196,168,153.3965301513672,12.385335286190971,9.306001663208008,-0.12678956985473633,0.191046094083076,0.053225353218518866,0.5678648595560793,0.6407766990291263,0.34146341463414637,0.5833333333333334,0.4307692307692308,0.6582278481012658,0.685126582278481,0.39159159376501373,4.640537261962891,5.897850239805337,23.199774,5.061591,19.0,11.66773,10.488978,35.666794,35.67120104327852,103,24,41
6,24.499400303498536,33.7593245462354,95.05690002441406,9.7497128175354,6.896310806274414,0.3988969922065735,0.6973666443313674,4.0193093189071737e-60,0.7563404309092058,0.8044554455445545,0.8367346938775511,0.7772511848341233,0.8058968058968059,0.8341968911917098,0.8888588758195614,0.8681688883179443,3.7792105674743652,4.807507191542048,23.879042,6.9752507,24.616337,12.575272,4.1307354,37.137966,24.499400303498536,404,211,196,148.83502197265625,12.199795980780017,8.869330406188965,-0.09328258037567139,0.10133572490478435,0.30843157013225325,0.5370261245334905,0.7572815533980582,0.47619047619047616,0.4166666666666667,0.4444444444444444,0.8607594936708861,0.6508438818565401,0.4424720146383358,5.427104473114014,6.99986839170714,19.61299,5.885513,19.0,11.66773,6.478179,33.823692,33.7593245462354,103,24,21
7,21.838045996930198,33.50423045829289,75.40043640136719,8.683342467124465,6.370619297027588,0.4891342520713806,0.7392134620892915,5.177842255216103e-71,0.7789482991650561,0.806930693069307,0.8471337579617835,0.7112299465240641,0.7732558139534884,0.8894009216589862,0.9132556248305774,0.8931360820891152,3.717432975769043,4.673163296975114,22.762842,7.322747,23.024752,12.148805,3.0649815,40.059406,21.838045996930198,404,187,157,146.42123413085938,12.100464211378808,8.859734535217285,-0.07555186748504639,0.16273849030461865,0.10050152041509798,0.5572579061088195,0.7378640776699029,0.42105263157894735,0.3333333333333333,0.37209302325581395,0.8607594936708861,0.6529535864978904,0.40562499213277303,6.125895023345947,7.575447537638143,19.217772,6.482767,19.0,11.66773,4.6701927,34.620907,33.50423045829289,103,24,19
8,17.446896305431622,32.67658042759427,61.30071258544922,7.829477159137078,5.346752643585205,0.5325043201446533,0.7832894088251519,5.157694095012513e-85,0.8037754469425712,0.8415841584158416,0.8810810810810811,0.7951219512195122,0.8358974358974359,0.8894472361809045,0.9373452628998652,0.9345874716652556,3.3223891258239746,4.318753338824912,23.541069,7.5388975,23.91089,11.4510145,3.1407173,40.34998,17.446896305431622,404,205,185,142.321044921875,11.929838428154634,8.710830688476562,-0.0454334020614624,0.17117580521722683,0.08383998519148099,0.5602042820663917,0.7475728155339806,0.4375,0.2916666666666667,0.35,0.8860759493670886,0.6677215189873418,0.38679832668622527,5.977749347686768,7.328628880597738,18.815643,5.879045,19.0,11.66773,5.3626523,33.088898,32.67658042759427,103,24,16
9,17.525869325899087,34.254785842614844,62.10666275024414,7.8807780548778394,5.402960777282715,0.5803599953651428,0.8112817879404537,9.62931267611182e-96,0.8181038181038182,0.844059405940594,0.8688524590163934,0.803030303030303,0.8346456692913385,0.883495145631068,0.9454496420515838,0.9347398062188941,3.3979103565216064,4.368031210428039,23.398611,8.099623,23.777227,12.16552,2.4978082,41.902554,17.525869325899087,404,198,183,154.21395874023438,12.41829129712435,9.006068229675293,-0.13279402256011963,0.12002973664275199,0.22717282352923424,0.5415439010017679,0.7572815533980582,0.4666666666666667,0.2916666666666667,0.358974358974359,0.8987341772151899,0.6413502109704641,0.39089369846091965,6.849579811096191,8.461772000484508,17.937181,6.7165704,19.0,11.66773,4.438609,35.546307,34.254785842614844,103,24,15
10,15.605739885807443,34.34071288813014,51.858070373535156,7.201254777713059,4.91700553894043,0.5943332314491272,0.8141002104640579,6.372477613066728e-97,0.8196804271092949,0.8341584158415841,0.8787878787878788,0.7552083333333334,0.8123249299719888,0.9056603773584906,0.9381141902515724,0.9239213783803357,3.33819317817688,4.443271590822417,22.487623,8.235467,23.002476,11.306377,4.5175114,43.651016,15.605739885807443,404,192,165,147.53346252441406,12.146335353694713,9.065849304199219,-0.08372175693511963,0.20363335867582694,0.03910306988891714,0.5698291101944608,0.7184466019417476,0.41379310344827586,0.5,0.4528301886792453,0.7848101265822784,0.6761603375527426,0.4225307070489149,6.174664497375488,7.601867606929316,20.743946,6.798565,19.0,11.66773,6.0142703,39.111023,34.34071288813014,103,24,29
