epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,58.9976982110803,34.71112497310037,322.0256652832031,17.94507356583425,14.079727172851562,-1.3457109928131104,-0.018467381039556873,0.7113294362208107,0.4929643349305283,0.48267326732673266,0.47619047619047616,0.0966183574879227,0.1606425702811245,0.8883248730964467,0.5074670786434194,0.5215491072173863,12.770703315734863,15.548759307919877,13.59879,8.924515,23.757425,11.716773,-0.07905229,29.8807,58.9976982110803,404,207,42,151.74195861816406,12.318358600810583,9.188921928405762,-0.11463570594787598,0.16183704428138235,0.10242545316466443,0.556668630917305,0.6116504854368932,0.19230769230769232,0.20833333333333334,0.2,0.7341772151898734,0.5743670886075949,0.31150933763812116,5.090837001800537,6.090358944792665,21.237295,5.0416245,19.0,11.66773,6.663893,27.729395,34.71112497310037,103,24,26
2,38.469308580845905,32.781152661358576,159.2273712158203,12.618532847198216,9.944754600524902,-0.15080690383911133,-0.011410821944410033,0.8191398107868011,0.4959929100462113,0.4801980198019802,0.48314606741573035,0.20772946859903382,0.2905405405405405,0.766497461928934,0.4909144412565291,0.5145680897611684,6.532856464385986,8.186868657820899,21.949028,4.1862664,23.868813,11.762716,7.2891393,29.46386,38.469308580845905,404,207,89,137.7640838623047,11.737294571676417,8.753706932067871,-0.01195979118347168,0.1958776249027389,0.04737493516530521,0.5668827342368886,0.7572815533980582,0.4,0.08333333333333333,0.13793103448275862,0.9620253164556962,0.6650843881856541,0.3741492987460399,4.100114345550537,4.78477497683846,21.946037,2.6041408,19.0,11.66773,13.108429,26.07145,32.781152661358576,103,24,5
3,34.40286142615323,34.755298867395446,145.44471740722656,12.060046326910463,9.081918716430664,-0.02428913116455078,0.12838156364869857,0.009790568990323986,0.5435052120230746,0.5668316831683168,0.6129032258064516,0.1043956043956044,0.1784037558685446,0.9459459459459459,0.5915998415998416,0.5437612462216896,5.116563320159912,6.215690128374536,21.002502,2.679731,22.95792,11.916197,10.325372,30.141846,34.40286142615323,404,182,31,144.9593505859375,12.039906585432359,9.183843612670898,-0.06481337547302246,0.23271048954729087,0.018005583428250132,0.5820074641524259,0.7669902912621359,0.5,0.2916666666666667,0.3684210526315789,0.9113924050632911,0.7151898734177216,0.4328647429525436,4.166416645050049,4.851109776896919,23.098175,2.574752,19.0,11.66773,14.7844515,30.23833,34.755298867395446,103,24,14
4,29.109882850891946,33.95957147324621,111.24078369140625,10.547074650888096,7.9591827392578125,0.08726859092712402,0.32551309293762193,2.000845653775539e-11,0.6188821388258272,0.6064356435643564,0.7636363636363637,0.3870967741935484,0.5137614678899083,0.8609625668449198,0.6949407328913971,0.694204521087388,4.444504261016846,5.417247193356665,23.375532,3.2984326,24.242575,11.039783,12.296306,32.614735,29.109882850891946,404,217,110,139.9753875732422,11.831119455623892,9.0347318649292,-0.028203129768371582,0.26487672203496704,0.006853673218545727,0.5937929679827146,0.7572815533980582,0.47058823529411764,0.3333333333333333,0.3902439024390244,0.8860759493670886,0.6914556962025316,0.4236131447661465,4.484542369842529,5.182732839032525,22.650843,3.6715643,19.0,11.66773,12.029377,31.372284,33.95957147324621,103,24,17
5,29.3803771187519,40.627043927807215,115.39163970947266,10.742050070143625,7.979414939880371,0.20232439041137695,0.5064066683953228,1.060739146188811e-27,0.6787135906994377,0.6806930693069307,0.7518796992481203,0.5102040816326531,0.60790273556231,0.8413461538461539,0.7969731161695447,0.7860233643946943,4.248529434204102,5.359776251094069,23.063765,4.781268,23.967821,12.027462,6.235074,37.84147,29.3803771187519,404,196,133,166.587158203125,12.90686477046711,10.355839729309082,-0.22368252277374268,0.2801243517206837,0.004158682507803789,0.601060695344726,0.5145631067961165,0.30303030303030304,0.8333333333333334,0.4444444444444444,0.4177215189873418,0.7046413502109705,0.4292967484745601,5.397122859954834,6.482928231861946,25.28243,4.112815,19.0,11.66773,12.70787,35.521408,40.627043927807215,103,24,66
6,30.27039522761694,31.867391273930885,126.16178894042969,11.232176500591045,8.13015365600586,0.20220178365707397,0.5174353533737599,4.7930764222809653e-29,0.6852088203702533,0.7277227722772277,0.7821229050279329,0.6635071090047393,0.717948717948718,0.7979274611398963,0.8162463472730399,0.8042813059441379,3.8373820781707764,4.822067856161278,24.253595,5.1361327,24.616337,12.575272,7.1592865,36.75378,30.27039522761694,404,211,179,132.8415069580078,11.525689001444027,8.562904357910156,0.02419942617416382,0.23201791516358491,0.01836061245667158,0.57945393832253,0.7669902912621359,0.5,0.4166666666666667,0.45454545454545453,0.8734177215189873,0.6940928270042195,0.42837116108848766,4.412292957305908,5.203700128335103,21.55666,4.5484047,19.0,11.66773,8.1747465,30.925097,31.867391273930885,103,24,20
7,27.567019972440217,31.910464600644648,107.78107452392578,10.381766445259968,7.5636305809021,0.26974350214004517,0.5714405393927061,2.140490305851369e-36,0.7052307148180429,0.6955445544554455,0.8137254901960784,0.44385026737967914,0.5743944636678201,0.9124423963133641,0.8372310801153304,0.7977596359953983,3.755322217941284,4.7184128798760785,22.28405,5.2932243,23.024752,12.148805,7.1402917,40.50865,27.567019972440217,404,187,102,134.7601318359375,11.6086231671089,8.523533821105957,0.010106027126312256,0.2245315158730492,0.02259987558505178,0.5772932626203103,0.7864077669902912,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.8987341772151899,0.6708860759493671,0.4515759421188952,4.220261096954346,5.2269097228529295,21.501896,4.3368955,19.0,11.66773,7.866613,30.737648,31.910464600644648,103,24,18
8,24.087003217648576,30.446593500379908,91.09867858886719,9.544562776202334,6.782992362976074,0.3052569627761841,0.6292435039033019,6.239381528322701e-46,0.7284689449245291,0.7475247524752475,0.8083832335329342,0.6585365853658537,0.7258064516129032,0.8391959798994975,0.8559627405319279,0.8432276900818368,3.7186203002929688,4.837090621304395,23.445946,5.67636,23.91089,11.4510145,6.571175,38.50608,24.087003217648576,404,205,167,128.74642944335938,11.346648379295067,8.247597694396973,0.054280221462249756,0.2519211837619915,0.010256432758721217,0.5861323904930269,0.7572815533980582,0.4666666666666667,0.2916666666666667,0.358974358974359,0.8987341772151899,0.6756329113924051,0.466926616589999,4.421108722686768,5.446685048838443,20.675238,4.476369,19.0,11.66773,8.189644,30.737963,30.446593500379908,103,24,15
9,25.058706322639356,31.435505146504315,96.79151916503906,9.83826809784319,6.985876083374023,0.34600263833999634,0.6631355227320619,1.5905589868168736e-52,0.7406061523708583,0.754950495049505,0.8367346938775511,0.6212121212121212,0.7130434782608696,0.883495145631068,0.8732225164263999,0.868596752098747,3.8088977336883545,5.006873746535368,23.057598,5.920934,23.777227,12.16552,5.1645374,40.91419,25.058706322639356,404,198,147,133.5571746826172,11.556693933933579,8.439857482910156,0.018942415714263916,0.28496687578453234,0.0035279311422647544,0.601060695344726,0.7669902912621359,0.5,0.4166666666666667,0.45454545454545453,0.8734177215189873,0.6872362869198312,0.4628550357561039,4.272364616394043,5.351341343229091,21.490702,4.518087,19.0,11.66773,9.533761,31.199842,31.435505146504315,103,24,20
10,21.835903603111788,31.144800655598058,79.47410583496094,8.914825059133856,6.368802070617676,0.37830305099487305,0.7074726148245175,1.4169566585554842e-62,0.7618511443138545,0.7599009900990099,0.8625954198473282,0.5885416666666666,0.6996904024767802,0.9150943396226415,0.8851955581761006,0.8625110625027106,3.6742961406707764,4.7121576402392185,22.508736,5.728155,23.002476,11.306377,5.4777193,38.283276,21.835903603111788,404,192,131,134.22682189941406,11.585629974214353,8.345985412597656,0.014023423194885254,0.26628385729075055,0.006552393286938275,0.597132194067963,0.7572815533980582,0.47619047619047616,0.4166666666666667,0.4444444444444444,0.8607594936708861,0.6629746835443038,0.4189734128639618,4.570573806762695,5.796693372323085,20.771048,5.0373836,19.0,11.66773,8.344619,31.597939,31.144800655598058,103,24,21
11,24.11811926067054,33.461165414288416,91.89861297607422,9.586376425744726,6.7591681480407715,0.4254186749458313,0.7240978794809119,7.57701175582759e-67,0.7708743749052887,0.7698019801980198,0.8580246913580247,0.6650717703349283,0.7493261455525606,0.882051282051282,0.8988099619678567,0.9008296302187351,3.5019381046295166,4.574981964576067,23.32339,6.6459637,24.123762,12.646744,4.57816,42.555992,24.11811926067054,404,209,162,139.9231414794922,11.828911255034937,8.836230278015137,-0.027819395065307617,0.2849393926740678,0.003531254449912213,0.6012571204085642,0.7281553398058253,0.4375,0.5833333333333334,0.5,0.7721518987341772,0.6613924050632911,0.39694714968320804,5.122274875640869,6.512202033843072,21.84295,5.774086,19.0,11.66773,8.514668,33.883076,33.461165414288416,103,24,32
12,18.252884129745432,31.173560454889916,66.94792175292969,8.182170968204568,5.490405559539795,0.4980289340019226,0.7734297722142077,1.3115989781759138e-81,0.7980699638118215,0.8168316831683168,0.8477157360406091,0.7914691943127962,0.8186274509803921,0.844559585492228,0.9044274734179701,0.8880805535577347,3.294703960418701,4.333757281961587,23.61073,7.297935,23.863861,11.548596,2.2234898,40.73335,18.252884129745432,404,211,197,135.76834106445312,11.651967261559445,8.323029518127441,0.0027001500129699707,0.24805156180858687,0.011525793636531933,0.5890787664505991,0.7475728155339806,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.8734177215189873,0.6460970464135021,0.3900222797129505,5.03847599029541,6.559102659491915,19.94142,5.680782,19.0,11.66773,7.0775194,31.854057,31.173560454889916,103,24,18
13,17.182281573263637,31.600291796763273,57.5843505859375,7.588435318689717,5.316194534301758,0.47079998254776,0.7512549900423249,1.5233514793013115e-74,0.7845736934746547,0.8168316831683168,0.8435754189944135,0.766497461928934,0.8031914893617021,0.8647342995169082,0.9169670663822065,0.898829952223135,3.4033877849578857,4.561682640961085,23.262768,7.022662,23.519802,10.431394,0.05741875,43.688896,17.182281573263637,404,197,179,135.8617706298828,11.655975747653338,8.453585624694824,0.002013862133026123,0.24839784900043985,0.011406857396664557,0.5890787664505991,0.7378640776699029,0.42857142857142855,0.375,0.4,0.8481012658227848,0.6524261603375527,0.3874191026965565,5.02522087097168,6.4196271466040775,20.545424,5.519825,19.0,11.66773,7.300527,32.811054,31.600291796763273,103,24,21
14,15.820428714236483,33.954286113669596,53.050987243652344,7.283610865748687,5.010081768035889,0.5634273290634155,0.8266629646442761,1.9599238316131492e-102,0.8212620218130348,0.8415841584158416,0.8864864864864865,0.7922705314009661,0.8367346938775511,0.8934010152284264,0.9345006007994311,0.9388024371966293,3.003436326980591,3.8440714135736096,23.921478,6.935401,24.341583,11.023474,7.737668,42.51489,15.820428714236483,404,207,185,142.1372528076172,11.922132896743653,8.98908805847168,-0.044083476066589355,0.26895521562790203,0.006012549515677519,0.5975250441956393,0.6796116504854369,0.37142857142857144,0.5416666666666666,0.4406779661016949,0.7215189873417721,0.6577004219409283,0.3866376354482769,5.333067893981934,6.642599086173191,21.749374,5.94049,19.0,11.66773,7.8758783,34.221844,33.954286113669596,103,24,35
15,17.618244644328758,32.79123141553741,65.65302276611328,8.102655291082874,5.329427719116211,0.5174437165260315,0.7997015813306211,4.251155015033722e-91,0.8118957226018729,0.8267326732673267,0.88,0.7586206896551724,0.8148148148148148,0.8955223880597015,0.9366713231870205,0.9347327458184606,2.844968795776367,3.773640313236555,23.160833,7.219942,23.361385,11.664157,4.000237,47.249096,17.618244644328758,404,203,175,138.90586853027344,11.785833382933658,8.730790138244629,-0.020346879959106445,0.27782676368584963,0.004491784417414349,0.5969357690041249,0.6893203883495146,0.375,0.5,0.42857142857142855,0.7468354430379747,0.6719409282700421,0.3896200674559479,5.340755462646484,6.742575624329674,21.02782,6.2493205,19.0,11.66773,6.889991,35.96531,32.79123141553741,103,24,32
