epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,48.82742404171017,32.71805567794352,251.3849334716797,15.855123256275231,12.04555892944336,-0.6308238506317139,0.10694903614534262,0.03162204688880748,0.5381286771683431,0.5742574257425742,0.813953488372093,0.17587939698492464,0.2892561983471074,0.9609756097560975,0.5642603260203456,0.6080673727960079,9.422788619995117,11.987134394475225,16.724035,7.86779,23.492575,12.415554,0.016878288,29.71919,48.82742404171017,404,199,43,133.0433349609375,11.53444125048706,8.724101066589355,0.022716939449310303,0.2599572452618177,0.008005565944529254,0.5904537418974661,0.7766990291262136,0.5217391304347826,0.5,0.5106382978723404,0.8607594936708861,0.7383966244725738,0.5736172130311966,4.087924003601074,5.012962323792752,22.362438,3.2996929,19.0,11.66773,9.2811775,28.950962,32.71805567794352,103,24,23
2,28.316911269190967,30.40234877402867,101.07556915283203,10.053634623997036,7.8035407066345215,0.2699580788612366,0.58156759577767,6.254675725544159e-38,0.7052265689186628,0.7277227722772277,0.831081081081081,0.5913461538461539,0.6910112359550562,0.8724489795918368,0.8172586342229199,0.8104486794891206,4.621124267578125,5.90268886524131,22.946163,5.1055617,23.725248,11.766552,7.5465817,34.711224,28.316911269190967,404,208,148,121.2742691040039,11.012459720879978,8.25019359588623,0.10916775465011597,0.2781015947904949,0.004450723823160643,0.5994892948340208,0.7475728155339806,0.4642857142857143,0.5416666666666666,0.5,0.810126582278481,0.758438818565401,0.5547144549976644,4.392080307006836,5.40536809354225,21.718273,5.6208873,19.0,11.66773,4.735886,37.324898,30.40234877402867,103,24,28
3,24.48119215292911,28.404372000289193,90.28189086914062,9.501678318546709,6.937113285064697,0.3748602867126465,0.6853797677016039,2.4198566762873094e-57,0.7498831996969506,0.7995049504950495,0.8571428571428571,0.75,0.8,0.8563829787234043,0.8781274625689519,0.8776785447051507,4.195016384124756,5.537405263809401,24.567467,6.8962727,24.821783,12.017434,3.2589588,40.98025,24.48119215292911,404,216,189,107.3382339477539,10.360416687940399,7.829250335693359,0.21153628826141357,0.3593691524340855,0.00019298067402632462,0.629345904537419,0.8446601941747572,0.6428571428571429,0.75,0.6923076923076923,0.8734177215189873,0.8069620253164558,0.6675673517758155,4.5732855796813965,5.606485541763653,21.214668,6.1900606,19.0,11.66773,2.5054297,36.720325,28.404372000289193,103,24,28
4,21.729687566760596,26.897450708304937,73.44890594482422,8.570233715881045,6.384346008300781,0.463098406791687,0.7271241674642124,1.1695289158144422e-67,0.7688669701568033,0.8316831683168316,0.8712871287128713,0.8073394495412844,0.8380952380952381,0.8602150537634409,0.9032751307092829,0.9106321521195253,4.036226272583008,5.179492146992486,24.368242,7.3727226,24.366337,11.696215,3.4366853,40.289967,21.729687566760596,404,218,202,101.38172149658203,10.068849065140565,7.500978469848633,0.2552904486656189,0.37408910639888326,9.918614538218772e-05,0.6397564329208407,0.8349514563106796,0.64,0.6666666666666666,0.6530612244897959,0.8860759493670886,0.8154008438818566,0.6564305335725164,4.600894927978516,5.7116752179344035,20.420782,6.367068,19.0,11.66773,3.2718892,37.2545,26.897450708304937,103,24,25
5,25.379606089087623,27.21827561994201,92.96541595458984,9.641857495036412,7.1622748374938965,0.40846627950668335,0.6775787122795787,1.3236383485051921e-55,0.749958980701998,0.7673267326732673,0.8011049723756906,0.7142857142857143,0.7552083333333334,0.8208955223880597,0.8545450089454207,0.8229157424718768,4.761637210845947,6.075623455944087,23.833725,7.5446754,24.423267,12.5363455,4.092222,40.324745,25.379606089087623,404,203,181,103.57801818847656,10.177328637146221,7.6075592041015625,0.2391573190689087,0.38713259062534533,5.351675769347136e-05,0.6438813592614417,0.8640776699029126,0.6923076923076923,0.75,0.72,0.8987341772151899,0.8201476793248945,0.6460879656898111,4.232504367828369,5.2081553110851795,21.586159,5.982999,19.0,11.66773,4.5557237,37.291378,27.21827561994201,103,24,26
6,19.23083546077879,27.028215019520626,64.24049377441406,8.015016766945285,5.869627475738525,0.5040086507797241,0.745052694935975,1.0630797596224377e-72,0.7854638875178759,0.7846534653465347,0.8054054054054054,0.745,0.7740259740259741,0.8235294117647058,0.8824264705882352,0.8561512202961072,4.268601894378662,5.606060440788298,23.542706,7.69687,23.717821,11.380658,2.6425574,42.008476,19.23083546077879,404,200,185,99.95880126953125,9.997939851265922,7.499387741088867,0.2657426595687866,0.43204548974646656,5.188664965792606e-06,0.6593989393046553,0.8252427184466019,0.6,0.75,0.6666666666666666,0.8481012658227848,0.8328059071729957,0.6802739414445171,4.525467872619629,5.646637731400673,21.75386,6.542597,19.0,11.66773,6.0778165,37.46287,27.028215019520626,103,24,30
7,20.26649833000059,24.931548902767748,66.14608764648438,8.133024507923505,6.090974807739258,0.5453433990478516,0.7691950671964031,3.37259137682678e-80,0.7905813395315935,0.8267326732673267,0.8412698412698413,0.7989949748743719,0.8195876288659794,0.8536585365853658,0.9110430199779386,0.8952085084936551,4.326104640960693,5.508768201659004,23.661528,8.2416725,23.784653,12.061749,5.3905277,43.373104,20.26649833000059,404,199,189,92.44108581542969,9.614628740384607,7.017259120941162,0.3209648132324219,0.4248174316942974,7.728767905911365e-06,0.6592025142408171,0.8640776699029126,0.6923076923076923,0.75,0.72,0.8987341772151899,0.8275316455696202,0.6652909191494678,4.452259063720703,5.625219044129179,20.261885,6.666198,19.0,11.66773,4.103576,38.47618,24.931548902767748,103,24,26
8,18.17640910644382,25.499524881729847,60.945396423339844,7.806753257490584,5.527503967285156,0.5616962313652039,0.783860278117792,3.23464335656319e-85,0.8062549024569217,0.8292079207920792,0.84375,0.8059701492537313,0.8244274809160306,0.8522167487684729,0.9106683332107933,0.8983671535689316,3.5494680404663086,4.842715835921045,23.831896,8.211769,23.965347,11.791875,1.4388608,42.728855,18.17640910644382,404,201,192,93.3177261352539,9.66011004778175,7.171833515167236,0.3145253658294678,0.40770644711908616,1.9154023505669074e-05,0.6497741111765861,0.8543689320388349,0.68,0.7083333333333334,0.6938775510204082,0.8987341772151899,0.8227848101265823,0.6749301183708498,4.725318908691406,5.925261402399693,20.513474,7.0884767,19.0,11.66773,4.462678,41.13933,25.499524881729847,103,24,25
9,17.18439685997088,25.1257811285728,55.09693145751953,7.422730727806279,5.362646579742432,0.576185941696167,0.7683661638472536,6.31625239016526e-80,0.8003617826015458,0.8094059405940595,0.8288770053475936,0.775,0.8010335917312662,0.8431372549019608,0.8865441176470589,0.8567964659629344,4.021875381469727,5.246102112218764,23.956541,8.418068,23.772278,11.401868,-1.8836659,45.215492,17.18439685997088,404,200,187,91.63585662841797,9.572661940568985,7.0529255867004395,0.32687968015670776,0.4714452769084049,4.996920883635676e-07,0.6782557454331173,0.8543689320388349,0.68,0.7083333333333334,0.6938775510204082,0.8987341772151899,0.8422995780590717,0.7002999509266095,4.950801372528076,6.393107708452518,20.21601,7.27833,19.0,11.66773,5.315884,39.833572,25.1257811285728,103,24,25
10,16.489153353782342,26.327381501605046,51.31598663330078,7.163517755495604,5.237313270568848,0.629334032535553,0.8003169181210787,2.451492817478226e-91,0.8141894028510352,0.8217821782178217,0.8679245283018868,0.7301587301587301,0.7931034482758621,0.9023255813953488,0.9183216439030393,0.9002441847860959,4.128416061401367,5.357825230327177,22.408943,8.808656,22.601484,11.766166,0.58610934,45.455074,16.489153353782342,404,189,159,100.38170623779297,10.019067134109491,7.362402439117432,0.2626361846923828,0.4313089423860174,5.40595546826191e-06,0.6607739147515223,0.8252427184466019,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.8607594936708861,0.8259493670886077,0.6547349586573463,4.68183708190918,6.082952861993937,21.122665,6.9701424,19.0,11.66773,7.2485747,40.223194,26.327381501605046,103,24,28
