epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,45.847131648997944,37.36901312835008,218.70166015625,14.78856518247291,11.441601753234863,-0.614899754524231,0.032059449625221746,0.5205125426533628,0.5108469051259049,0.5024752475247525,0.46153846153846156,0.03,0.056338028169014086,0.9656862745098039,0.4975245098039216,0.49423528943398404,9.365045547485352,11.794354423394628,17.265121,6.524109,23.76485,11.637327,-0.06951985,26.129704,45.847131648997944,404,200,13,153.845703125,12.403455289756964,9.776371002197266,-0.1300889253616333,0.06715223210901226,0.5003338013235158,0.5244549204478491,0.7669902912621359,0.0,0.0,0.0,1.0,0.5469409282700421,0.34728674835603174,4.638855457305908,5.225033934268543,23.289543,0.33549628,19.0,11.66773,21.822502,24.068913,37.36901312835008,103,24,0
2,35.514106354435285,35.40448397434163,142.70018005371094,11.945718063545236,9.3623628616333,0.005330264568328857,0.06480409250955811,0.19364315553744987,0.5186830943243789,0.5693069306930693,0.6036036036036037,0.3401015228426396,0.43506493506493504,0.7874396135265701,0.5378503641580225,0.5703254419436685,4.902251243591309,5.669061304395821,23.821894,2.4661815,24.123762,11.977683,20.634287,30.509146,35.514106354435285,404,197,111,147.55917358398438,12.147393695109432,9.349652290344238,-0.08391058444976807,-0.05137692670237683,0.6062763771580751,0.4782950304458849,0.7766990291262136,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.9620253164556962,0.48628691983122363,0.2938928914016069,4.390503883361816,5.016304896967083,22.257406,1.4411982,19.0,11.66773,21.211416,26.670534,35.40448397434163,103,24,7
3,34.549200969254876,35.58621775416784,136.17874145507812,11.66956475002723,9.121786117553711,0.011656880378723145,0.1544964279482699,0.0018429590857660003,0.5494549960800182,0.6039603960396039,0.6822429906542056,0.36683417085427134,0.477124183006536,0.8341463414634146,0.5927196960411816,0.6441816478100661,4.957498550415039,6.051400317346494,23.866352,3.391791,24.148516,11.73818,19.68192,35.485283,34.549200969254876,404,199,107,151.26263427734375,12.2988875219405,9.37252140045166,-0.1111147403717041,-0.024053218278549372,0.8094240023212826,0.4887055588293066,0.6310679611650486,0.23076923076923078,0.25,0.24,0.7468354430379747,0.5073839662447257,0.3041886734026718,4.598900318145752,5.439451196420214,21.85441,2.9072683,19.0,11.66773,19.937603,29.016493,35.58621775416784,103,24,26
4,34.699343170720994,34.461497436521704,132.69676208496094,11.519408061396252,9.196895599365234,0.013882339000701904,0.09023789750320044,0.07001132993341204,0.5310347442524741,0.5544554455445545,0.589041095890411,0.22279792746113988,0.3233082706766917,0.8578199052132701,0.5329175159001056,0.5440013839219089,4.932363510131836,5.764558688341883,23.2605,2.3479235,23.544554,11.600208,20.29751,31.111612,34.699343170720994,404,193,73,144.4266815185547,12.017765246440566,9.148201942443848,-0.06090056896209717,0.017490251499621596,0.860801692246354,0.5042231388725201,0.7572815533980582,0.4,0.08333333333333333,0.13793103448275862,0.9620253164556962,0.5479957805907173,0.3525097706722949,4.200013637542725,4.82242442750623,21.978767,1.2676786,19.0,11.66773,20.964685,26.997461,34.461497436521704,103,24,5
5,37.333836625634014,35.287809188215476,155.06375122070312,12.452459645415564,9.738977432250977,0.0013588666915893555,0.026213735509635062,0.5993417848818419,0.5071730490189893,0.5792079207920792,0.631578947368421,0.1945945945945946,0.2975206611570248,0.9041095890410958,0.5272615080834259,0.5334350367252505,5.040713787078857,5.950627962201238,22.475538,2.2489266,23.5,12.460929,18.67915,31.277199,37.333836625634014,404,185,57,147.98292541503906,12.164823279235875,9.331602096557617,-0.08702337741851807,-0.0033309529883000276,0.9733611923811649,0.49597328619131803,0.7475728155339806,0.4,0.16666666666666666,0.23529411764705882,0.9240506329113924,0.5263713080168776,0.3424981402083655,4.317659854888916,4.922978934358217,22.267529,1.8358151,19.0,11.66773,21.000423,28.752697,35.287809188215476,103,24,10
6,35.22065620944377,34.62668540654252,145.110595703125,12.046185940085975,9.312541007995605,0.006671905517578125,0.09019687335668174,0.07013925921011284,0.5299176647653256,0.5742574257425742,0.6458333333333334,0.16666666666666666,0.26495726495726496,0.9220183486238532,0.5539854000197297,0.5761204790702216,5.00473690032959,5.774841715967843,22.451717,2.274007,23.183168,12.086574,18.403551,33.3558,35.22065620944377,404,186,48,147.80274963378906,12.157415417505032,9.187153816223145,-0.08569979667663574,-0.005128348412679745,0.9589970718770613,0.49695541151050876,0.7184466019417476,0.3076923076923077,0.16666666666666666,0.21621621621621623,0.8860759493670886,0.5342827004219409,0.3402712845330415,4.375472545623779,5.111472536291065,21.64781,2.6750693,19.0,11.66773,19.731783,30.115267,34.62668540654252,103,24,13
7,32.69232790362514,31.972264163702437,121.58551025390625,11.02658198418287,8.774720191955566,0.049231767654418945,0.17010140212541425,0.0005959375378736465,0.5592019533671546,0.5965346534653465,0.671875,0.23243243243243245,0.3453815261044177,0.9041095890410958,0.588424040478835,0.587082413563827,4.9785566329956055,5.884277809705867,23.00948,2.827506,22.930693,11.308463,19.025131,33.939606,32.69232790362514,404,185,64,141.15711975097656,11.88095617999564,8.56343936920166,-0.03688371181488037,0.009981865720714274,0.9202879530464317,0.5008839127872716,0.7572815533980582,0.42857142857142855,0.125,0.1935483870967742,0.9493670886075949,0.544831223628692,0.34748414767917923,4.315991401672363,5.450494082391751,19.862135,2.6974502,19.0,11.66773,17.909636,28.937206,31.972264163702437,103,24,7
8,33.551869473815046,36.6062257908357,130.27078247070312,11.413622670769485,8.966733932495117,0.017321527004241943,0.15591493810680232,0.001670054222305818,0.5538050768101638,0.5618811881188119,0.7538461538461538,0.23333333333333334,0.3563636363636364,0.9175257731958762,0.5750859106529209,0.629601941674782,4.933638095855713,5.704323169835992,23.502523,2.9292476,24.148516,11.513777,18.88936,35.40527,33.551869473815046,404,210,65,152.9337615966797,12.366639058235657,9.604316711425781,-0.12339019775390625,0.0371406754817546,0.7095466489361186,0.5099194657238264,0.7378640776699029,0.38461538461538464,0.20833333333333334,0.2702702702702703,0.8987341772151899,0.5849156118143459,0.37202751040407456,4.356915473937988,4.9385990899312056,23.079489,1.9952033,19.0,11.66773,20.54771,30.619688,36.6062257908357,103,24,13
9,32.922976779410305,33.6423956791156,126.82649993896484,11.261727218280722,8.824859619140625,0.029381752014160156,0.2026371797402126,4.0786147508378205e-05,0.570555794480002,0.5891089108910891,0.6534653465346535,0.3350253807106599,0.4429530201342282,0.8309178743961353,0.6056793938056353,0.6006116489545157,5.148190498352051,6.114170387616671,23.600052,3.1187508,23.80693,11.430909,17.939846,35.233944,32.922976779410305,404,197,101,141.23190307617188,11.884102956309823,8.895658493041992,-0.03743302822113037,0.0635244615276954,0.5238128236700756,0.5213121194264388,0.7572815533980582,0.4,0.08333333333333333,0.13793103448275862,0.9620253164556962,0.5901898734177216,0.40245095558795474,3.994396924972534,4.802853514941543,21.747362,1.6654357,19.0,11.66773,17.652628,27.432987,33.6423956791156,103,24,5
10,34.752820283594524,36.25538634833229,134.37969970703125,11.592225830574181,9.256945610046387,0.023870408535003662,0.1586466987793731,0.0013782738885733759,0.5548119056939727,0.5841584158415841,0.6904761904761905,0.15760869565217392,0.25663716814159293,0.9409090909090909,0.582905138339921,0.5746120389112818,5.448546409606934,6.356730593176693,22.039629,2.5344362,22.997524,11.733109,16.184656,32.992054,34.752820283594524,404,184,42,152.05453491210938,12.331039490331275,9.484383583068848,-0.11693179607391357,-0.028137208493577297,0.7778420793914295,0.4875270084462777,0.6796116504854369,0.2631578947368421,0.20833333333333334,0.23255813953488372,0.8227848101265823,0.5268987341772151,0.3415646280621423,4.481328010559082,5.250316247043575,22.560877,2.9585927,19.0,11.66773,18.96178,31.599947,36.25538634833229,103,24,19
