epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,43.37126236683211,32.62382124794774,209.13209533691406,14.461400185905722,10.944448471069336,-0.4860447645187378,-0.049189368430854,0.32402137013626775,0.48270312737594406,0.5321782178217822,0.6086956521739131,0.1407035175879397,0.22857142857142856,0.9121951219512195,0.449442333619316,0.5043826691137905,7.833545684814453,10.463588615123541,19.381395,6.7378225,24.066832,11.862996,-0.74511266,34.724976,43.37126236683211,404,199,46,138.94444274902344,11.787469734808376,8.716564178466797,-0.020630359649658203,0.04438522340020251,0.6561876554992189,0.5150265173836182,0.7475728155339806,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.9493670886075949,0.6534810126582279,0.38519636667558355,3.97749400138855,4.745271437250307,21.370779,2.2623544,19.0,11.66773,14.944043,28.828817,32.62382124794774,103,24,6
2,30.03817305085653,30.88038901903314,111.82878112792969,10.574912818928093,8.208269119262695,0.1182715892791748,0.3537077477891832,2.3791434645533537e-13,0.624960453550322,0.6014851485148515,0.7432432432432432,0.27918781725888325,0.4059040590405904,0.9082125603864735,0.6927830500993157,0.68133503903638,4.888272762298584,5.8737064317255205,22.71773,4.0649695,23.19307,11.261841,9.419235,36.54353,30.03817305085653,404,197,74,129.0691375732422,11.36085989585481,8.358329772949219,0.051909804344177246,0.24905744365158833,0.011183278125145904,0.5861323904930269,0.7961165048543689,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.9746835443037974,0.7130801687763713,0.4736941427131123,4.1908087730407715,4.999568539123409,21.206419,3.3014474,19.0,11.66773,10.946947,26.796,30.88038901903314,103,24,7
3,28.164949773111232,26.802019501131902,106.85768127441406,10.337198908525174,7.746859550476074,0.2976371645927429,0.5921110391181311,1.3828057363817895e-39,0.7162496528391445,0.7128712871287128,0.8181818181818182,0.5652173913043478,0.6685714285714286,0.868020304568528,0.8048260133892444,0.7966995839436175,4.37984037399292,5.454363400860139,23.408052,5.4039245,24.643564,12.334517,6.306815,38.66014,28.164949773111232,404,207,143,106.64443969726562,10.32687947529483,7.422616958618164,0.2166326642036438,0.4291377766593202,6.097480305700676e-06,0.661756040070713,0.7766990291262136,0.5172413793103449,0.625,0.5660377358490566,0.8227848101265823,0.8138185654008439,0.5360032214145489,4.1267409324646,4.9839111877659965,20.730862,6.180023,19.0,11.66773,8.299065,33.95041,26.802019501131902,103,24,29
4,21.391246985791135,23.63830023822013,72.95703125,8.541488819286718,6.254591464996338,0.4650944471359253,0.7226692163663233,1.8148211444026526e-66,0.7691596361885942,0.8044554455445545,0.8445945945945946,0.6906077348066298,0.7598784194528876,0.8968609865470852,0.8931447117409509,0.863872382050787,3.90486478805542,5.020189151619886,21.957283,7.247108,22.465347,11.678714,3.411533,39.6131,21.391246985791135,404,181,148,93.32215881347656,9.660339477134153,6.685338973999023,0.31449276208877563,0.46694904003640914,6.625311190495355e-07,0.6770771950500883,0.8446601941747572,0.7222222222222222,0.5416666666666666,0.6190476190476191,0.9367088607594937,0.8539029535864979,0.6502911488111276,4.004244327545166,5.097952203453969,19.240887,6.170887,19.0,11.66773,7.243288,34.26664,23.63830023822013,103,24,18
5,18.93147619859541,28.503297957148657,64.61186981201172,8.038150895076038,5.719513893127441,0.4951343536376953,0.7598385439835865,3.461425599499972e-77,0.7873650600577771,0.8242574257425742,0.8797814207650273,0.7666666666666667,0.8193384223918575,0.8865979381443299,0.8975208640157094,0.8846495711597978,3.932365894317627,5.1333577927506235,23.258635,7.3959274,24.247524,11.312751,4.527917,40.54566,18.93147619859541,404,210,183,106.02440643310547,10.29681535393859,7.876194000244141,0.22118717432022095,0.5229925988956617,1.4501021083396006e-08,0.6967197014339029,0.7766990291262136,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.759493670886076,0.884493670886076,0.721363487701365,4.465814113616943,5.463564959665204,22.947184,5.96227,19.0,11.66773,8.310946,36.77499,28.503297957148657,103,24,39
6,17.479237885356504,22.028843841470273,58.12343978881836,7.6238730176215785,5.445507049560547,0.6198813915252686,0.8366215370206765,3.9507404593831385e-107,0.8293113003173963,0.8589108910891089,0.900497512437811,0.8302752293577982,0.863961813842482,0.8924731182795699,0.9320558350596823,0.9410072668500961,3.6875529289245605,4.6924469339076245,24.492805,8.786465,25.289604,12.365626,3.198041,41.8581,17.479237885356504,404,218,201,81.21363067626953,9.01186055574927,6.3444719314575195,0.40343719720840454,0.5166934699771933,2.3075513023158438e-08,0.6955411510508741,0.8543689320388349,0.7142857142857143,0.625,0.6666666666666666,0.9240506329113924,0.8734177215189873,0.733138776819084,3.8136744499206543,5.010938314563291,19.803316,6.4399657,19.0,11.66773,7.290222,36.57197,22.028843841470273,103,24,21
7,16.802403396152254,22.712179622210808,53.89630126953125,7.341410032788746,5.228051662445068,0.6018768548965454,0.8240819292840089,2.886647547856065e-101,0.823809343002873,0.844059405940594,0.9123711340206185,0.7937219730941704,0.8489208633093526,0.9060773480662984,0.9327354260089686,0.9431766825967774,3.3812685012817383,4.466373051534504,24.177029,8.0763035,24.665842,11.635118,1.8603402,41.587444,16.802403396152254,404,223,194,84.18245697021484,9.175099834345938,6.504781246185303,0.3816293478012085,0.49378904571606097,1.15687016220942e-07,0.6841484973482617,0.8155339805825242,0.6,0.625,0.6122448979591837,0.8734177215189873,0.864451476793249,0.6725972671370892,4.191277980804443,5.285610768692689,19.954699,7.2764,19.0,11.66773,4.29155,39.585793,22.712179622210808,103,24,25
8,13.966642438660232,21.865101498235198,42.52954864501953,6.521468289045001,4.643931865692139,0.6816562414169312,0.8385200363011078,4.6299878202679786e-108,0.8415393393774171,0.8415841584158416,0.8808290155440415,0.8056872037914692,0.8415841584158416,0.8808290155440415,0.919824177982958,0.916194368268704,3.5032742023468018,4.581351435476414,24.231213,9.0427,24.51485,11.558387,2.7511375,46.220387,13.966642438660232,404,211,193,82.74163818359375,9.096243080722598,6.311729431152344,0.39221304655075073,0.5009566409252082,7.074273966231923e-08,0.6867020231781575,0.8349514563106796,0.64,0.6666666666666666,0.6530612244897959,0.8860759493670886,0.8734177215189873,0.6576329548346319,4.045231819152832,5.098220080767734,19.814287,7.309384,19.0,11.66773,1.256479,40.652554,21.865101498235198,103,24,25
9,14.263820892335145,21.28034627661133,42.02824401855469,6.482919405526702,4.686208724975586,0.7168328762054443,0.8617071610719403,1.647208756248318e-120,0.8494262170769931,0.8638613861386139,0.9244186046511628,0.7910447761194029,0.8525469168900804,0.9359605911330049,0.9450530598240325,0.9389137039011487,3.805192232131958,4.966428586301431,23.431679,9.938494,23.534653,12.182859,-0.31826043,48.536205,14.263820892335145,404,201,172,79.23278045654297,8.901279708926294,6.230876445770264,0.4179877042770386,0.5156326219132628,2.4930315622013133e-08,0.6902376743272441,0.8349514563106796,0.7058823529411765,0.5,0.5853658536585366,0.9367088607594937,0.8850210970464135,0.710146413219265,4.6133928298950195,5.6024160758953965,18.132206,6.9362564,19.0,11.66773,2.0016644,38.30274,21.28034627661133,103,24,17
10,12.933630841846295,25.416950084562345,35.68205261230469,5.973445623114409,4.4084296226501465,0.7557557821273804,0.8860196886788868,2.880102635961819e-136,0.8634853251462432,0.849009900990099,0.9141414141414141,0.8044444444444444,0.8557919621749409,0.9050279329608939,0.946219739292365,0.9516262048807175,3.740070104598999,4.871872901549019,25.290236,9.649613,25.59901,12.086839,3.9370499,47.362278,12.933630841846295,404,225,198,92.98827362060547,9.64304275737723,7.115012168884277,0.3169453740119934,0.5123676283900777,3.1575515296218425e-08,0.6865055981143194,0.7766990291262136,0.5135135135135135,0.7916666666666666,0.6229508196721312,0.7721518987341772,0.8776371308016878,0.683409141042894,4.717413425445557,6.088833904404823,21.73388,8.039138,19.0,11.66773,0.012921965,43.603573,25.416950084562345,103,24,37
