epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,53.915957349642284,34.614769628994814,294.2172546386719,17.152762303450483,13.054455757141113,-1.1525037288665771,-0.005409851142626791,0.9136779745786983,0.498161997718342,0.47277227722772275,0.5806451612903226,0.16143497757847533,0.25263157894736843,0.856353591160221,0.5014245720090182,0.5642399639449297,11.114235877990723,13.648092037342275,15.661919,8.607952,24.344059,11.691281,-0.34589073,34.47869,53.915957349642284,404,223,62,147.2425537109375,12.134354276636953,9.135082244873047,-0.08158493041992188,0.19329421251907386,0.05043314083879517,0.567472009428403,0.6116504854368932,0.19230769230769232,0.20833333333333334,0.2,0.7341772151898734,0.5469409282700421,0.3151192969103416,5.324527263641357,6.386341254134312,21.593386,4.389151,19.0,11.66773,10.23114,29.274508,34.614769628994814,103,24,26
2,35.600588715194505,31.984326469883758,145.80323791503906,12.074901155497674,9.32412338256836,-0.052854180335998535,0.10605785002242898,0.033077180073492175,0.536585674352715,0.5668316831683168,0.6172839506172839,0.25773195876288657,0.36363636363636365,0.8523809523809524,0.5722140402552773,0.5528354573006491,5.249959468841553,6.422433350879118,21.97931,3.6736238,23.438118,11.767914,11.804513,30.816317,35.600588715194505,404,194,81,137.08697509765625,11.708414713258847,8.516040802001953,-0.006986141204833984,0.1668444670080182,0.09209475769782315,0.5594185818110391,0.7475728155339806,0.375,0.125,0.1875,0.9367088607594937,0.5748945147679325,0.32414297365477857,4.261007785797119,5.394899658175056,20.946468,2.9557505,19.0,11.66773,12.504499,28.043001,31.984326469883758,103,24,8
3,38.60063998116812,41.712432373495936,163.36532592773438,12.781444594713633,9.939838409423828,0.03401702642440796,0.21924749055803439,8.691912693742811e-06,0.5756431467144896,0.5792079207920792,0.6802721088435374,0.4484304932735426,0.5405405405405406,0.7403314917127072,0.616158362857072,0.6884243577750002,5.105906963348389,6.201765473557805,24.065636,4.000878,25.386139,13.004546,14.895646,36.47212,38.60063998116812,404,223,147,173.02099609375,13.153744565474502,10.693391799926758,-0.27094292640686035,0.11253784073012336,0.25772058229557393,0.5407582007464152,0.5339805825242718,0.2391304347826087,0.4583333333333333,0.3142857142857143,0.5569620253164557,0.5643459915611815,0.3161075178050035,5.817559719085693,6.8260106494729955,25.067577,3.65454,19.0,11.66773,15.429303,34.138935,41.712432373495936,103,24,46
4,29.393157209103617,38.014227767122314,108.67933654785156,10.424938203550733,8.028656005859375,0.03259468078613281,0.21710758117309428,1.0680670451193569e-05,0.5755192144225524,0.5866336633663366,0.6416184971098265,0.5138888888888888,0.570694087403599,0.6702127659574468,0.602024231678487,0.6502149101213259,4.611716270446777,5.549843952631423,24.73582,3.4562955,24.15099,10.599107,16.494122,35.259598,29.393157209103617,404,216,173,156.60015869140625,12.513998509325717,9.849748611450195,-0.1503220796585083,0.16193048685696174,0.10222469002907825,0.5572579061088195,0.6990291262135923,0.36,0.375,0.3673469387755102,0.7974683544303798,0.6471518987341772,0.3681630421372877,4.8580641746521,5.8432747550736694,23.872107,2.9458866,19.0,11.66773,17.309519,32.30576,38.014227767122314,103,24,25
5,29.966416815343397,36.32763448357582,110.35707092285156,10.505097378075634,8.172884941101074,0.12706279754638672,0.37583381530177434,5.3132850388806404e-15,0.6322159205995543,0.6188118811881188,0.7007299270072993,0.45933014354066987,0.5549132947976878,0.7897435897435897,0.6766040976567292,0.7149517862087551,4.661136627197266,5.671128405149659,24.058552,4.0495424,23.980198,11.243683,14.712495,35.526287,29.966416815343397,404,209,137,155.43838500976562,12.467493132533326,9.513073921203613,-0.14178824424743652,0.12035403734623333,0.225910551880004,0.5419367511294442,0.6601941747572816,0.2608695652173913,0.25,0.2553191489361702,0.7848101265822784,0.5970464135021097,0.3372161486848265,4.8647541999816895,5.986041999687396,22.675901,4.074386,19.0,11.66773,15.60717,33.66994,36.32763448357582,103,24,23
6,32.45766805580572,34.16135089443383,133.05584716796875,11.534983622353728,8.669844627380371,-0.003226041793823242,0.1747242257232618,0.00041838154721343565,0.5616030224656423,0.5792079207920792,0.7211538461538461,0.3472222222222222,0.46875,0.8457446808510638,0.5920015760441292,0.6593566194556448,4.655218601226807,5.593737042800985,23.781195,3.7910693,24.188118,11.516422,15.707778,34.6066,32.45766805580572,404,216,104,142.4124755859375,11.933669828930977,9.043624877929688,-0.046105027198791504,0.21521474142557637,0.029022133888141073,0.5759182871734433,0.6990291262135923,0.26666666666666666,0.16666666666666666,0.20512820512820512,0.8607594936708861,0.6487341772151899,0.35768754265075364,4.400016784667969,5.3151531101971905,22.263224,2.6633604,19.0,11.66773,16.49735,30.000965,34.16135089443383,103,24,15
7,34.72415877476141,35.98210991416549,139.07882690429688,11.793168654110602,9.111766815185547,0.05848586559295654,0.20750387170783705,2.6259278074608052e-05,0.5729175879016057,0.5891089108910891,0.6547619047619048,0.2864583333333333,0.39855072463768115,0.8632075471698113,0.6317806603773585,0.6333671107593392,4.518144607543945,5.5338652726604245,22.804905,3.416011,23.321783,12.153939,16.261038,35.626595,34.72415877476141,404,192,84,149.90232849121094,12.243460641959484,9.429423332214355,-0.10112249851226807,0.19025458050169777,0.05423821107789229,0.5696326851306227,0.7184466019417476,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.8481012658227848,0.629746835443038,0.3575566966719317,4.6892409324646,5.678518392721346,23.019772,3.1179318,19.0,11.66773,16.731329,32.122074,35.98210991416549,103,24,19
8,33.76220875573363,34.99515156973226,133.30271911621094,11.545679673202914,8.941734313964844,0.013633310794830322,0.13354144505079155,0.007190681263766269,0.5467261378282076,0.5618811881188119,0.574468085106383,0.28272251308900526,0.37894736842105264,0.812206572769953,0.57208170488902,0.5555114439543779,5.052017688751221,6.066796422276398,23.162588,3.5294435,23.73515,11.625196,16.272728,36.136566,33.76220875573363,404,191,94,145.06077575683594,12.044117890357763,9.2081298828125,-0.06555843353271484,0.26029803583157773,0.00792058998708936,0.591632292280495,0.7087378640776699,0.3333333333333333,0.25,0.2857142857142857,0.8481012658227848,0.6635021097046414,0.3741861155699537,4.53786039352417,5.509720795025438,22.708342,2.865279,19.0,11.66773,16.669327,31.05446,34.99515156973226,103,24,18
9,36.45770221765442,38.256989068907764,151.717041015625,12.317347158200299,9.518514633178711,0.02965337038040161,0.20514287897521943,3.2555029076377085e-05,0.5716614641913836,0.5495049504950495,0.6379310344827587,0.34579439252336447,0.4484848484848485,0.7789473684210526,0.610723069355632,0.6529945748341123,5.085508823394775,6.047101787878139,23.732231,3.8606067,24.91089,12.504137,15.852544,36.48252,36.45770221765442,404,214,116,158.8033447265625,12.601719911447107,9.89663314819336,-0.1665058135986328,0.16589904800803865,0.09397935705044604,0.557847181300334,0.7087378640776699,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.8227848101265823,0.6740506329113924,0.38330552916638577,4.897490978240967,5.939742457910831,23.917711,3.124539,19.0,11.66773,19.009226,33.26133,38.256989068907764,103,24,22
10,34.176462971011,38.278751067600204,140.64675903320312,11.859458631539768,9.088814735412598,0.02965444326400757,0.2004336331653562,4.9615580940924766e-05,0.5703455682607872,0.5396039603960396,0.5925925925925926,0.3791469194312796,0.4624277456647399,0.7150259067357513,0.610785060039781,0.6264958563518962,4.876368522644043,5.673297293907538,24.274487,3.5716946,24.58911,12.039311,15.078724,37.73508,34.176462971011,404,211,135,159.01992797851562,12.610310383908702,9.905683517456055,-0.16809678077697754,0.1337493053866412,0.1780120221048592,0.5464545275977215,0.6990291262135923,0.3333333333333333,0.2916666666666667,0.3111111111111111,0.8227848101265823,0.6656118143459916,0.36225220337088637,4.861471652984619,5.882807960863123,23.881168,3.0432973,19.0,11.66773,19.208015,32.870193,38.278751067600204,103,24,21
11,35.352295378194825,38.488814054726106,136.78863525390625,11.695667371035578,9.339720726013184,0.042260587215423584,0.2269247284220944,4.080508268577841e-06,0.5765763490820939,0.556930693069307,0.6090909090909091,0.33004926108374383,0.4281150159744409,0.7860696517412935,0.6016959537288924,0.6053942150133331,5.464414596557617,6.448480222988925,23.628551,3.7980304,24.148516,11.950919,14.558865,35.733173,35.352295378194825,404,203,110,159.2909393310547,12.62105143524321,9.94206714630127,-0.17008745670318604,0.19175515833306064,0.05233126678489397,0.5690434099391082,0.6796116504854369,0.32,0.3333333333333333,0.32653061224489793,0.7848101265822784,0.6592827004219409,0.3602516101198471,4.942768573760986,5.992765515635551,24.071299,2.9675105,19.0,11.66773,18.238697,32.90321,38.488814054726106,103,24,25
