epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,41.548736759799326,32.54563819338597,182.064453125,13.493126143522115,10.571436882019043,-0.223333477973938,0.0038947453783197564,0.9377953197259199,0.5019444444444444,0.5148514851485149,0.48484848484848486,0.24870466321243523,0.3287671232876712,0.7582938388625592,0.5003806202882891,0.4959058404815247,6.858316898345947,8.757621279831472,21.707941,5.5233445,23.98515,12.199447,0.33315235,34.337513,41.548736759799326,404,193,99,135.88137817382812,11.656816811369566,8.70102310180664,0.0018697381019592285,0.11217506367199169,0.2592678066906142,0.5397760754272245,0.7475728155339806,0.25,0.041666666666666664,0.07142857142857142,0.9620253164556962,0.560126582278481,0.2809644361419619,4.293949127197266,5.2933678283015855,21.198917,2.3212364,19.0,11.66773,12.671373,26.440662,32.54563819338597,103,24,4
2,36.434899122621935,37.73271068792736,145.82138061523438,12.075652388804274,9.55197811126709,-0.019150257110595703,0.09064551178763064,0.06875056655931845,0.5306359549426681,0.5024752475247525,0.5138888888888888,0.36097560975609755,0.42406876790830944,0.6482412060301508,0.5178820933937982,0.5426046848501522,5.475362300872803,6.400027346552599,23.739973,3.1751328,24.341583,11.96166,14.218475,32.967873,36.434899122621935,404,205,144,153.00579833984375,12.369551258628736,9.7684326171875,-0.12391936779022217,0.11916676697416599,0.23055585240489804,0.5419367511294442,0.6116504854368932,0.23333333333333334,0.2916666666666667,0.25925925925925924,0.7088607594936709,0.574367088607595,0.2963522463830457,4.7826762199401855,5.837136509297502,23.74544,2.6599112,19.0,11.66773,13.779636,29.85478,37.73271068792736,103,24,30
3,36.75226056335625,35.38915356110614,147.21376037597656,12.133167779931858,9.595532417297363,-0.028080463409423828,0.05547627516525938,0.2659398917733495,0.519482821938278,0.5074257425742574,0.5263157894736842,0.4326923076923077,0.47493403693931396,0.5867346938775511,0.5349048273155417,0.5690966787149556,5.0889739990234375,5.994738815255821,24.0102,3.2536995,23.98515,11.966321,11.116951,33.752357,36.75226056335625,404,208,171,144.43190002441406,12.017982360796427,9.255805015563965,-0.06093895435333252,0.12087071982296635,0.22390967660981576,0.5440974268316637,0.6796116504854369,0.2631578947368421,0.20833333333333334,0.23255813953488372,0.8227848101265823,0.5854430379746836,0.30628921361685896,4.425581932067871,5.472835736595413,22.765673,2.693122,19.0,11.66773,12.882242,29.023586,35.38915356110614,103,24,19
4,34.19854376914088,39.7718032647989,133.0164031982422,11.533273741581016,9.078817367553711,-0.019258856773376465,0.14210690476200027,0.00420975107697814,0.5516880034340833,0.5643564356435643,0.6173913043478261,0.3497536945812808,0.44654088050314467,0.7810945273631841,0.5903242408646423,0.584153619263086,5.1642069816589355,6.049503198828538,23.349968,3.4086673,24.096535,11.423793,12.068883,33.715855,34.19854376914088,404,203,115,161.66790771484375,12.714869551625126,10.213188171386719,-0.18754780292510986,0.11977689202647837,0.2281603979948507,0.5435081516401493,0.6019417475728155,0.3023255813953488,0.5416666666666666,0.3880597014925373,0.620253164556962,0.5891350210970465,0.3116159598802329,5.142266750335693,6.246103521724689,24.589579,3.000661,19.0,11.66773,13.744592,31.58984,39.7718032647989,103,24,43
5,32.4438653528952,33.400618398846404,124.0431137084961,11.137464420077674,8.698968887329102,0.01732569932937622,0.17283068652675856,0.00048413568603526984,0.5602740595064392,0.5396039603960396,0.589041095890411,0.4056603773584906,0.48044692737430167,0.6875,0.5683962264150944,0.604210278327534,4.884204387664795,5.81309883560479,23.99473,3.469898,23.507425,11.235219,10.649989,34.3598,32.4438653528952,404,212,146,137.87571716308594,11.742049104099587,8.838461875915527,-0.012779831886291504,0.10448528936401852,0.2935588243253296,0.5397760754272245,0.7087378640776699,0.3125,0.20833333333333334,0.25,0.8607594936708861,0.5944092827004219,0.3333686586955302,4.2521653175354,5.291755114839931,21.798672,2.817739,19.0,11.66773,11.892527,28.245676,33.400618398846404,103,24,16
6,35.252008623995074,39.92624541275877,143.6043243408203,11.983502173439128,9.280580520629883,0.017324447631835938,0.15448333648203258,0.0018446284816158562,0.5536106968632308,0.5643564356435643,0.6106194690265486,0.34328358208955223,0.4394904458598726,0.7832512315270936,0.5681935151827071,0.604042473281352,4.865581035614014,5.690440999994118,23.220272,3.2603471,24.509901,12.088675,11.511975,30.781397,35.252008623995074,404,201,113,162.48931884765625,12.747129827834039,10.246981620788574,-0.19358158111572266,0.1151102598696026,0.24693036863315884,0.5429188764486348,0.5631067961165048,0.2857142857142857,0.5833333333333334,0.3835616438356164,0.5569620253164557,0.6012658227848101,0.34163620484378476,5.159396171569824,6.262931263706797,24.73096,3.1175275,19.0,11.66773,13.485833,31.801487,39.92624541275877,103,24,49
7,30.25601863551258,33.35896555652042,111.50311279296875,10.559503434961739,8.209657669067383,0.03822821378707886,0.25413190674208463,2.2499538456514496e-07,0.58785861628216,0.5866336633663366,0.6241610738255033,0.45588235294117646,0.5269121813031161,0.72,0.6275980392156864,0.6519400997791429,4.823648929595947,5.824296363605094,23.867683,3.9282246,23.366337,10.767317,11.795983,34.336662,30.25601863551258,404,204,149,137.53213500976562,11.727409560928859,8.836630821228027,-0.010256052017211914,0.11037766824761197,0.2670270015763748,0.5423296012571204,0.6990291262135923,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.8481012658227848,0.6054852320675106,0.37848796039932403,4.239065647125244,5.245887053529989,21.883263,2.9195633,19.0,11.66773,11.769679,28.745523,33.35896555652042,103,24,17
8,34.97231791705865,34.10731107614215,135.20913696289062,11.627946377709636,9.237913131713867,0.04746270179748535,0.20147490497842258,4.523938187357509e-05,0.5708987341772152,0.5544554455445545,0.6,0.391304347826087,0.47368421052631576,0.7258883248730964,0.5678658132862503,0.5894442733248124,5.105907917022705,6.04509352038213,23.68096,3.7559178,23.881187,11.914121,11.631837,35.303883,34.97231791705865,404,207,135,139.82510375976562,11.82476654144874,8.987018585205078,-0.027099251747131348,0.12878585563674858,0.19480716492581246,0.547240227853074,0.6990291262135923,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.8481012658227848,0.6118143459915611,0.38187854974593355,4.273608684539795,5.28631980476466,22.350695,2.9442675,19.0,11.66773,11.995471,29.365124,34.10731107614215,103,24,17
9,33.3466039950692,29.86498107054967,127.13600158691406,11.275460149675226,8.936176300048828,0.08625710010528564,0.26084420768641414,1.0432887270798556e-07,0.5925405090393118,0.5866336633663366,0.6451612903225806,0.30927835051546393,0.4181184668989547,0.8428571428571429,0.596146293568974,0.6012636188690645,5.0969319343566895,6.012115961130334,22.865376,3.4359558,23.269802,11.79566,15.292418,35.568058,33.3466039950692,404,194,93,128.9373779296875,11.35505957402635,8.141201972961426,0.05287766456604004,0.13366135943315474,0.17830006041992466,0.5482223531722648,0.7766990291262136,0.6,0.125,0.20689655172413793,0.9746835443037974,0.6197257383966245,0.39961537661785584,4.388411998748779,5.487097431266812,19.544884,2.8415942,19.0,11.66773,10.19004,27.264317,29.86498107054967,103,24,5
10,34.59661737840382,41.114698371352645,140.50099182128906,11.853311428511827,9.1384916305542,0.02664625644683838,0.2321246986179072,2.4081333264075963e-06,0.5819016194485531,0.5792079207920792,0.6691176470588235,0.4212962962962963,0.5170454545454546,0.7606382978723404,0.6143370764381403,0.6499851277796341,5.09446907043457,6.106636077326715,23.601055,3.9450154,24.371286,12.014462,9.472612,34.794033,34.59661737840382,404,216,136,168.24864196777344,12.971069422671881,10.50484561920166,-0.23588716983795166,0.1345133358575549,0.17552403380974713,0.5494009035552937,0.5242718446601942,0.2641509433962264,0.5833333333333334,0.36363636363636365,0.5063291139240507,0.6160337552742616,0.3988025213367585,5.387734889984131,6.517302738507055,25.31543,3.3740723,19.0,11.66773,13.542854,33.950882,41.114698371352645,103,24,53
