epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,57.91065026494665,34.36334219125486,305.26690673828125,17.47188904321113,13.904748916625977,-1.051159381866455,-0.04704502818547134,0.3455858827675271,0.4833459595959596,0.5321782178217822,0.8333333333333334,0.025906735751295335,0.05025125628140704,0.995260663507109,0.4750877882277828,0.47163905494289693,12.117657661437988,14.597195269681466,14.219115,7.523581,23.98515,12.199447,-0.126521,26.31414,57.91065026494665,404,193,6,147.3105010986328,12.137153747836962,9.074888229370117,-0.08208394050598145,-0.08020670957966007,0.42060416855463467,0.47220585346690236,0.7378640776699029,0.2857142857142857,0.08333333333333333,0.12903225806451613,0.9367088607594937,0.5727848101265822,0.29235641754437314,4.3119940757751465,5.1168622794435255,21.462463,2.5545442,19.0,11.66773,12.921569,26.661285,34.36334219125486,103,24,7
2,33.86495646933182,34.39917827261955,130.3848114013672,11.418616877773209,8.984745979309082,0.08873647451400757,0.2703129184318074,3.40020029325598e-08,0.5935874122341769,0.5767326732673267,0.6888888888888889,0.3024390243902439,0.42033898305084744,0.8592964824120602,0.6220370143399927,0.6632708883681822,5.215269088745117,6.311066115283107,23.064018,3.7234657,24.341583,11.96166,13.884288,36.75209,33.86495646933182,404,205,90,143.65365600585938,11.985560312553575,9.112188339233398,-0.055222272872924805,0.09340409922472338,0.3480220832745532,0.5301512472991554,0.7475728155339806,0.42857142857142855,0.25,0.3157894736842105,0.8987341772151899,0.6561181434599156,0.3809386190181854,4.230964660644531,4.9074664703482975,22.367733,2.924315,19.0,11.66773,15.798441,32.134163,34.39917827261955,103,24,14
3,31.31067586703587,35.16341102861085,121.34490966796875,11.01566655577268,8.439620018005371,0.1525769829750061,0.43127338443891344,9.910052117058883e-20,0.6539187255435815,0.6336633663366337,0.7941176470588235,0.3894230769230769,0.5225806451612903,0.8928571428571429,0.730278649921507,0.7343856812400689,4.354529857635498,5.292847308915878,23.396143,3.9655282,23.98515,11.966321,11.514748,36.55624,31.31067586703587,404,208,102,143.2240447998047,11.967624860422585,9.279364585876465,-0.05206644535064697,0.17614475158921233,0.07510859675316332,0.561972107640935,0.7475728155339806,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.8481012658227848,0.6904008438818565,0.41604875482757003,4.429810523986816,5.165612061859932,23.239363,3.3803775,19.0,11.66773,16.222261,33.794952,35.16341102861085,103,24,22
4,29.014409346993055,31.22636730650449,109.0041732788086,10.440506370804464,7.959508419036865,0.16473853588104248,0.46945736781989056,1.5544276653778412e-23,0.6666035401358483,0.6485148514851485,0.7479674796747967,0.45320197044334976,0.5644171779141104,0.845771144278607,0.760899933828395,0.7342203833897591,4.361236095428467,5.374938432207797,23.40009,4.2022038,24.096535,11.423793,12.735773,37.290222,29.014409346993055,404,203,123,124.14908599853516,11.142220873709835,8.399925231933594,0.08805054426193237,0.2821031356741292,0.0038896841959621593,0.6006678452170497,0.7766990291262136,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.8860759493670886,0.75,0.5225804981433377,4.026409149169922,4.883991654497494,21.95339,3.2887733,19.0,11.66773,14.432546,32.355316,31.22636730650449,103,24,19
5,26.13270162523518,29.164855491529327,94.25379180908203,9.70843920561292,7.345038414001465,0.2533178925514221,0.5501480498120346,2.4470041964152084e-33,0.698597982617522,0.655940594059406,0.792,0.4669811320754717,0.5875370919881305,0.8645833333333334,0.7777859669811321,0.7761861866004515,4.284391403198242,5.270134056456483,23.483496,4.474563,23.507425,11.235219,13.142666,38.631447,26.13270162523518,404,212,125,117.44833374023438,10.83735824545052,7.981285095214844,0.13727152347564697,0.30601893840035604,0.001668674940975613,0.6079355725790611,0.7864077669902912,0.5625,0.375,0.45,0.9113924050632911,0.7515822784810127,0.5221389929804412,4.119711399078369,5.01212309754522,20.994862,4.0082564,19.0,11.66773,12.4943,32.883102,29.164855491529327,103,24,16
6,24.947536731921748,29.885798759496254,95.69291687011719,9.782275648851712,7.032362937927246,0.3451792597770691,0.6868720508435523,1.1093918649974188e-57,0.7513712306953466,0.75,0.852112676056338,0.6019900497512438,0.7055393586005831,0.896551724137931,0.8530745288336642,0.8404704665327526,3.5342085361480713,4.41901081184192,23.1997,5.146853,24.509901,12.088675,6.1954665,38.98579,24.947536731921748,404,201,142,117.2628402709961,10.828796806247501,8.163679122924805,0.13863414525985718,0.34830994878316196,0.0003116650082786478,0.6258102533883324,0.7669902912621359,0.5,0.4166666666666667,0.45454545454545453,0.8734177215189873,0.7790084388185654,0.5737937409047952,4.181054592132568,4.991572334701622,22.128899,4.401727,19.0,11.66773,12.866402,34.6016,29.885798759496254,103,24,20
7,21.274485755156967,27.796814799218357,71.95235443115234,8.482473367547483,6.278818130493164,0.37937384843826294,0.6801833465272794,3.527759887396062e-56,0.7475543856540832,0.745049504950495,0.8482758620689655,0.6029411764705882,0.7048710601719198,0.89,0.8688725490196079,0.8674205895679568,3.9437384605407715,4.820752882663961,23.36314,5.5263534,23.366337,10.767317,4.6241875,38.83061,21.274485755156967,404,204,145,109.04672241210938,10.442543866898975,7.672366142272949,0.19898641109466553,0.3869896784509298,5.3887419188316e-05,0.6397564329208407,0.7961165048543689,0.5882352941176471,0.4166666666666667,0.4878048780487805,0.9113924050632911,0.8069620253164558,0.5910326274766359,3.999230146408081,4.911310780945972,21.25124,4.515119,19.0,11.66773,11.506198,34.52329,27.796814799218357,103,24,17
8,24.523798696668482,26.43120851475184,89.33537292480469,9.451739148157056,6.94800329208374,0.3706395626068115,0.6367792790805726,2.513700457591089e-47,0.7364683544303797,0.7400990099009901,0.81875,0.6328502415458938,0.7138964577656676,0.8527918781725888,0.836754211726624,0.8195684155106119,4.0798773765563965,5.189819001439279,23.480787,6.0235286,23.881187,11.914121,4.0182467,39.147877,24.523798696668482,404,207,160,102.8206558227539,10.14005206213232,7.392977714538574,0.24472063779830933,0.4278405738453948,6.5495761625563605e-06,0.6574346886662739,0.7864077669902912,0.5625,0.375,0.45,0.9113924050632911,0.8217299578059072,0.6439159724609945,4.035898208618164,5.0328010395515275,20.724474,4.643677,19.0,11.66773,8.9003315,33.553905,26.43120851475184,103,24,16
9,22.564222310906153,25.77641304920979,83.81626892089844,9.155122550839963,6.541441440582275,0.3976016044616699,0.6673073531689957,2.136655325933082e-53,0.7490783322564707,0.7301980198019802,0.8102189781021898,0.5721649484536082,0.6706948640483383,0.8761904761904762,0.8543200785468826,0.8404556145459674,3.816432237625122,4.721511336030514,22.88239,6.4181037,23.269802,11.79566,8.3278675,45.27705,22.564222310906153,404,194,137,102.94500732421875,10.146181908689531,7.221954822540283,0.2438071370124817,0.4300007463279062,5.813192913826286e-06,0.6586132390493027,0.7961165048543689,0.5882352941176471,0.4166666666666667,0.4878048780487805,0.9113924050632911,0.8306962025316456,0.6151985639500912,4.046412467956543,5.0259938713792325,20.292473,5.2130775,19.0,11.66773,8.837695,35.552555,25.77641304920979,103,24,17
10,22.354781789097835,26.781646639128578,83.74623107910156,9.151296688398949,6.439846992492676,0.41982823610305786,0.7265099066567453,1.7123970310066434e-67,0.7693202361537781,0.7846534653465347,0.8685714285714285,0.7037037037037037,0.7774936061381074,0.8776595744680851,0.8971877462568952,0.8802645576347736,3.6878066062927246,4.7786870332720985,23.780756,6.7080398,24.371286,12.014462,4.1644855,43.357048,22.354781789097835,404,216,175,104.75238037109375,10.2348610333064,7.47788143157959,0.23053091764450073,0.47321518922232003,4.466818373104567e-07,0.6782557454331173,0.8155339805825242,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.8860759493670886,0.8554852320675106,0.6468859172492047,4.0518903732299805,4.933062140425441,21.431355,5.2751575,19.0,11.66773,7.6147685,35.829758,26.781646639128578,103,24,23
