epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,51.049578993885454,41.14885629959477,280.0270080566406,16.734007531271182,12.455503463745117,-1.048687219619751,0.04153577551807982,0.405052677779679,0.5144505006971732,0.5074257425742574,0.7142857142857143,0.17937219730941703,0.2867383512544803,0.9116022099447514,0.5398260783390729,0.6214592220916497,10.316627502441406,13.050324090316865,16.12326,8.499531,24.344059,11.691281,-0.34971178,31.575893,51.049578993885454,404,223,56,168.52586364746094,12.981751177998326,10.519174575805664,-0.2379235029220581,0.1152311855556465,0.24643092545127868,0.5399725004910627,0.6310679611650486,0.325,0.5416666666666666,0.40625,0.6582278481012658,0.6012658227848101,0.33347815416059967,5.2786760330200195,6.161337362495453,24.811182,2.1717827,19.0,11.66773,21.011354,31.77079,41.14885629959477,103,24,40
2,33.57044462708399,34.12289871659539,132.41265869140625,11.507069943795695,8.924785614013672,0.04384005069732666,0.23715525899804493,1.4288433547929257e-06,0.57961573974526,0.6064356435643564,0.6767676767676768,0.34536082474226804,0.45733788395904434,0.8476190476190476,0.6405252822778595,0.651100554973636,4.436048984527588,5.264450893187922,23.466732,2.2620292,23.438118,11.767914,17.14902,30.692404,33.57044462708399,404,194,99,142.2375946044922,11.92634036930408,9.061734199523926,-0.044820427894592285,0.11481893889867867,0.24813643932396945,0.5387939501080338,0.7669902912621359,0.5,0.125,0.2,0.9620253164556962,0.6012658227848101,0.33531262535426054,4.369784832000732,5.07654215866433,21.851593,2.0429375,19.0,11.66773,18.449003,28.558884,34.12289871659539,103,24,6
3,37.49701815945345,41.13169814417482,156.1546630859375,12.496185941555828,9.722633361816406,0.07665389776229858,0.29589828554843656,1.3162024064774491e-09,0.6012174637855041,0.5965346534653465,0.6875,0.49327354260089684,0.5744125326370757,0.7237569060773481,0.6791120580729877,0.7528837467557193,4.684373378753662,5.6821035417510375,24.499174,2.898764,25.386139,13.004546,17.186266,32.79277,37.49701815945345,404,223,160,168.51138305664062,12.981193437301542,10.518929481506348,-0.2378171682357788,0.11564343221261432,0.24473352096084258,0.5409546258102534,0.6310679611650486,0.325,0.5416666666666666,0.40625,0.6582278481012658,0.6023206751054853,0.33816412274217333,5.288262367248535,6.141348060960181,24.863443,2.4867377,19.0,11.66773,20.768753,33.739536,41.13169814417482,103,24,40
4,28.47885523115384,36.540840147618226,102.00419616699219,10.099712677447423,7.856499671936035,0.09201323986053467,0.3140533691253218,1.0685585083453998e-10,0.6085560954567945,0.594059405940594,0.6547619047619048,0.5092592592592593,0.5729166666666666,0.6914893617021277,0.6318705673758865,0.6964361226651051,4.468780517578125,5.318861439990918,24.790594,2.7377608,24.15099,10.599107,17.96655,34.26678,28.47885523115384,404,216,168,150.32801818847656,12.260832687402457,9.561793327331543,-0.10424935817718506,0.11782559118349734,0.23588329252123547,0.541740326065606,0.7087378640776699,0.3333333333333333,0.25,0.2857142857142857,0.8481012658227848,0.6017932489451476,0.3411739422653119,4.614972114562988,5.3328015340473796,23.036436,2.4604645,19.0,11.66773,19.202024,32.15656,36.540840147618226,103,24,18
5,31.14504237891163,35.94511610468922,112.95553588867188,10.628054191086527,8.409811973571777,0.10650867223739624,0.3363578620898948,3.836216698278113e-12,0.6156446222402269,0.6336633663366337,0.744,0.4449760765550239,0.5568862275449101,0.8358974358974359,0.6876947613789719,0.7134279824885794,4.737569332122803,5.783040197384119,23.99521,3.1199858,23.980198,11.243683,16.709475,35.124073,31.14504237891163,404,209,125,148.72750854492188,12.195388823031509,9.44489860534668,-0.09249269962310791,0.11893590884626401,0.23146681645441192,0.5433117265763111,0.7281553398058253,0.375,0.25,0.3,0.8734177215189873,0.604957805907173,0.34383496479093634,4.5776448249816895,5.2821389076603555,22.753292,2.7158768,19.0,11.66773,18.817513,33.33642,35.94511610468922,103,24,16
6,32.01401032546875,33.89730704151766,131.2014617919922,11.454320660431687,8.555248260498047,0.010755777359008789,0.20372880049899852,3.698376351612245e-05,0.5697804148283382,0.594059405940594,0.7241379310344828,0.3888888888888889,0.5060240963855421,0.8297872340425532,0.6312549251379038,0.683793282829948,4.349878787994385,5.2253577150978305,23.847797,3.1630805,24.188118,11.516422,17.05751,34.11325,32.01401032546875,404,216,116,141.9805908203125,11.915560868893772,9.034316062927246,-0.04293262958526611,0.11485191863123609,0.2479996995815323,0.5427224513847967,0.7572815533980582,0.4444444444444444,0.16666666666666666,0.24242424242424243,0.9367088607594937,0.6039029535864978,0.34549337567516025,4.4192423820495605,5.1249473382988935,21.761154,2.6294112,19.0,11.66773,18.00032,32.109634,33.89730704151766,103,24,9
7,34.65082967493209,38.65324327020535,134.3026885986328,11.588903684069205,9.200410842895508,0.09081858396530151,0.2574084002659492,1.550320405622051e-07,0.5881290192164345,0.599009900990099,0.6785714285714286,0.296875,0.41304347826086957,0.8726415094339622,0.6346305031446542,0.6467571884530948,4.82992696762085,5.679740559200237,22.95357,3.2416291,23.321783,12.153939,15.54176,39.983047,34.65082967493209,404,192,84,159.40867614746094,12.625714876689594,10.00243091583252,-0.17095232009887695,0.11791903375907671,0.2355093615640563,0.5435081516401493,0.7184466019417476,0.4074074074074074,0.4583333333333333,0.43137254901960786,0.7974683544303798,0.6065400843881856,0.35369894416111036,4.913026332855225,5.683142365559462,23.94415,2.9349563,19.0,11.66773,19.753344,35.637592,38.65324327020535,103,24,27
8,31.739860935517044,33.74591243274293,123.39012145996094,11.10811061612014,8.584696769714355,0.08698099851608276,0.31435662319418256,1.0231531347433203e-10,0.6074397917666978,0.6188118811881188,0.6907216494845361,0.3507853403141361,0.4652777777777778,0.8591549295774648,0.676154659194258,0.6446288724336531,4.753368854522705,5.6013089898069355,23.493696,3.3326342,23.73515,11.625196,16.276726,35.460514,31.739860935517044,404,191,97,141.59365844726562,11.899313360327378,9.009576797485352,-0.040090322494506836,0.11955153052066929,0.22904316319122994,0.5433117265763111,0.7572815533980582,0.45454545454545453,0.20833333333333334,0.2857142857142857,0.9240506329113924,0.6133966244725738,0.35795869051979423,4.423824310302734,5.128616917534044,21.72776,2.793419,19.0,11.66773,17.60559,33.09849,33.74591243274293,103,24,11
9,36.14441705546987,37.69872063690643,146.07191467285156,12.086021457570377,9.468781471252441,0.06575840711593628,0.2498664888795998,3.625940387022879e-07,0.5855249023746035,0.6039603960396039,0.684931506849315,0.4672897196261682,0.5555555555555556,0.7578947368421053,0.6321938022626661,0.6791344370287097,5.074121475219727,5.997316396112359,24.137197,3.7717814,24.91089,12.504137,16.495108,38.062656,36.14441705546987,404,214,146,155.72312927246094,12.47890737494517,9.79963493347168,-0.14387977123260498,0.12137091243342063,0.2219845815027741,0.5439010017678255,0.7281553398058253,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8227848101265823,0.6139240506329114,0.3614846702194173,4.778881072998047,5.537877998625569,23.588785,3.0456617,19.0,11.66773,19.056198,36.013096,37.69872063690643,103,24,24
10,33.26305999924811,37.438174502037974,136.48800659179688,11.682808163784804,8.86262035369873,0.058346331119537354,0.2884020018674694,3.531265048551853e-09,0.6014530292501106,0.5668316831683168,0.6384615384615384,0.3933649289099526,0.4868035190615836,0.7564766839378239,0.6496328855929082,0.671284478723851,4.719748020172119,5.593812739697038,24.031483,3.4049466,24.58911,12.039311,17.209309,37.254105,33.26305999924811,404,211,130,154.62881469726562,12.434983502090608,9.745590209960938,-0.1358414888381958,0.11974940891601386,0.22826792428392081,0.5427224513847967,0.7281553398058253,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8227848101265823,0.6149789029535865,0.35735559196373756,4.744724750518799,5.500136460432052,23.49803,3.060781,19.0,11.66773,18.876272,36.08254,37.438174502037974,103,24,24
