epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,305.7191921802385,155.46355649301086,305.7192077636719,17.484827930628082,13.398881912231445,-1.2366523742675781,0.03340000991843875,0.5032157447433618,0.511851945747243,0.47277227722772275,0.7083333333333334,0.07623318385650224,0.13765182186234817,0.9613259668508287,0.5352178975794664,0.6059432268022223,11.894837379455566,14.278859679268313,14.062149,7.7398996,24.344059,11.691281,-0.36092976,28.196331,305.7191921802385,404,223,24,155.46356201171875,12.468502797518182,9.858039855957031,-0.14197313785552979,0.11575886127656532,0.24425969968830463,0.5409546258102534,0.6796116504854369,0.3333333333333333,0.375,0.35294117647058826,0.7721518987341772,0.5986286919831223,0.3329077766776793,4.807779312133789,5.552722524334435,23.534607,2.0113115,19.0,11.66773,19.830711,30.204527,155.46355649301086,103,24,27
2,133.36436927718188,142.89101554351876,133.36436462402344,11.548348999923038,8.963634490966797,0.036967694759368896,0.220608988498581,7.6158458606169135e-06,0.5750369967493455,0.599009900990099,0.66,0.3402061855670103,0.4489795918367347,0.8380952380952381,0.6328424153166421,0.6333717982448626,4.400267601013184,5.207642756138474,23.649189,2.153106,23.438118,11.767914,17.967136,30.06936,133.36436927718188,404,194,100,142.89100646972656,11.953702625953456,9.095193862915039,-0.04962015151977539,0.11393398274172108,0.2518250384033336,0.5399725004910627,0.7669902912621359,0.5,0.125,0.2,0.9620253164556962,0.5975738396624473,0.3303401853109806,4.386436462402344,5.094321938450027,21.901852,1.9551321,19.0,11.66773,18.50508,28.24528,142.89101554351876,103,24,6
3,157.3897065456417,164.84578182222774,157.3896942138672,12.545504940570035,9.756311416625977,0.06935107707977295,0.2735772423575621,2.2868375484030536e-08,0.5940692842980008,0.5841584158415841,0.6455026455026455,0.547085201793722,0.5922330097087378,0.6298342541436464,0.669078116096425,0.7378021112137205,4.654633045196533,5.697603745965924,24.858118,2.9185493,25.386139,13.004546,17.622076,32.88238,157.3897065456417,404,223,189,164.84579467773438,12.839228741545746,10.34804630279541,-0.2108912467956543,0.11429126317775985,0.2503313442106077,0.5391868002357101,0.6310679611650486,0.3055555555555556,0.4583333333333333,0.36666666666666664,0.6835443037974683,0.5991561181434599,0.33737372561469875,5.157959938049316,5.966321840746864,24.530155,2.366142,19.0,11.66773,20.569374,32.68156,164.84578182222774,103,24,36
4,102.24518066648292,150.27681227855936,102.24518585205078,10.111636160980614,7.867997169494629,0.08986806869506836,0.3096487871579372,1.9966115662940329e-10,0.6069702236713567,0.594059405940594,0.6645569620253164,0.4861111111111111,0.5614973262032086,0.7180851063829787,0.6314765563435776,0.6930050845602687,4.474237442016602,5.3168293982846455,24.580034,2.5741827,24.15099,10.599107,17.760664,33.02518,102.24518066648292,404,216,158,150.2768096923828,12.25874421351481,9.558521270751953,-0.1038733720779419,0.11729241884048561,0.23802481387110022,0.5409546258102534,0.6990291262135923,0.29411764705882354,0.20833333333333334,0.24390243902439024,0.8481012658227848,0.6023206751054853,0.33786752368052464,4.607525825500488,5.321317289364711,23.023838,2.3632996,19.0,11.66773,19.233912,31.574629,150.27681227855936,103,24,17
5,113.79759714586572,151.06142625041323,113.79759216308594,10.667595425543936,8.48473834991455,0.09984791278839111,0.3362028944673481,3.929646062410612e-12,0.6154294105732226,0.6163366336633663,0.7410714285714286,0.39712918660287083,0.5171339563862928,0.8512820512820513,0.6878665194454667,0.7143831866524337,4.776910781860352,5.764187765479463,23.920507,2.8031445,23.980198,11.243683,17.361496,34.097652,113.79759714586572,404,209,112,151.06141662597656,12.290704480459066,9.589784622192383,-0.10963678359985352,0.11894690209044982,0.23142338019403844,0.5433117265763111,0.6990291262135923,0.3157894736842105,0.25,0.27906976744186046,0.8354430379746836,0.6060126582278481,0.3445063554797951,4.631560325622559,5.348481164119348,23.100225,2.5470483,19.0,11.66773,19.176931,32.768932,151.06142625041323,103,24,19
6,130.93612579029977,143.50479047413302,130.93612670898438,11.44273248437559,8.5870361328125,0.01275634765625,0.1955800964852041,7.582955106832135e-05,0.5666362391602008,0.5841584158415841,0.6875,0.4074074074074074,0.5116279069767442,0.7872340425531915,0.6303437746256896,0.6773226395599745,4.30926513671875,5.152966187703565,24.21276,2.9920375,24.188118,11.516422,17.675356,33.61504,130.93612579029977,404,216,128,143.50479125976562,11.979348532360415,9.137345314025879,-0.05412876605987549,0.12391584846243535,0.21237071286812756,0.5452759772146926,0.7572815533980582,0.45454545454545453,0.20833333333333334,0.2857142857142857,0.9240506329113924,0.6091772151898734,0.34956236212912717,4.389141082763672,5.102820809356561,22.12459,2.4167378,19.0,11.66773,18.385403,31.364346,143.50479047413302,103,24,11
7,134.9489036122934,161.35287895050007,134.9488983154297,11.616750764109113,9.23054027557373,0.0864439606666565,0.2535886113050481,2.3921020344487523e-07,0.5863223458958193,0.6064356435643564,0.6987951807228916,0.3020833333333333,0.4218181818181818,0.8820754716981132,0.6321983097484276,0.6428280253705843,4.765385150909424,5.618516533979636,23.030281,2.8776045,23.321783,12.153939,16.341862,38.46326,134.9489036122934,404,192,83,161.35287475585938,12.702475142894764,10.134414672851562,-0.18523359298706055,0.1262464162298268,0.2038299188311295,0.545865252406207,0.6699029126213593,0.3333333333333333,0.4166666666666667,0.37037037037037035,0.7468354430379747,0.6123417721518988,0.34906739156950867,4.995380878448486,5.766564434813798,24.21794,2.7196178,19.0,11.66773,20.089302,34.893528,161.35287895050007,103,24,30
8,123.53078176975392,146.0836157479043,123.5307846069336,11.114440364090925,8.62537670135498,0.08594018220901489,0.31122523619892817,1.5982234325573008e-10,0.6063278663667837,0.6311881188118812,0.6779661016949152,0.418848167539267,0.517799352750809,0.8215962441314554,0.6776294766855935,0.6425009177814673,4.685443878173828,5.516047215714014,24.099257,3.060839,23.73515,11.625196,17.328943,34.59298,123.53078176975392,404,191,118,146.08360290527344,12.086504991322903,9.295801162719727,-0.07307159900665283,0.13867977540397639,0.16240465769148285,0.5503830288744844,0.7378640776699029,0.4,0.25,0.3076923076923077,0.8860759493670886,0.6207805907172995,0.3629145944351313,4.4570536613464355,5.1615436545619975,22.558058,2.6128056,19.0,11.66773,18.597454,33.067123,146.0836157479043,103,24,15
9,145.07711872295462,153.12709535907973,145.07711791992188,12.044796300474403,9.51308536529541,0.0721207857131958,0.2395032837328681,1.115415356223925e-06,0.5815187857801817,0.5841584158415841,0.6369047619047619,0.5,0.5602094240837696,0.6789473684210526,0.6213231677324151,0.6735211164347643,5.005863189697266,5.899427884052051,24.633263,3.2987404,24.91089,12.504137,16.524282,36.745113,145.07711872295462,404,214,168,153.12709045410156,12.374453137577497,9.70140266418457,-0.12481033802032471,0.14187880946204673,0.1528369192834564,0.5517580043213514,0.7281553398058253,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8227848101265823,0.6223628691983123,0.3670492625105742,4.691089630126953,5.416246466354883,23.43914,2.7480125,19.0,11.66773,19.259157,34.60375,153.12709535907973,103,24,24
10,136.57695375069494,159.84987739618253,136.5769500732422,11.686614140684298,8.871767044067383,0.05773270130157471,0.2792893212534465,1.127939815218965e-08,0.597725693347653,0.5767326732673267,0.631578947368421,0.4549763033175355,0.5289256198347108,0.7098445595854922,0.6494609925594872,0.6738423302309,4.631686210632324,5.520195383124686,24.362623,3.1278198,24.58911,12.039311,17.988384,36.68171,136.57695375069494,404,211,152,159.84986877441406,12.643174790155124,10.057977676391602,-0.17419326305389404,0.14417090087478782,0.14624592952843068,0.5515615792575133,0.6796116504854369,0.3448275862068966,0.4166666666666667,0.37735849056603776,0.759493670886076,0.625,0.36611282375955656,4.940227508544922,5.705515404972363,24.14711,2.8464541,19.0,11.66773,19.820345,35.81289,159.84987739618253,103,24,29
